RegioS,Beroepsbevolking_2,Perioden
NL01  ,9187.0,2013JJ00
NL01  ,9145.0,2014JJ00
NL01  ,9182.0,2015JJ00
NL01  ,9215.0,2016JJ00
NL01  ,9290.0,2017JJ00
NL01  ,9398.0,2018JJ00
NL01  ,9540.0,2019JJ00
NL01  ,9581.0,2020JJ00
NL01  ,9663.0,2021JJ00
NL01  ,9898.0,2022JJ00
NL01  ,10096.0,2023JJ00
LD01  ,918.0,2013JJ00
LD01  ,909.0,2014JJ00
LD01  ,913.0,2015JJ00
LD01  ,908.0,2016JJ00
LD01  ,913.0,2017JJ00
LD01  ,917.0,2018JJ00
LD01  ,925.0,2019JJ00
LD01  ,925.0,2020JJ00
LD01  ,932.0,2021JJ00
LD01  ,953.0,2022JJ00
LD01  ,963.0,2023JJ00
LD02  ,1949.0,2013JJ00
LD02  ,1928.0,2014JJ00
LD02  ,1935.0,2015JJ00
LD02  ,1939.0,2016JJ00
LD02  ,1961.0,2017JJ00
LD02  ,1983.0,2018JJ00
LD02  ,2005.0,2019JJ00
LD02  ,2024.0,2020JJ00
LD02  ,2041.0,2021JJ00
LD02  ,2099.0,2022JJ00
LD02  ,2135.0,2023JJ00
LD03  ,4354.0,2013JJ00
LD03  ,4353.0,2014JJ00
LD03  ,4373.0,2015JJ00
LD03  ,4403.0,2016JJ00
LD03  ,4437.0,2017JJ00
LD03  ,4504.0,2018JJ00
LD03  ,4579.0,2019JJ00
LD03  ,4598.0,2020JJ00
LD03  ,4653.0,2021JJ00
LD03  ,4778.0,2022JJ00
LD03  ,4890.0,2023JJ00
LD04  ,1966.0,2013JJ00
LD04  ,1955.0,2014JJ00
LD04  ,1962.0,2015JJ00
LD04  ,1965.0,2016JJ00
LD04  ,1979.0,2017JJ00
LD04  ,1995.0,2018JJ00
LD04  ,2030.0,2019JJ00
LD04  ,2033.0,2020JJ00
LD04  ,2037.0,2021JJ00
LD04  ,2067.0,2022JJ00
LD04  ,2107.0,2023JJ00
PV20  ,315.0,2013JJ00
PV20  ,310.0,2014JJ00
PV20  ,315.0,2015JJ00
PV20  ,313.0,2016JJ00
PV20  ,315.0,2017JJ00
PV20  ,314.0,2018JJ00
PV20  ,317.0,2019JJ00
PV20  ,316.0,2020JJ00
PV20  ,322.0,2021JJ00
PV20  ,330.0,2022JJ00
PV20  ,333.0,2023JJ00
PV21  ,346.0,2013JJ00
PV21  ,343.0,2014JJ00
PV21  ,342.0,2015JJ00
