RegioS,LevendGeborenKinderenRelatief_2,Perioden
NL01  ,12.6,1988JJ00
NL01  ,12.7,1989JJ00
NL01  ,13.2,1990JJ00
NL01  ,13.2,1991JJ00
NL01  ,13.0,1992JJ00
NL01  ,12.8,1993JJ00
NL01  ,12.7,1994JJ00
NL01  ,12.3,1995JJ00
NL01  ,12.2,1996JJ00
NL01  ,12.3,1997JJ00
NL01  ,12.7,1998JJ00
NL01  ,12.7,1999JJ00
NL01  ,13.0,2000JJ00
NL01  ,12.6,2001JJ00
NL01  ,12.5,2002JJ00
NL01  ,12.3,2003JJ00
NL01  ,11.9,2004JJ00
NL01  ,11.5,2005JJ00
NL01  ,11.3,2006JJ00
NL01  ,11.1,2007JJ00
NL01  ,11.2,2008JJ00
NL01  ,11.2,2009JJ00
NL01  ,11.1,2010JJ00
NL01  ,10.8,2011JJ00
NL01  ,10.5,2012JJ00
NL01  ,10.2,2013JJ00
NL01  ,10.4,2014JJ00
NL01  ,10.1,2015JJ00
NL01  ,10.1,2016JJ00
NL01  ,9.9,2017JJ00
NL01  ,9.8,2018JJ00
NL01  ,9.8,2019JJ00
NL01  ,9.7,2020JJ00
NL01  ,10.2,2021JJ00
NL01  ,9.5,2022JJ00
LD01  ,11.9,1988JJ00
LD01  ,11.9,1989JJ00
LD01  ,12.2,1990JJ00
LD01  ,12.3,1991JJ00
LD01  ,11.9,1992JJ00
LD01  ,12.0,1993JJ00
LD01  ,11.8,1994JJ00
LD01  ,11.8,1995JJ00
LD01  ,11.6,1996JJ00
LD01  ,11.8,1997JJ00
LD01  ,12.1,1998JJ00
LD01  ,12.2,1999JJ00
LD01  ,12.2,2000JJ00
LD01  ,12.1,2001JJ00
LD01  ,12.0,2002JJ00
LD01  ,11.7,2003JJ00
LD01  ,11.2,2004JJ00
LD01  ,10.8,2005JJ00
LD01  ,10.6,2006JJ00
LD01  ,10.3,2007JJ00
LD01  ,10.5,2008JJ00
LD01  ,10.5,2009JJ00
LD01  ,10.2,2010JJ00
LD01  ,10.0,2011JJ00
LD01  ,9.6,2012JJ00
LD01  ,9.2,2013JJ00
LD01  ,9.3,2014JJ00
LD01  ,8.9,2015JJ00
LD01  ,9.1,2016JJ00
LD01  ,8.9,2017JJ00
LD01  ,8.5,2018JJ00
LD01  ,8.8,2019JJ00
LD01  ,8.6,2020JJ00
LD01  ,9.2,2021JJ00
LD01  ,8.5,2022JJ00
LD02  ,13.2,1988JJ00
LD02  ,13.2,1989JJ00
LD02  ,13.7,1990JJ00
LD02  ,13.6,1991JJ00
LD02  ,13.3,1992JJ00
LD02  ,13.3,1993JJ00
LD02  ,13.2,1994JJ00
LD02  ,12.8,1995JJ00
LD02  ,12.6,1996JJ00
LD02  ,12.8,1997JJ00
LD02  ,13.2,1998JJ00
LD02  ,13.3,1999JJ00
LD02  ,13.6,2000JJ00
LD02  ,13.2,2001JJ00
LD02  ,13.2,2002JJ00
LD02  ,13.0,2003JJ00
LD02  ,12.4,2004JJ00
LD02  ,12.0,2005JJ00
LD02  ,11.9,2006JJ00
LD02  ,11.4,2007JJ00
LD02  ,11.5,2008JJ00
LD02  ,11.4,2009JJ00
LD02  ,11.2,2010JJ00
LD02  ,10.8,2011JJ00
LD02  ,10.5,2012JJ00
LD02  ,10.3,2013JJ00
LD02  ,10.3,2014JJ00
LD02  ,10.1,2015JJ00
LD02  ,10.0,2016JJ00
LD02  ,9.8,2017JJ00
LD02  ,9.7,2018JJ00
LD02  ,9.7,2019JJ00
LD02  ,9.7,2020JJ00
LD02  ,10.1,2021JJ00
LD02  ,9.6,2022JJ00
LD03  ,12.8,1988JJ00
LD03  ,12.9,1989JJ00
LD03  ,13.4,1990JJ00
LD03  ,13.4,1991JJ00
LD03  ,13.2,1992JJ00
LD03  ,13.0,1993JJ00
LD03  ,12.9,1994JJ00
LD03  ,12.4,1995JJ00
LD03  ,12.4,1996JJ00
LD03  ,12.5,1997JJ00
LD03  ,12.9,1998JJ00
LD03  ,12.9,1999JJ00
LD03  ,13.2,2000JJ00
LD03  ,12.9,2001JJ00
LD03  ,12.8,2002JJ00
LD03  ,12.7,2003JJ00
LD03  ,12.4,2004JJ00
LD03  ,12.0,2005JJ00
LD03  ,11.8,2006JJ00
LD03  ,11.7,2007JJ00
LD03  ,11.9,2008JJ00
LD03  ,11.8,2009JJ00
LD03  ,11.8,2010JJ00
LD03  ,11.5,2011JJ00
LD03  ,11.3,2012JJ00
LD03  ,10.9,2013JJ00
LD03  ,11.2,2014JJ00
LD03  ,10.8,2015JJ00
LD03  ,10.9,2016JJ00
LD03  ,10.6,2017JJ00
LD03  ,10.5,2018JJ00
LD03  ,10.5,2019JJ00
LD03  ,10.3,2020JJ00
LD03  ,10.8,2021JJ00
LD03  ,9.9,2022JJ00
LD04  ,12.2,1988JJ00
LD04  ,12.3,1989JJ00
LD04  ,12.9,1990JJ00
LD04  ,12.7,1991JJ00
LD04  ,12.6,1992JJ00
LD04  ,12.3,1993JJ00
LD04  ,12.3,1994JJ00
LD04  ,11.9,1995JJ00
LD04  ,11.7,1996JJ00
LD04  ,11.7,1997JJ00
LD04  ,12.1,1998JJ00
LD04  ,11.9,1999JJ00
LD04  ,12.2,2000JJ00
LD04  ,11.7,2001JJ00
LD04  ,11.5,2002JJ00
LD04  ,11.3,2003JJ00
LD04  ,10.8,2004JJ00
LD04  ,10.2,2005JJ00
LD04  ,10.1,2006JJ00
LD04  ,9.8,2007JJ00
LD04  ,10.0,2008JJ00
