,category_de,name_de,algorithmus_de,description_de,statistical_basis_de,category_en,name_en,algorithmus_en,description_en,statistical_basis_en
0,Absolutzahlen,Arbeitslose,,"Es handelt sich um die Zahl der Arbeitslosen im Jahresdurchschnitt. Arbeitslose (bzw. arbeitslose Arbeitssuchende) sind laut Definition der BA Personen, die vorübergehend nicht in einem Beschäftigungsverhältnis stehen, eine versicherungspflichtige, mindestens 15 Wochenstunden umfassende Beschäftigung suchen, arbeiten dürfen, arbeitsfähig und arbeitsbereit sind, in der Bundesrepublik wohnen, nicht jünger als 15 Jahre sind und die Altersgrenze für den Renteneintritt noch nicht erreicht haben und sich persönlich bei einer Agentur für Arbeit oder einem Jobcenter arbeitslos gemeldet haben.",Arbeitsmarktstatistik der Bundesagentur für Arbeit (BA),Absolute numbers,Unemployed,,"The unemployed (or unemployed jobseekers) are, according to the definition of the BA, persons who are temporarily out of employment, are entitled to seek, work, work for at least 15 hours per week, are able to work and are ready to work, live in the Federal Republic of Germany, are not younger than 15 years and have not yet reached the retirement age limit and have personally registered as unemployed with an employment agency or a job centre.",Labour market statistics of the Federal Employment Agency (BA)
1,Absolutzahlen,Bruttoinlandsprodukt in 1000 Euro,,"Das Bruttoinlandsprodukt (BIP) misst die Produktion von Waren und Dienstleistungen im Inland, soweit diese nicht als Vorleistungen für die Produktion anderer Waren und Dienstleistungen verwendet werden. Von seiner Entstehung her gesehen ergibt sich das BIP als Summe der Wertschöpfung aller Wirtschaftsbereiche zuzüglich des Saldos von Gütersteuern minus Gütersubventionen. Die regionalen Ergebnisse der Volkswirtschaftlichen Gesamtrechnungen werden in Deutschland vom Arbeitskreis „Volkswirtschaftliche Gesamtrechnungen der Länder“ erstellt. Grundlage der Berechnungen ist das Europäische System Volkswirtschaftlicher Gesamt-rechnungen (ESVG)  2010 und die darauf begründete Generalrevision 2014. Regionale Ergebnisse werden durch die Aufteilung des nationalen Ergebnisses auf die Regionen, angefangen bei den Bundesländern bis zu den Stadt- und Landkreisen, gewonnen. Bei der Bottom-up-Methode wird von den regional vorliegenden Angaben einzelner Beobachtungseinheiten ausgegangen und diese dann regional-hierarchisch addiert. Dieses Vorgehen stellt hohe Ansprüche bezüglich der regionalen  Verfügbarkeit des Datenmaterials. Durchführen lässt sich diese Methode insbesondere im Produzierenden Gewerbe. Diese Ergebnisse werden noch durch die Koordinierung an den Bundeseckwerten gemäß Festlegungen im ESVG-Kapitel zu den Regionalen VGR-Aggregaten angepasst. Es wird angenommen, dass die nationalen VGR-Größen wegen der besseren Datenlage a priori genauere Werte liefern als die Länderrechnung, zumal auch nur auf Bundesebene eine kreislaufmäßige Abstimmung der VGR-Aggregate über die sogenannte Drei-Seiten-Rechnung möglich ist. Bei der Top-down-Methode wird das auf Bundesebene ermittelte gesamtwirtschaftliche Aggregat auf die einzelnen Regionen verteilt, mittels geeigneter Schlüsselgrößen, die in möglichst engem Zusammenhang zu den zu berechnenden Aggregaten stehen und diese möglichst genau widerspiegeln sollen. Diese indirekte  Methode muss in den Wirtschaftsbereichen angewandt werden, wo die Datenlage nur auf Bundesebene eine differenzierte Berechnung der Aggregate zulässt. Hiervon ist vor allem der Dienstleistungsbereich im weiteren Sinne betroffen.","Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der Länder""",Absolute numbers,Gross domestic product in 1000 euros,,"In the Federal Republic of Germany, the gross domestic product (GDP) is calculated as the sum of the value added of all economic sectors plus the balance of taxes on goods minus subsidies on goods. The regional results of the national accounts are obtained in Germany by the working group ""National Accounts of the Länder"". The basis of the calculations is the European System of National Accounts (ESA) 2010 and the general revision 2014 based on it. Regional results are obtained by dividing the national results between the regions, from the Länder to the municipalities. The bottom-up method is based on the regionally available data of individual observation units and then added to the regional-hierarchically. This approach represents high demands on the regional availability of the data material. This method can only be used as a basis for calculating the regional aggregates in the Federal Republic of Germany.",Working Party on National Accounts of Countries
2,Absolutzahlen,Sozialversicherungspflichtig Beschäftigte am Wohnort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Wohnort. Der Wohnort bezeichnet  die  Regionaleinheit, in der die Beschäftigten wohnen, unabhängig davon wo sie arbeiten. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),Absolute numbers,Employees liable to social security contributions at their place of residence,,"This is the number of employees liable to social security contributions at the reference date of 30 June of each year. Employees are identified at the place of residence. The place of residence refers to the regional unit in which the employees live, irrespective of where they work. Employees liable to social security contributions are, according to the definition of the BA, persons who have an employer's declaration for social security contributions in at least one of the branches of social security (pension insurance, health and care insurance, unemployment insurance) who are employed for remuneration (exceptions are interruptions such as parental leave) and are subject to at least one hour per week. Employees liable to social insurance contributions include employees in a training relationship, in workshops for disabled people and similar institutions, in voluntary services.",Employment statistics of the Federal Employment Agency (BA)
3,Absolutzahlen,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Arbeitsort. Der Arbeitsort ist die Regionaleinheit, in der die Beschäftigten arbeiten, unabhängig davon wo sie wohnen. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),Absolute numbers,Social security employees at the place of work,,"This is the number of employees liable to social security contributions at the reference date of 30 June of each year. Employees are identified at the place of work. The place of work is the regional unit in which the employees work, regardless of where they live. Employees liable to social security contributions are, according to the definition of the BA, persons who have an employer's declaration for social security contributions in at least one of the branches of social security (pension insurance, health and care insurance, unemployment insurance) who are employed for remuneration (exceptions are interruptions such as parental leave) and are subject to at least one hour per week. Employees liable to social security contributions include employees in a training relationship, in workshops for disabled people and similar institutions, in voluntary services.",Employment statistics of the Federal Employment Agency (BA)
4,Absolutzahlen,Bevölkerung (mit Korrektur VZ 1987/Zensus 2011),,"Zwischen der Zahl der Bevölkerung am 31.12.2011 gemäß der Bevölkerungsfortschreibung auf Basis der letzten Volkszählung 1987 (BRD) und 1981 (DDR) und der Bevölkerungsfortschreibung auf Basis des Zensus 2011 ergab sich eine Diskrepanz, die lokal und regional sehr unterschiedlich hoch ausgefallen ist. Die Berechnung von Zeitreihen und Entwicklungen mit Einschluss des Beobachtungsjahres 2011 beinhaltet entweder den „Zensusknick“ oder muss sich auf zensuskorrigierte Zahlen stützen. Hierzu hat das BBSR die Diskrepanz der Bevölkerungszahlen am 31.12.2011 rückwirkend und linear bis 1990 auf die Zahlen der Fortschreibung übertragen. 1989 bildet den Stützpunkt  aus der Fortschreibung, da für dieses Beobachtungsjahr gesamtdeutsche Tabellen sowohl auf Gemeinde- als auch auf Kreisebene vorliegen. Ausgangspunkt ist die Überlegung, dass sich Fehler in der Fortschreibung mit zeitlichem Abstand zur letzten Volkszählung vergrößern. Die lineare Funktion ist hierbei die über alle Gemeinden und Kreise betrachtet wahrscheinlichste Funktion!. eine individuell angepasste Korrektur für jede Gemeinde, jeden Kreis ist bei der Zahl der zu recherchierenden Informationen nicht leistbar.","Bundesinstitut für Bau-, Stadt- und Raumforschung, Laufende Raumbeobachtung des BBSR",Absolute numbers,Population (with correction VZ 1987/Zensus 2011),,"Between the number of population on 31 December 2011 according to the population update on the basis of the last census 1987 (BRD) and 1981 (DDR) and the population update on the basis of the 2011 census, there was a discrepancy which was very different locally and regionally. The calculation of time series and developments with inclusion of the observation year 2011 includes either the ""Zensusknick"" or must be based on census corrected figures. To this end, the BBSR has transferred the discrepancy of the population numbers on 31 December 2011 retroactively and linearly up to 1990 to the numbers of the continuation. 1989 forms the basis of the continuation, since for this year of observation all German tables are available both at municipal and county level. The starting point is the consideration that errors in the continuation increase with time interval to the last census. The linear function is the most likely function to be considered over all municipalities and circles!. An individually adjusted correction for each municipality, each circle is not available in the number of information to be searched.","Bundesinstitut für Bau-, Stadt- und Raumforschung, Auflaufende Raumbeobachtung des BBSR"
5,Absolutzahlen,Bevölkerung gesamt,,"Es handelt sich um die Zahl der Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Als Bevölkerung (Einwohnerinnen und Einwohner) wird die Anzahl der Personen bezeichnet, die in einer Regionaleinheit (Gemeinde, Kreis usw.) ihren ständigen Wohnsitz (Hauptwohnsitz) haben, einschließlich der dort für längere Zeit als wohnhaft gemeldeten Ausländer. Das BBSR verwendet die Bevölkerung zum Stichtag 31. Dezember für alle einwohnerbezogenen Indikatoren, so auch bei Fließgrößen über das Jahr (wie Geburten, Sterbefälle, Wanderungen, Finanzströmen und – anders als die Statistischen Ämter des Bundes und der Länder - auch bei den Größen der Volkswirtschaftlichen Gesamtrechnung.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absolute numbers,Total population,,"This is the number of inhabitants as at 31 December of each year. From 2011 onwards, the results of the population update based on the 2011 census. The population (inhabitants) is the number of persons who have their permanent residence in a regional unit (community, county, etc.), including foreigners registered there for a longer period of time as residents. The BFSR uses the population as at 31 December for all resident-related indicators, including flows over the year (such as births, deaths, migrations, financial flows and, unlike the Federal and Länder statistical offices, also for the size of the national accounts.",Updating of the population of the federal and state governments
6,Absolutzahlen,Bevölkerung weiblich,,Es handelt sich um die Zahl der weiblichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absolute numbers,Population female,,"This is the number of female residents as at 31 December of the respective year. Starting in 2011 results of the population update based on the 2011 census. For methodological reasons, persons with the gender characteristics 'unknown' and 'divers' cannot be identified separately. Persons with these gender characteristics are distributed by a defined conversion method to the gender characteristics male and female.",Updating of the population of the federal and state governments
7,Absolutzahlen,Bevölkerung männlich,,Es handelt sich um die Zahl der männlichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absolute numbers,Population Male,,"This is the number of male residents as at 31 December of the respective year. From 2011 results of the population update on the basis of the 2011 census. For methodological reasons, persons with the gender characteristics 'unknown' and 'divers' cannot be identified separately. Persons with these gender characteristics are distributed by a defined re-encryption method to the gender characteristics male and female.",Updating of the population of the federal and state governments
8,Absolutzahlen,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),,"Es handelt sich um die Zahl der Einwohner und Einwohnerinnen im Alter von 15 bis unter 65 Jahren zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Erwerbsfähigkeit nach Alter richtet sich nach dem frühestmöglichen Lebensjahr, an dem ein regulärer Schulabschluss erworben werden kann (Hauptschulabschluss nach 9. Schulklasse) und dem regulären Renteneintrittsalter. Sowohl bezüglich des Schulabschlusses als auch bezüglich des Renteneintrittsalters ändert sich der Ein- bzw. Austritt für die Mehrheit über die Zeit (Anstieg der Schulabschlüsse mit mittlerer Reife und Abitur, gesetzliche Anhebung des Rentenalters, Frührentnerregelungen etc.), so dass andere Altersgruppen sachlich Realitätsnäher scheinen mögen. Insbesondere im internationalen Vergleich ist die Definition von Erwerbsfähigkeit nach Alter auf Personen in den  Altersgruppen 15 bis unter 65 Jahre jedoch im Regional- und Zeitvergleich sinnvoll.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absolute numbers,Working population (15 to under 65 years),,"It is the number of inhabitants aged 15 to under 65 as at 31 December of each year. From 2011 onwards, the population update results based on the 2011 census. Employability by age depends on the earliest possible age at which a regular school degree can be obtained (main school leaving after 9th grade) and the regular retirement age. Both in terms of school leaving and the retirement age, the entry or exit for the majority changes over time (increase in intermediate school leaving and high school leaving, legal increase in retirement age, early retirement schemes, etc.), so that other age groups may seem more realistic. In particular, in the international comparison, however, the definition of employability by age to persons aged 15 to less than 65 years makes sense in the regional and time comparison.",Updating of the population of the federal and state governments
9,Absolutzahlen,Bodenfläche gesamt qkm,,Als Katasterfläche bezeichnet man den vermessungstechnisch ermittelten Flächeninhalt einer Regionaleinheit. Grundlage für die Ermittlung der Fläche bildet der von Vermessungsämtern geführte Kataster. Statt von Katasterfläche wir verkürzt auch von Fläche oder Gesamtfläche gesprochen.,Flächenerhebung nach Art der tatsächlichen Nutzung der Statistischen Ämter des Bundes und der Länder,Absolute numbers,Total floor area qkm,,The cadastral area is the measured area of a regional unit. The basis for the determination of the area is the cadastral area managed by survey offices. Instead of cadastral area we also shorten the area or total area.,Area survey by type of actual use of the Federal and Länder statistical offices
