,category_de,name_de,algorithmus,description,statistical_basis,category_nl,name_nl,algorithmus_nl,description_nl,statistical_basis_nl
0,Absolutzahlen,Arbeitslose,,"Es handelt sich um die Zahl der Arbeitslosen im Jahresdurchschnitt. Arbeitslose (bzw. arbeitslose Arbeitssuchende) sind laut Definition der BA Personen, die vorübergehend nicht in einem Beschäftigungsverhältnis stehen, eine versicherungspflichtige, mindestens 15 Wochenstunden umfassende Beschäftigung suchen, arbeiten dürfen, arbeitsfähig und arbeitsbereit sind, in der Bundesrepublik wohnen, nicht jünger als 15 Jahre sind und die Altersgrenze für den Renteneintritt noch nicht erreicht haben und sich persönlich bei einer Agentur für Arbeit oder einem Jobcenter arbeitslos gemeldet haben.",Arbeitsmarktstatistik der Bundesagentur für Arbeit (BA),Absoluut aantal,Werklozen,,"Het gaat om het gemiddelde aantal werklozen per jaar: werklozen (of werkzoekenden) zijn volgens de definitie van BA personen die tijdelijk niet in een arbeidsverhouding staan, verzekerden die ten minste 15 uur per week werken, die werkbaar zijn, in de Bondsrepubliek wonen, niet jonger zijn dan 15 jaar en die nog niet de pensioengerechtigde leeftijd hebben bereikt en zich persoonlijk hebben aangemeld bij een bureau voor arbeid of werkzoekende.",Arbeidsmarktstatistieken van het Bundes Agency für Arbeit (BA)
1,Absolutzahlen,Bruttoinlandsprodukt in 1000 Euro,,"Das Bruttoinlandsprodukt (BIP) misst die Produktion von Waren und Dienstleistungen im Inland, soweit diese nicht als Vorleistungen für die Produktion anderer Waren und Dienstleistungen verwendet werden. Von seiner Entstehung her gesehen ergibt sich das BIP als Summe der Wertschöpfung aller Wirtschaftsbereiche zuzüglich des Saldos von Gütersteuern minus Gütersubventionen. Die regionalen Ergebnisse der Volkswirtschaftlichen Gesamtrechnungen werden in Deutschland vom Arbeitskreis „Volkswirtschaftliche Gesamtrechnungen der Länder“ erstellt. Grundlage der Berechnungen ist das Europäische System Volkswirtschaftlicher Gesamt-rechnungen (ESVG)  2010 und die darauf begründete Generalrevision 2014. Regionale Ergebnisse werden durch die Aufteilung des nationalen Ergebnisses auf die Regionen, angefangen bei den Bundesländern bis zu den Stadt- und Landkreisen, gewonnen. Bei der Bottom-up-Methode wird von den regional vorliegenden Angaben einzelner Beobachtungseinheiten ausgegangen und diese dann regional-hierarchisch addiert. Dieses Vorgehen stellt hohe Ansprüche bezüglich der regionalen  Verfügbarkeit des Datenmaterials. Durchführen lässt sich diese Methode insbesondere im Produzierenden Gewerbe. Diese Ergebnisse werden noch durch die Koordinierung an den Bundeseckwerten gemäß Festlegungen im ESVG-Kapitel zu den Regionalen VGR-Aggregaten angepasst. Es wird angenommen, dass die nationalen VGR-Größen wegen der besseren Datenlage a priori genauere Werte liefern als die Länderrechnung, zumal auch nur auf Bundesebene eine kreislaufmäßige Abstimmung der VGR-Aggregate über die sogenannte Drei-Seiten-Rechnung möglich ist. Bei der Top-down-Methode wird das auf Bundesebene ermittelte gesamtwirtschaftliche Aggregat auf die einzelnen Regionen verteilt, mittels geeigneter Schlüsselgrößen, die in möglichst engem Zusammenhang zu den zu berechnenden Aggregaten stehen und diese möglichst genau widerspiegeln sollen. Diese indirekte  Methode muss in den Wirtschaftsbereichen angewandt werden, wo die Datenlage nur auf Bundesebene eine differenzierte Berechnung der Aggregate zulässt. Hiervon ist vor allem der Dienstleistungsbereich im weiteren Sinne betroffen.","Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der Länder""",Absoluut aantal,Bruto binnenlands product in 1000 euro,,"Het bruto binnenlands product (bbp) wordt in dit verband als volgt berekend: het bruto binnenlands product (bbp) wordt uitgedrukt in termen van de totale toegevoegde waarde van alle economische sectoren plus het saldo van de goederenbelasting minus productsubsidies. De regionale resultaten van de nationale rekeningen worden in Duitsland op basis van de nationale rekeningen van de deelstaten berekend. De berekeningen zijn gebaseerd op de regionale gegevens van de afzonderlijke waarnemingseenheden in 2010 en de daarop gebaseerde algemene herziening van 2014. Regionale resultaten worden verkregen door de verdeling van de nationale resultaten over de regio's, van de deelstaten tot de stedelijke en plattelandsgebieden. Deze resultaten worden nog steeds gebaseerd op de regionale gegevens van de afzonderlijke waarnemingseenheden en worden vervolgens regionaal-hierarchisch bij elkaar opgeteld. Deze aanpak is van invloed op de regionale beschikbaarheid van het gegevensmateriaal.","Studiegroep ""Nationale rekeningen van de landen"""
2,Absolutzahlen,Sozialversicherungspflichtig Beschäftigte am Wohnort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Wohnort. Der Wohnort bezeichnet  die  Regionaleinheit, in der die Beschäftigten wohnen, unabhängig davon wo sie arbeiten. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),Absoluut aantal,Werknemers van sociale zekerheid in de woonplaats,,"Het gaat om het aantal werknemers dat verplicht is tot sociale verzekering op 30 juni van elk jaar. De woonplaats is de regionale eenheid waar de werknemers wonen, ongeacht de plaats waar zij werken. De werknemers die verplicht zijn tot sociale zekerheid zijn volgens de definitie van de BA personen van wie een werkgever aangifte doet van de sociale zekerheid die in ten minste één van de takken van de sociale zekerheid (pensioenverzekering, ziekte- en zorgverzekering, werkloosheidsverzekering) verzekerd zijn, die in loondienst werkzaam zijn tegen beloning (uitzonderingen zijn rusttijden zoals ouderschapsverlof) zijn met ten minste één uur per week. Tot de werknemers die verplicht zijn voor de sociale zekerheid behoren ook werknemers in een opleiding, werkplaatsen voor gehandicapten en soortgelijke instellingen, vrijwilligerswerk.",Werknemersstatistieken van het Bundes Agency für Arbeit (BA)
3,Absolutzahlen,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Arbeitsort. Der Arbeitsort ist die Regionaleinheit, in der die Beschäftigten arbeiten, unabhängig davon wo sie wohnen. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),Absoluut aantal,Werknemers die verplicht zijn tot sociale zekerheid op de arbeidsplaats,,"Het gaat om het aantal werknemers dat verplicht is tot sociale verzekering op 30 juni van elk jaar. De plaats van tewerkstelling is de regionale eenheid waar de werknemers werken, ongeacht waar zij wonen. De werknemers die verplicht zijn tot sociale zekerheid zijn volgens de definitie van de BA personen waarvan een werkgever aangifte doet van de sociale zekerheid die in ten minste één van de takken van de sociale zekerheid (pensioenverzekering, ziekte- en zorgverzekering, werkloosheidsverzekering) verplicht zijn, die in loondienst werkzaam zijn tegen beloning (uitzondering geldt voor onderbrekingen zoals ouderschapsverlof) met ten minste één uur per week. Tot de werknemers die verplicht zijn voor de sociale zekerheid behoren ook werknemers in een opleiding, in werkplaatsen voor gehandicapten en soortgelijke instellingen, in vrijwilligerswerk.",Werknemersstatistieken van het Bundes Agency für Arbeit (BA)
4,Absolutzahlen,Bevölkerung (mit Korrektur VZ 1987/Zensus 2011),,"Zwischen der Zahl der Bevölkerung am 31.12.2011 gemäß der Bevölkerungsfortschreibung auf Basis der letzten Volkszählung 1987 (BRD) und 1981 (DDR) und der Bevölkerungsfortschreibung auf Basis des Zensus 2011 ergab sich eine Diskrepanz, die lokal und regional sehr unterschiedlich hoch ausgefallen ist. Die Berechnung von Zeitreihen und Entwicklungen mit Einschluss des Beobachtungsjahres 2011 beinhaltet entweder den „Zensusknick“ oder muss sich auf zensuskorrigierte Zahlen stützen. Hierzu hat das BBSR die Diskrepanz der Bevölkerungszahlen am 31.12.2011 rückwirkend und linear bis 1990 auf die Zahlen der Fortschreibung übertragen. 1989 bildet den Stützpunkt  aus der Fortschreibung, da für dieses Beobachtungsjahr gesamtdeutsche Tabellen sowohl auf Gemeinde- als auch auf Kreisebene vorliegen. Ausgangspunkt ist die Überlegung, dass sich Fehler in der Fortschreibung mit zeitlichem Abstand zur letzten Volkszählung vergrößern. Die lineare Funktion ist hierbei die über alle Gemeinden und Kreise betrachtet wahrscheinlichste Funktion!. eine individuell angepasste Korrektur für jede Gemeinde, jeden Kreis ist bei der Zahl der zu recherchierenden Informationen nicht leistbar.","Bundesinstitut für Bau-, Stadt- und Raumforschung, Laufende Raumbeobachtung des BBSR",Absoluut aantal,Bevolking (met correctie VZ 1987/Census 2011),,"Tussen het aantal bevolkingen op 31 december 2011 en de bevolkingsaanwas op basis van de bevolkingsaanwas op basis van de laatste volkstelling 1987 (BRD) en 1981 (DDR) en de bevolkingsaanwas op basis van de census 2011 was er een verschil, dat op lokaal en regionaal niveau zeer verschillend is uitgevallen. De berekening van tijdreeksen en ontwikkelingen met inbegrip van het waarnemingsjaar 2011 omvat ofwel de ""Censusknick"" ofwel moet worden gebaseerd op census-gecorrigeerde cijfers. Hiertoe heeft de BBSR de kloof tussen de bevolkingscijfers op 31 december 2011 met terugwerkende kracht en lineair tot 1990 overgedragen op de cijfers van de actualisering. 1989 vormt het steunpunt van de actualisering, aangezien er voor dit waarnemingsjaar zowel op gemeente- als op kringniveau macro-Duitse tabellen beschikbaar zijn. Uitgangspunt is dat fouten in de actualisering met de laatste volkstelling toenemen. De lineaire functie is de meest waarschijnlijke functie voor alle gemeenten en kringen!. een individueel aangepaste correctie voor elke gemeente, elke cirkel is niet te rechtvaardigen bij het aantal te rapporteren informatie.","Bundesinstitut für Bau-, Stadt- und Spaceforschung, Lopend Space observation des BBSR"
5,Absolutzahlen,Bevölkerung gesamt,,"Es handelt sich um die Zahl der Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Als Bevölkerung (Einwohnerinnen und Einwohner) wird die Anzahl der Personen bezeichnet, die in einer Regionaleinheit (Gemeinde, Kreis usw.) ihren ständigen Wohnsitz (Hauptwohnsitz) haben, einschließlich der dort für längere Zeit als wohnhaft gemeldeten Ausländer. Das BBSR verwendet die Bevölkerung zum Stichtag 31. Dezember für alle einwohnerbezogenen Indikatoren, so auch bei Fließgrößen über das Jahr (wie Geburten, Sterbefälle, Wanderungen, Finanzströmen und – anders als die Statistischen Ämter des Bundes und der Länder - auch bei den Größen der Volkswirtschaftlichen Gesamtrechnung.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absoluut aantal,Totale bevolking,,"Het gaat om het aantal inwoners op 31 december van elk jaar. Vanaf 2011 de resultaten van de bevolkingsaanvulling op basis van de census 2011. De bevolking (inwoners) wordt het aantal personen genoemd die in een regionale eenheid (gemeenten, districten, enz.) hun vaste verblijfplaats (hoofdwoonplaats) hebben, met inbegrip van de vreemdelingen die daar voor langere tijd als inwoner zijn geregistreerd. Het BBSR gebruikt de bevolking op 31 december voor alle indicatoren die betrekking hebben op de bevolking, ook bij stromen over het jaar (zoals geboorten, overlijdens, migraties, financiële stromen en in tegenstelling tot de statistische diensten van de federale overheid en de deelstaten - ook bij de omvang van de nationale rekeningen.",Voortzetting van de bevolking van de federale en de deelstaten
6,Absolutzahlen,Bevölkerung weiblich,,Es handelt sich um die Zahl der weiblichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absoluut aantal,Bevolking van vrouwen,,Het gaat om het aantal vrouwelijke inwoners op 31 december van elk jaar. Vanaf 2011 de resultaten van de bevolkingsbijstelling op basis van de census 2011. Om methodologische redenen kunnen personen met de geslachtsuitdrukkingen 'onbekend' en 'divers' niet afzonderlijk worden geïdentificeerd. Personen met deze geslachtsuitdrukkingen worden door middel van een gedefinieerde hercoderingsprocedure over de geslachtsuitdrukkingen van mannen en vrouwen verdeeld.,Voortzetting van de bevolking van de federale en de deelstaten
7,Absolutzahlen,Bevölkerung männlich,,Es handelt sich um die Zahl der männlichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absoluut aantal,Mannelijke bevolking,,Het gaat om het aantal mannelijke inwoners op 31 december van elk jaar. Vanaf 2011 resultaten van de bevolkingsaanvulling op basis van de census 2011. Om methodologische redenen kunnen personen met de geslachtsuitdrukkingen 'onbekend' en 'divers' niet afzonderlijk worden geïdentificeerd. Personen met deze geslachtsuitdrukkingen worden door middel van een gedefinieerde hercoderingsprocedure over de geslachtsuitdrukkingen van mannen en vrouwen verdeeld.,Voortzetting van de bevolking van de federale en de deelstaten
8,Absolutzahlen,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),,"Es handelt sich um die Zahl der Einwohner und Einwohnerinnen im Alter von 15 bis unter 65 Jahren zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Erwerbsfähigkeit nach Alter richtet sich nach dem frühestmöglichen Lebensjahr, an dem ein regulärer Schulabschluss erworben werden kann (Hauptschulabschluss nach 9. Schulklasse) und dem regulären Renteneintrittsalter. Sowohl bezüglich des Schulabschlusses als auch bezüglich des Renteneintrittsalters ändert sich der Ein- bzw. Austritt für die Mehrheit über die Zeit (Anstieg der Schulabschlüsse mit mittlerer Reife und Abitur, gesetzliche Anhebung des Rentenalters, Frührentnerregelungen etc.), so dass andere Altersgruppen sachlich Realitätsnäher scheinen mögen. Insbesondere im internationalen Vergleich ist die Definition von Erwerbsfähigkeit nach Alter auf Personen in den  Altersgruppen 15 bis unter 65 Jahre jedoch im Regional- und Zeitvergleich sinnvoll.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,Absoluut aantal,In aanmerking komende bevolking (15 tot minder dan 65 jaar),,"Het gaat hier om het aantal inwoners van 15 tot jonger dan 65 jaar op 31 december van elk jaar. Vanaf 2011 de resultaten van de bevolkingsaanvulling op basis van de Census 2011. Arbeidsvermogen naar leeftijd is afhankelijk van de vroegste leeftijd waarop een reguliere schoolafspraak kan worden behaald (hoofdschool na 9e schoolklas) en de reguliere pensioenleeftijd. Zowel wat de schoolafsluiting als wat de pensioenleeftijd betreft, verandert de in- en uitstroom van de meerderheid over de periode (verhoging van de diploma's met middelbare leeftijd, wettelijke verhoging van de pensioengerechtigde leeftijd, regelingen voor vervroegde uittreding, enz.), zodat andere leeftijdsgroepen feitelijk dichter bij de werkelijkheid lijken te liggen. Met name in internationaal verband is de definitie van arbeidsgeschiktheid naar leeftijd echter zinvol voor personen in de leeftijdsgroepen 15 tot en met 65 jaar in vergelijking met de regionale en tijd.",Voortzetting van de bevolking van de federale en de deelstaten
9,Absolutzahlen,Bodenfläche gesamt qkm,,Als Katasterfläche bezeichnet man den vermessungstechnisch ermittelten Flächeninhalt einer Regionaleinheit. Grundlage für die Ermittlung der Fläche bildet der von Vermessungsämtern geführte Kataster. Statt von Katasterfläche wir verkürzt auch von Fläche oder Gesamtfläche gesprochen.,Flächenerhebung nach Art der tatsächlichen Nutzung der Statistischen Ämter des Bundes und der Länder,Absoluut aantal,Totaal vloeroppervlak qkm,,Het kadastrale oppervlak wordt de gemeten oppervlakte van een regionale eenheid genoemd. De basis voor de bepaling van de oppervlakte is de kadastrale kadastrale structuur die door de meters wordt geleid. In plaats van kadastrale oppervlakte verkorten wij ook de oppervlakte of de totale oppervlakte.,Oppervlakteenquête naar het werkelijke gebruik van de statistische diensten van de federale overheid en de deelstaten
