,select,category,category_de,category_nl,name,name_de,name_nl,source_de,source_id_de,source_nl,source_id_nl,Zeitbezug_min,Zeitbezug_max,Gemeinden,Gemeindeverbände,Kreise
0,,Absolute numbers,Absolutzahlen,,Unemployed,Arbeitslose,,Inkar,2176,,,1995,2020,,X,X
1,x,Absolute numbers,Absolutzahlen,,Population (with correction VZ 1987/Zensus 2011),Bevölkerung (mit Korrektur VZ 1987/Zensus 2011),,Inkar,10806,,,1995,2020,,X,X
2,,Absolute numbers,Absolutzahlen,,Total population,Bevölkerung gesamt,,Inkar,12586,,,1995,2020,,X,X
3,,Absolute numbers,Absolutzahlen,,Population Male,Bevölkerung männlich,,Inkar,12747,,,1995,2020,,X,X
4,,Absolute numbers,Absolutzahlen,,Population female,Bevölkerung weiblich,,Inkar,12746,,,1995,2020,,X,X
5,,Absolute numbers,Absolutzahlen,,Total floor area qkm,Bodenfläche gesamt qkm,,Inkar,18168,,,1996,2020,,X,X
6,,Absolute numbers,Absolutzahlen,,Gross domestic product in 1000 euros,Bruttoinlandsprodukt in 1000 Euro,,Inkar,4273,,,2000,2020,,,X
7,,Absolute numbers,Absolutzahlen,,Working population (15 to under 65 years),Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),,Inkar,16607,,,1995,2020,,X,X
8,,Absolute numbers,Absolutzahlen,,Employment,Erwerbstätige,,Inkar,18602,,,2000,2020,,,X
9,,Absolute numbers,Absolutzahlen,,Social security employees at the place of work,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,,Inkar,8774,,,1997,2020,,X,X
10,,Absolute numbers,Absolutzahlen,,Employees liable to social security contributions at their place of residence,Sozialversicherungspflichtig Beschäftigte am Wohnort,,Inkar,8766,,,1997,2020,,X,X
11,,Unemployment,Arbeitslosigkeit,,Proportion of younger unemployed,Anteil jüngere Arbeitslose,,Inkar,15127,,,1995,2020,,X,X
12,,Unemployment,Arbeitslosigkeit,,Proportion of young male unemployed,Anteil männliche jüngere Arbeitslose,,Inkar,16288,,,1998,2020,,X,X
13,,Unemployment,Arbeitslosigkeit,,Proportion of older male unemployed,Anteil männliche ältere Arbeitslose,,Inkar,16367,,,1998,2020,,X,X
14,,Unemployment,Arbeitslosigkeit,,Proportion of young women unemployed,Anteil weibliche jüngere Arbeitslose,,Inkar,16286,,,1998,2020,,X,X
15,,Unemployment,Arbeitslosigkeit,,Proportion of older female unemployed,Anteil weibliche ältere Arbeitslose,,Inkar,16347,,,1998,2020,,X,X
16,,Unemployment,Arbeitslosigkeit,,Proportion of older unemployed,Anteil ältere Arbeitslose,,Inkar,16326,,,1998,2020,,X,X
17,,Unemployment,Arbeitslosigkeit,,Unemployed women,Arbeitslose Frauen,,Inkar,15026,,,1995,2020,,X,X
18,,Unemployment,Arbeitslosigkeit,,Unemployed men,Arbeitslose Männer,,Inkar,15027,,,1995,2020,,X,X
19,,Unemployment,Arbeitslosigkeit,,Unemployed with a requirement level Expert,Arbeitslose mit Anforderungsniveau Experte,,Inkar,15032,,,2010,2020,,X,X
20,,Unemployment,Arbeitslosigkeit,,Unemployed with a qualification level Specialist,Arbeitslose mit Anforderungsniveau Fachkraft,,Inkar,15034,,,2010,2020,,X,X
21,,Unemployment,Arbeitslosigkeit,,Unemployed with a requirement level Helpers,Arbeitslose mit Anforderungsniveau Helfer,,Inkar,15035,,,2010,2020,,X,X
22,,Unemployment,Arbeitslosigkeit,,Unemployed with a level of qualification Specialist,Arbeitslose mit Anforderungsniveau Spezialist,,Inkar,15033,,,2010,2020,,X,X
23,,Unemployment,Arbeitslosigkeit,,Unemployed without training,Arbeitslose ohne Ausbildung,,Inkar,15031,,,2009,2020,,X,X
24,,Unemployment,Arbeitslosigkeit,,Unemployment rate,Arbeitslosenquote,,Inkar,14574,,,1998,2020,,,X
