RegioS,k_40Tot45Jaar_14,Perioden
NL01  ,2392.0,1988JJ00
NL01  ,2618.0,1989JJ00
NL01  ,2778.0,1990JJ00
NL01  ,3045.0,1991JJ00
NL01  ,3273.0,1992JJ00
NL01  ,3474.0,1993JJ00
NL01  ,3621.0,1994JJ00
NL01  ,3644.0,1995JJ00
NL01  ,3796.0,1996JJ00
NL01  ,4125.0,1997JJ00
NL01  ,4451.0,1998JJ00
NL01  ,4808.0,1999JJ00
NL01  ,5249.0,2000JJ00
NL01  ,5451.0,2001JJ00
NL01  ,5701.0,2002JJ00
NL01  ,5836.0,2003JJ00
NL01  ,6225.0,2004JJ00
NL01  ,6308.0,2005JJ00
NL01  ,6328.0,2006JJ00
NL01  ,6522.0,2007JJ00
NL01  ,6817.0,2008JJ00
NL01  ,7252.0,2009JJ00
NL01  ,7565.0,2010JJ00
NL01  ,7393.0,2011JJ00
NL01  ,7212.0,2012JJ00
NL01  ,6836.0,2013JJ00
NL01  ,7046.0,2014JJ00
NL01  ,6733.0,2015JJ00
NL01  ,6922.0,2016JJ00
NL01  ,6941.0,2017JJ00
NL01  ,7089.0,2018JJ00
NL01  ,7356.0,2019JJ00
NL01  ,7571.0,2020JJ00
NL01  ,8007.0,2021JJ00
NL01  ,7684.0,2022JJ00
NL01  ,7600.0,2023JJ00
LD01  ,202.0,1988JJ00
LD01  ,233.0,1989JJ00
LD01  ,208.0,1990JJ00
LD01  ,234.0,1991JJ00
LD01  ,281.0,1992JJ00
LD01  ,308.0,1993JJ00
LD01  ,295.0,1994JJ00
LD01  ,377.0,1995JJ00
LD01  ,308.0,1996JJ00
LD01  ,367.0,1997JJ00
LD01  ,368.0,1998JJ00
LD01  ,429.0,1999JJ00
LD01  ,433.0,2000JJ00
LD01  ,465.0,2001JJ00
LD01  ,498.0,2002JJ00
LD01  ,476.0,2003JJ00
LD01  ,549.0,2004JJ00
LD01  ,533.0,2005JJ00
LD01  ,516.0,2006JJ00
LD01  ,540.0,2007JJ00
LD01  ,548.0,2008JJ00
LD01  ,622.0,2009JJ00
LD01  ,595.0,2010JJ00
LD01  ,620.0,2011JJ00
LD01  ,558.0,2012JJ00
LD01  ,500.0,2013JJ00
LD01  ,500.0,2014JJ00
LD01  ,507.0,2015JJ00
LD01  ,482.0,2016JJ00
LD01  ,501.0,2017JJ00
LD01  ,470.0,2018JJ00
LD01  ,509.0,2019JJ00
LD01  ,528.0,2020JJ00
LD01  ,540.0,2021JJ00
LD01  ,558.0,2022JJ00
LD01  ,569.0,2023JJ00
LD02  ,473.0,1988JJ00
LD02  ,530.0,1989JJ00
LD02  ,552.0,1990JJ00
LD02  ,599.0,1991JJ00
LD02  ,617.0,1992JJ00
LD02  ,674.0,1993JJ00
LD02  ,727.0,1994JJ00
LD02  ,713.0,1995JJ00
LD02  ,730.0,1996JJ00
LD02  ,782.0,1997JJ00
LD02  ,873.0,1998JJ00
LD02  ,962.0,1999JJ00
LD02  ,1069.0,2000JJ00
LD02  ,1102.0,2001JJ00
LD02  ,1116.0,2002JJ00
LD02  ,1112.0,2003JJ00
LD02  ,1160.0,2004JJ00
LD02  ,1219.0,2005JJ00
LD02  ,1191.0,2006JJ00
LD02  ,1263.0,2007JJ00
LD02  ,1333.0,2008JJ00
LD02  ,1357.0,2009JJ00
LD02  ,1388.0,2010JJ00
LD02  ,1403.0,2011JJ00
LD02  ,1331.0,2012JJ00
LD02  ,1309.0,2013JJ00
LD02  ,1277.0,2014JJ00
LD02  ,1182.0,2015JJ00
LD02  ,1214.0,2016JJ00
LD02  ,1234.0,2017JJ00
LD02  ,1219.0,2018JJ00
LD02  ,1289.0,2019JJ00
LD02  ,1362.0,2020JJ00
LD02  ,1390.0,2021JJ00
LD02  ,1465.0,2022JJ00
LD02  ,1355.0,2023JJ00
LD03  ,1407.0,1988JJ00
LD03  ,1489.0,1989JJ00
LD03  ,1607.0,1990JJ00
LD03  ,1732.0,1991JJ00
LD03  ,1882.0,1992JJ00
LD03  ,1980.0,1993JJ00
LD03  ,2116.0,1994JJ00
LD03  ,2005.0,1995JJ00
LD03  ,2199.0,1996JJ00
LD03  ,2374.0,1997JJ00
LD03  ,2529.0,1998JJ00
LD03  ,2697.0,1999JJ00
LD03  ,2945.0,2000JJ00
LD03  ,3001.0,2001JJ00
LD03  ,3203.0,2002JJ00
LD03  ,3326.0,2003JJ00
LD03  ,3574.0,2004JJ00
LD03  ,3599.0,2005JJ00
LD03  ,3617.0,2006JJ00
LD03  ,3699.0,2007JJ00
LD03  ,3924.0,2008JJ00
LD03  ,4197.0,2009JJ00
LD03  ,4426.0,2010JJ00
LD03  ,4285.0,2011JJ00
LD03  ,4248.0,2012JJ00
LD03  ,4032.0,2013JJ00
LD03  ,4198.0,2014JJ00
LD03  ,4059.0,2015JJ00
LD03  ,4172.0,2016JJ00
LD03  ,4214.0,2017JJ00
LD03  ,4255.0,2018JJ00
LD03  ,4445.0,2019JJ00
LD03  ,4500.0,2020JJ00
LD03  ,4785.0,2021JJ00
LD03  ,4426.0,2022JJ00
LD03  ,4506.0,2023JJ00
LD04  ,310.0,1988JJ00
LD04  ,366.0,1989JJ00
LD04  ,411.0,1990JJ00
