RegioS,k_45JaarOfOuder_15,Perioden
NL01  ,214.0,1988JJ00
NL01  ,233.0,1989JJ00
NL01  ,265.0,1990JJ00
NL01  ,249.0,1991JJ00
NL01  ,245.0,1992JJ00
NL01  ,224.0,1993JJ00
NL01  ,215.0,1994JJ00
NL01  ,162.0,1995JJ00
NL01  ,182.0,1996JJ00
NL01  ,167.0,1997JJ00
NL01  ,165.0,1998JJ00
NL01  ,187.0,1999JJ00
NL01  ,186.0,2000JJ00
NL01  ,196.0,2001JJ00
NL01  ,223.0,2002JJ00
NL01  ,238.0,2003JJ00
NL01  ,217.0,2004JJ00
NL01  ,235.0,2005JJ00
NL01  ,246.0,2006JJ00
NL01  ,254.0,2007JJ00
NL01  ,279.0,2008JJ00
NL01  ,287.0,2009JJ00
NL01  ,328.0,2010JJ00
NL01  ,359.0,2011JJ00
NL01  ,364.0,2012JJ00
NL01  ,358.0,2013JJ00
NL01  ,422.0,2014JJ00
NL01  ,376.0,2015JJ00
NL01  ,420.0,2016JJ00
NL01  ,473.0,2017JJ00
NL01  ,464.0,2018JJ00
NL01  ,487.0,2019JJ00
NL01  ,427.0,2020JJ00
NL01  ,474.0,2021JJ00
NL01  ,455.0,2022JJ00
NL01  ,503.0,2023JJ00
LD01  ,8.0,1988JJ00
LD01  ,9.0,1989JJ00
LD01  ,6.0,1990JJ00
LD01  ,12.0,1991JJ00
LD01  ,13.0,1992JJ00
LD01  ,16.0,1993JJ00
LD01  ,20.0,1994JJ00
LD01  ,12.0,1995JJ00
LD01  ,13.0,1996JJ00
LD01  ,11.0,1997JJ00
LD01  ,5.0,1998JJ00
LD01  ,16.0,1999JJ00
LD01  ,18.0,2000JJ00
LD01  ,15.0,2001JJ00
LD01  ,16.0,2002JJ00
LD01  ,15.0,2003JJ00
LD01  ,21.0,2004JJ00
LD01  ,16.0,2005JJ00
LD01  ,20.0,2006JJ00
LD01  ,12.0,2007JJ00
LD01  ,15.0,2008JJ00
LD01  ,16.0,2009JJ00
LD01  ,24.0,2010JJ00
LD01  ,25.0,2011JJ00
LD01  ,22.0,2012JJ00
LD01  ,21.0,2013JJ00
LD01  ,28.0,2014JJ00
LD01  ,27.0,2015JJ00
LD01  ,34.0,2016JJ00
LD01  ,34.0,2017JJ00
LD01  ,21.0,2018JJ00
LD01  ,31.0,2019JJ00
LD01  ,30.0,2020JJ00
LD01  ,27.0,2021JJ00
LD01  ,34.0,2022JJ00
LD01  ,39.0,2023JJ00
LD02  ,44.0,1988JJ00
LD02  ,39.0,1989JJ00
LD02  ,56.0,1990JJ00
LD02  ,54.0,1991JJ00
LD02  ,41.0,1992JJ00
LD02  ,33.0,1993JJ00
LD02  ,35.0,1994JJ00
LD02  ,26.0,1995JJ00
LD02  ,22.0,1996JJ00
LD02  ,26.0,1997JJ00
LD02  ,39.0,1998JJ00
LD02  ,37.0,1999JJ00
LD02  ,38.0,2000JJ00
LD02  ,42.0,2001JJ00
LD02  ,41.0,2002JJ00
LD02  ,45.0,2003JJ00
LD02  ,30.0,2004JJ00
LD02  ,49.0,2005JJ00
LD02  ,44.0,2006JJ00
LD02  ,54.0,2007JJ00
LD02  ,57.0,2008JJ00
LD02  ,49.0,2009JJ00
LD02  ,58.0,2010JJ00
LD02  ,65.0,2011JJ00
LD02  ,74.0,2012JJ00
LD02  ,76.0,2013JJ00
LD02  ,94.0,2014JJ00
LD02  ,84.0,2015JJ00
LD02  ,88.0,2016JJ00
LD02  ,66.0,2017JJ00
LD02  ,92.0,2018JJ00
LD02  ,86.0,2019JJ00
LD02  ,79.0,2020JJ00
LD02  ,85.0,2021JJ00
LD02  ,90.0,2022JJ00
LD02  ,71.0,2023JJ00
LD03  ,136.0,1988JJ00
LD03  ,148.0,1989JJ00
LD03  ,160.0,1990JJ00
LD03  ,155.0,1991JJ00
LD03  ,165.0,1992JJ00
LD03  ,146.0,1993JJ00
LD03  ,132.0,1994JJ00
LD03  ,105.0,1995JJ00
LD03  ,121.0,1996JJ00
LD03  ,104.0,1997JJ00
LD03  ,101.0,1998JJ00
LD03  ,112.0,1999JJ00
LD03  ,109.0,2000JJ00
LD03  ,121.0,2001JJ00
LD03  ,136.0,2002JJ00
LD03  ,153.0,2003JJ00
LD03  ,141.0,2004JJ00
LD03  ,146.0,2005JJ00
LD03  ,140.0,2006JJ00
LD03  ,153.0,2007JJ00
LD03  ,171.0,2008JJ00
LD03  ,189.0,2009JJ00
LD03  ,201.0,2010JJ00
LD03  ,227.0,2011JJ00
LD03  ,219.0,2012JJ00
LD03  ,222.0,2013JJ00
LD03  ,249.0,2014JJ00
LD03  ,216.0,2015JJ00
LD03  ,224.0,2016JJ00
LD03  ,312.0,2017JJ00
LD03  ,283.0,2018JJ00
LD03  ,292.0,2019JJ00
LD03  ,258.0,2020JJ00
LD03  ,290.0,2021JJ00
LD03  ,263.0,2022JJ00
LD03  ,318.0,2023JJ00
LD04  ,26.0,1988JJ00
LD04  ,37.0,1989JJ00
LD04  ,43.0,1990JJ00
LD04  ,28.0,1991JJ00
LD04  ,26.0,1992JJ00
LD04  ,29.0,1993JJ00
LD04  ,28.0,1994JJ00
LD04  ,19.0,1995JJ00
LD04  ,26.0,1996JJ00
LD04  ,26.0,1997JJ00
LD04  ,20.0,1998JJ00
LD04  ,22.0,1999JJ00
LD04  ,21.0,2000JJ00
LD04  ,18.0,2001JJ00
LD04  ,30.0,2002JJ00
LD04  ,25.0,2003JJ00
LD04  ,25.0,2004JJ00
LD04  ,24.0,2005JJ00
LD04  ,42.0,2006JJ00
LD04  ,35.0,2007JJ00
LD04  ,36.0,2008JJ00
LD04  ,33.0,2009JJ00
LD04  ,45.0,2010JJ00
LD04  ,42.0,2011JJ00
LD04  ,49.0,2012JJ00
LD04  ,39.0,2013JJ00
LD04  ,51.0,2014JJ00
LD04  ,49.0,2015JJ00
LD04  ,74.0,2016JJ00
LD04  ,61.0,2017JJ00
LD04  ,68.0,2018JJ00
LD04  ,78.0,2019JJ00
LD04  ,60.0,2020JJ00
LD04  ,72.0,2021JJ00
LD04  ,68.0,2022JJ00
LD04  ,75.0,2023JJ00
PV20  ,3.0,1988JJ00
PV20  ,4.0,1989JJ00
PV20  ,3.0,1990JJ00
PV20  ,7.0,1991JJ00
PV20  ,5.0,1992JJ00
PV20  ,9.0,1993JJ00
PV20  ,6.0,1994JJ00
PV20  ,6.0,1995JJ00
PV20  ,8.0,1996JJ00
PV20  ,4.0,1997JJ00
PV20  ,0.0,1998JJ00
PV20  ,5.0,1999JJ00
PV20  ,7.0,2000JJ00
PV20  ,3.0,2001JJ00
PV20  ,7.0,2002JJ00
PV20  ,4.0,2003JJ00
PV20  ,11.0,2004JJ00
PV20  ,9.0,2005JJ00
PV20  ,8.0,2006JJ00
PV20  ,5.0,2007JJ00
PV20  ,4.0,2008JJ00
PV20  ,6.0,2009JJ00
PV20  ,8.0,2010JJ00
PV20  ,10.0,2011JJ00
PV20  ,13.0,2012JJ00
PV20  ,12.0,2013JJ00
PV20  ,9.0,2014JJ00
PV20  ,9.0,2015JJ00
PV20  ,9.0,2016JJ00
PV20  ,13.0,2017JJ00
PV20  ,8.0,2018JJ00
PV20  ,7.0,2019JJ00
PV20  ,14.0,2020JJ00
PV20  ,14.0,2021JJ00
PV20  ,11.0,2022JJ00
PV20  ,15.0,2023JJ00
PV21  ,5.0,1988JJ00
PV21  ,3.0,1989JJ00
PV21  ,1.0,1990JJ00
PV21  ,3.0,1991JJ00
PV21  ,6.0,1992JJ00
PV21  ,4.0,1993JJ00
PV21  ,10.0,1994JJ00
PV21  ,4.0,1995JJ00
PV21  ,4.0,1996JJ00
PV21  ,6.0,1997JJ00
PV21  ,4.0,1998JJ00
PV21  ,6.0,1999JJ00
PV21  ,8.0,2000JJ00
PV21  ,9.0,2001JJ00
PV21  ,7.0,2002JJ00
PV21  ,8.0,2003JJ00
PV21  ,5.0,2004JJ00
PV21  ,3.0,2005JJ00
PV21  ,8.0,2006JJ00
PV21  ,3.0,2007JJ00
PV21  ,6.0,2008JJ00
PV21  ,7.0,2009JJ00
PV21  ,12.0,2010JJ00
PV21  ,11.0,2011JJ00
PV21  ,7.0,2012JJ00
PV21  ,7.0,2013JJ00
PV21  ,11.0,2014JJ00
PV21  ,8.0,2015JJ00
PV21  ,15.0,2016JJ00
PV21  ,13.0,2017JJ00
PV21  ,6.0,2018JJ00
PV21  ,11.0,2019JJ00
PV21  ,6.0,2020JJ00
PV21  ,6.0,2021JJ00
PV21  ,14.0,2022JJ00
PV21  ,15.0,2023JJ00
PV22  ,0.0,1988JJ00
PV22  ,2.0,1989JJ00
PV22  ,2.0,1990JJ00
PV22  ,2.0,1991JJ00
PV22  ,2.0,1992JJ00
PV22  ,3.0,1993JJ00
PV22  ,4.0,1994JJ00
PV22  ,2.0,1995JJ00
PV22  ,1.0,1996JJ00
PV22  ,1.0,1997JJ00
PV22  ,1.0,1998JJ00
PV22  ,5.0,1999JJ00
PV22  ,3.0,2000JJ00
PV22  ,3.0,2001JJ00
PV22  ,2.0,2002JJ00
PV22  ,3.0,2003JJ00
PV22  ,5.0,2004JJ00
PV22  ,4.0,2005JJ00
PV22  ,4.0,2006JJ00
PV22  ,4.0,2007JJ00
PV22  ,5.0,2008JJ00
PV22  ,3.0,2009JJ00
PV22  ,4.0,2010JJ00
PV22  ,4.0,2011JJ00
PV22  ,2.0,2012JJ00
PV22  ,2.0,2013JJ00
PV22  ,8.0,2014JJ00
PV22  ,10.0,2015JJ00
PV22  ,10.0,2016JJ00
PV22  ,8.0,2017JJ00
PV22  ,7.0,2018JJ00
PV22  ,13.0,2019JJ00
PV22  ,10.0,2020JJ00
PV22  ,7.0,2021JJ00
PV22  ,9.0,2022JJ00
PV22  ,9.0,2023JJ00
PV23  ,14.0,1988JJ00
PV23  ,5.0,1989JJ00
PV23  ,15.0,1990JJ00
PV23  ,16.0,1991JJ00
PV23  ,11.0,1992JJ00
PV23  ,7.0,1993JJ00
PV23  ,13.0,1994JJ00
PV23  ,2.0,1995JJ00
PV23  ,4.0,1996JJ00
PV23  ,6.0,1997JJ00
PV23  ,13.0,1998JJ00
PV23  ,9.0,1999JJ00
PV23  ,14.0,2000JJ00
PV23  ,13.0,2001JJ00
PV23  ,11.0,2002JJ00
PV23  ,14.0,2003JJ00
PV23  ,11.0,2004JJ00
PV23  ,15.0,2005JJ00
PV23  ,7.0,2006JJ00
PV23  ,20.0,2007JJ00
PV23  ,19.0,2008JJ00
PV23  ,16.0,2009JJ00
PV23  ,13.0,2010JJ00
PV23  ,22.0,2011JJ00
PV23  ,25.0,2012JJ00
PV23  ,25.0,2013JJ00
PV23  ,24.0,2014JJ00
PV23  ,25.0,2015JJ00
PV23  ,31.0,2016JJ00
PV23  ,15.0,2017JJ00
PV23  ,18.0,2018JJ00
PV23  ,19.0,2019JJ00
PV23  ,28.0,2020JJ00
PV23  ,16.0,2021JJ00
PV23  ,28.0,2022JJ00
PV23  ,15.0,2023JJ00
PV24  ,4.0,1988JJ00
PV24  ,5.0,1989JJ00
PV24  ,8.0,1990JJ00
PV24  ,4.0,1991JJ00
PV24  ,5.0,1992JJ00
PV24  ,5.0,1993JJ00
PV24  ,1.0,1994JJ00
PV24  ,5.0,1995JJ00
PV24  ,3.0,1996JJ00
PV24  ,2.0,1997JJ00
PV24  ,6.0,1998JJ00
PV24  ,4.0,1999JJ00
PV24  ,8.0,2000JJ00
PV24  ,8.0,2001JJ00
PV24  ,5.0,2002JJ00
PV24  ,7.0,2003JJ00
PV24  ,5.0,2004JJ00
PV24  ,9.0,2005JJ00
PV24  ,5.0,2006JJ00
PV24  ,11.0,2007JJ00
PV24  ,6.0,2008JJ00
PV24  ,8.0,2009JJ00
PV24  ,7.0,2010JJ00
PV24  ,11.0,2011JJ00
PV24  ,13.0,2012JJ00
PV24  ,8.0,2013JJ00
PV24  ,8.0,2014JJ00
PV24  ,5.0,2015JJ00
PV24  ,8.0,2016JJ00
PV24  ,11.0,2017JJ00
PV24  ,18.0,2018JJ00
PV24  ,20.0,2019JJ00
PV24  ,13.0,2020JJ00
PV24  ,15.0,2021JJ00
PV24  ,11.0,2022JJ00
PV24  ,17.0,2023JJ00
PV25  ,26.0,1988JJ00
PV25  ,29.0,1989JJ00
PV25  ,33.0,1990JJ00
PV25  ,34.0,1991JJ00
PV25  ,25.0,1992JJ00
PV25  ,21.0,1993JJ00
PV25  ,21.0,1994JJ00
PV25  ,19.0,1995JJ00
PV25  ,15.0,1996JJ00
PV25  ,18.0,1997JJ00
PV25  ,20.0,1998JJ00
PV25  ,24.0,1999JJ00
PV25  ,16.0,2000JJ00
PV25  ,21.0,2001JJ00
PV25  ,25.0,2002JJ00
PV25  ,24.0,2003JJ00
PV25  ,14.0,2004JJ00
PV25  ,25.0,2005JJ00
PV25  ,32.0,2006JJ00
PV25  ,23.0,2007JJ00
PV25  ,32.0,2008JJ00
PV25  ,25.0,2009JJ00
PV25  ,38.0,2010JJ00
PV25  ,32.0,2011JJ00
PV25  ,36.0,2012JJ00
PV25  ,43.0,2013JJ00
PV25  ,62.0,2014JJ00
PV25  ,54.0,2015JJ00
PV25  ,49.0,2016JJ00
PV25  ,40.0,2017JJ00
PV25  ,56.0,2018JJ00
PV25  ,47.0,2019JJ00
PV25  ,38.0,2020JJ00
PV25  ,54.0,2021JJ00
PV25  ,51.0,2022JJ00
PV25  ,39.0,2023JJ00
PV26  ,32.0,1988JJ00
PV26  ,33.0,1989JJ00
PV26  ,46.0,1990JJ00
PV26  ,38.0,1991JJ00
PV26  ,35.0,1992JJ00
PV26  ,25.0,1993JJ00
PV26  ,20.0,1994JJ00
PV26  ,25.0,1995JJ00
PV26  ,28.0,1996JJ00
PV26  ,17.0,1997JJ00
PV26  ,13.0,1998JJ00
PV26  ,7.0,1999JJ00
PV26  ,13.0,2000JJ00
PV26  ,15.0,2001JJ00
PV26  ,25.0,2002JJ00
PV26  ,23.0,2003JJ00
PV26  ,16.0,2004JJ00
PV26  ,16.0,2005JJ00
PV26  ,15.0,2006JJ00
PV26  ,22.0,2007JJ00
PV26  ,24.0,2008JJ00
PV26  ,32.0,2009JJ00
PV26  ,31.0,2010JJ00
PV26  ,39.0,2011JJ00
PV26  ,32.0,2012JJ00
PV26  ,31.0,2013JJ00
PV26  ,32.0,2014JJ00
