RegioS,JongerDan20Jaar_9,Perioden
NL01  ,3171.0,1988JJ00
NL01  ,3171.0,1989JJ00
NL01  ,3258.0,1990JJ00
NL01  ,3072.0,1991JJ00
NL01  ,2692.0,1992JJ00
NL01  ,2461.0,1993JJ00
NL01  ,2288.0,1994JJ00
NL01  ,1904.0,1995JJ00
NL01  ,1857.0,1996JJ00
NL01  ,1979.0,1997JJ00
NL01  ,2038.0,1998JJ00
NL01  ,2323.0,1999JJ00
NL01  ,2503.0,2000JJ00
NL01  ,2686.0,2001JJ00
NL01  ,2649.0,2002JJ00
NL01  ,2484.0,2003JJ00
NL01  ,2182.0,2004JJ00
NL01  ,2010.0,2005JJ00
NL01  ,1859.0,2006JJ00
NL01  ,1858.0,2007JJ00
NL01  ,1905.0,2008JJ00
NL01  ,1953.0,2009JJ00
NL01  ,1884.0,2010JJ00
NL01  ,1717.0,2011JJ00
NL01  ,1592.0,2012JJ00
NL01  ,1360.0,2013JJ00
NL01  ,1276.0,2014JJ00
NL01  ,1109.0,2015JJ00
NL01  ,1076.0,2016JJ00
NL01  ,1023.0,2017JJ00
NL01  ,950.0,2018JJ00
NL01  ,915.0,2019JJ00
NL01  ,876.0,2020JJ00
NL01  ,715.0,2021JJ00
NL01  ,771.0,2022JJ00
NL01  ,727.0,2023JJ00
LD01  ,226.0,1988JJ00
LD01  ,234.0,1989JJ00
LD01  ,234.0,1990JJ00
LD01  ,219.0,1991JJ00
LD01  ,205.0,1992JJ00
LD01  ,160.0,1993JJ00
LD01  ,157.0,1994JJ00
LD01  ,167.0,1995JJ00
LD01  ,189.0,1996JJ00
LD01  ,197.0,1997JJ00
LD01  ,197.0,1998JJ00
LD01  ,229.0,1999JJ00
LD01  ,254.0,2000JJ00
LD01  ,302.0,2001JJ00
LD01  ,279.0,2002JJ00
LD01  ,278.0,2003JJ00
LD01  ,208.0,2004JJ00
LD01  ,230.0,2005JJ00
LD01  ,198.0,2006JJ00
LD01  ,201.0,2007JJ00
LD01  ,190.0,2008JJ00
LD01  ,244.0,2009JJ00
LD01  ,243.0,2010JJ00
LD01  ,204.0,2011JJ00
LD01  ,162.0,2012JJ00
LD01  ,164.0,2013JJ00
LD01  ,135.0,2014JJ00
LD01  ,124.0,2015JJ00
LD01  ,142.0,2016JJ00
LD01  ,126.0,2017JJ00
LD01  ,114.0,2018JJ00
LD01  ,107.0,2019JJ00
LD01  ,98.0,2020JJ00
LD01  ,86.0,2021JJ00
LD01  ,90.0,2022JJ00
LD01  ,87.0,2023JJ00
LD02  ,679.0,1988JJ00
LD02  ,620.0,1989JJ00
LD02  ,648.0,1990JJ00
LD02  ,639.0,1991JJ00
LD02  ,504.0,1992JJ00
LD02  ,466.0,1993JJ00
LD02  ,441.0,1994JJ00
LD02  ,376.0,1995JJ00
LD02  ,342.0,1996JJ00
LD02  ,368.0,1997JJ00
LD02  ,381.0,1998JJ00
LD02  ,444.0,1999JJ00
LD02  ,472.0,2000JJ00
LD02  ,526.0,2001JJ00
LD02  ,545.0,2002JJ00
LD02  ,511.0,2003JJ00
LD02  ,441.0,2004JJ00
LD02  ,390.0,2005JJ00
LD02  ,397.0,2006JJ00
LD02  ,397.0,2007JJ00
LD02  ,403.0,2008JJ00
LD02  ,407.0,2009JJ00
LD02  ,455.0,2010JJ00
LD02  ,399.0,2011JJ00
LD02  ,380.0,2012JJ00
LD02  ,292.0,2013JJ00
LD02  ,288.0,2014JJ00
LD02  ,232.0,2015JJ00
LD02  ,240.0,2016JJ00
LD02  ,186.0,2017JJ00
LD02  ,199.0,2018JJ00
LD02  ,187.0,2019JJ00
LD02  ,187.0,2020JJ00
LD02  ,145.0,2021JJ00
LD02  ,145.0,2022JJ00
