Regiokenmerken,LeerlingenStudenten_1,Perioden
NL01   ,1559270.0,2011SJ00
NL01   ,1537930.0,2012SJ00
NL01   ,1514860.0,2013SJ00
NL01   ,1494400.0,2014SJ00
NL01   ,1477850.0,2015SJ00
NL01   ,1461160.0,2016SJ00
NL01   ,1447970.0,2017SJ00
NL01   ,1440430.0,2018SJ00
NL01   ,1432180.0,2019SJ00
NL01   ,1421780.0,2020SJ00
NL01   ,1406280.0,2021SJ00
NL01   ,1404080.0,2022SJ00
NL01   ,1391450.0,2023SJ00
LD01   ,159100.0,2011SJ00
LD01   ,155830.0,2012SJ00
LD01   ,152570.0,2013SJ00
LD01   ,149540.0,2014SJ00
LD01   ,146730.0,2015SJ00
LD01   ,143670.0,2016SJ00
LD01   ,141310.0,2017SJ00
LD01   ,139590.0,2018SJ00
LD01   ,137390.0,2019SJ00
LD01   ,135320.0,2020SJ00
LD01   ,133380.0,2021SJ00
LD01   ,132130.0,2022SJ00
LD01   ,130340.0,2023SJ00
LD02   ,353710.0,2011SJ00
LD02   ,347790.0,2012SJ00
LD02   ,340960.0,2013SJ00
LD02   ,334490.0,2014SJ00
LD02   ,328020.0,2015SJ00
LD02   ,323030.0,2016SJ00
LD02   ,319230.0,2017SJ00
LD02   ,315780.0,2018SJ00
LD02   ,313170.0,2019SJ00
LD02   ,310740.0,2020SJ00
LD02   ,307080.0,2021SJ00
LD02   ,306700.0,2022SJ00
LD02   ,303780.0,2023SJ00
LD03   ,730800.0,2011SJ00
LD03   ,724910.0,2012SJ00
LD03   ,718390.0,2013SJ00
LD03   ,713190.0,2014SJ00
LD03   ,710180.0,2015SJ00
LD03   ,706390.0,2016SJ00
LD03   ,703140.0,2017SJ00
LD03   ,702800.0,2018SJ00
LD03   ,701110.0,2019SJ00
LD03   ,697850.0,2020SJ00
LD03   ,690780.0,2021SJ00
LD03   ,689640.0,2022SJ00
LD03   ,684540.0,2023SJ00
LD04   ,311920.0,2011SJ00
LD04   ,305580.0,2012SJ00
LD04   ,298950.0,2013SJ00
LD04   ,293190.0,2014SJ00
LD04   ,289070.0,2015SJ00
LD04   ,284140.0,2016SJ00
LD04   ,280420.0,2017SJ00
LD04   ,278420.0,2018SJ00
LD04   ,276820.0,2019SJ00
LD04   ,274260.0,2020SJ00
LD04   ,271530.0,2021SJ00
LD04   ,271820.0,2022SJ00
LD04   ,270130.0,2023SJ00
LD99   ,3750.0,2011SJ00
LD99   ,3820.0,2012SJ00
LD99   ,3990.0,2013SJ00
LD99   ,3990.0,2014SJ00
LD99   ,3850.0,2015SJ00
LD99   ,3930.0,2016SJ00
LD99   ,3870.0,2017SJ00
LD99   ,3840.0,2018SJ00
LD99   ,3700.0,2019SJ00
LD99   ,3610.0,2020SJ00
LD99   ,3510.0,2021SJ00
LD99   ,3780.0,2022SJ00
LD99   ,2660.0,2023SJ00
PV20   ,48540.0,2011SJ00
PV20   ,47660.0,2012SJ00
PV20   ,46810.0,2013SJ00
PV20   ,46240.0,2014SJ00
PV20   ,45460.0,2015SJ00
PV20   ,44760.0,2016SJ00
PV20   ,44180.0,2017SJ00
PV20   ,43640.0,2018SJ00
PV20   ,42990.0,2019SJ00
PV20   ,42560.0,2020SJ00
PV20   ,42060.0,2021SJ00
PV20   ,41750.0,2022SJ00
PV20   ,41030.0,2023SJ00
PV21   ,63160.0,2011SJ00
PV21   ,61860.0,2012SJ00
PV21   ,60580.0,2013SJ00
PV21   ,59530.0,2014SJ00
