RegioS,MannenEnVrouwen_4,Perioden
NL01  ,8.4,1988JJ00
NL01  ,8.7,1989JJ00
NL01  ,8.6,1990JJ00
NL01  ,8.6,1991JJ00
NL01  ,8.6,1992JJ00
NL01  ,9.0,1993JJ00
NL01  ,8.7,1994JJ00
NL01  ,8.8,1995JJ00
NL01  ,8.9,1996JJ00
NL01  ,8.7,1997JJ00
NL01  ,8.8,1998JJ00
NL01  ,8.9,1999JJ00
NL01  ,8.8,2000JJ00
NL01  ,8.7,2001JJ00
NL01  ,8.8,2002JJ00
NL01  ,8.7,2003JJ00
NL01  ,8.4,2004JJ00
NL01  ,8.4,2005JJ00
NL01  ,8.3,2006JJ00
NL01  ,8.1,2007JJ00
NL01  ,8.2,2008JJ00
NL01  ,8.1,2009JJ00
NL01  ,8.2,2010JJ00
NL01  ,8.1,2011JJ00
NL01  ,8.4,2012JJ00
NL01  ,8.4,2013JJ00
NL01  ,8.3,2014JJ00
NL01  ,8.7,2015JJ00
NL01  ,8.7,2016JJ00
NL01  ,8.8,2017JJ00
NL01  ,8.9,2018JJ00
NL01  ,8.8,2019JJ00
NL01  ,9.7,2020JJ00
NL01  ,9.8,2021JJ00
NL01  ,9.6,2022JJ00
NL01  ,9.5,2023JJ00
LD01  ,9.2,1988JJ00
LD01  ,9.3,1989JJ00
LD01  ,9.4,1990JJ00
LD01  ,9.4,1991JJ00
LD01  ,9.2,1992JJ00
LD01  ,9.8,1993JJ00
LD01  ,9.4,1994JJ00
LD01  ,9.6,1995JJ00
LD01  ,9.7,1996JJ00
LD01  ,9.5,1997JJ00
LD01  ,9.5,1998JJ00
LD01  ,9.6,1999JJ00
LD01  ,9.5,2000JJ00
LD01  ,9.5,2001JJ00
LD01  ,9.5,2002JJ00
LD01  ,9.3,2003JJ00
LD01  ,9.0,2004JJ00
LD01  ,8.9,2005JJ00
LD01  ,9.1,2006JJ00
LD01  ,8.7,2007JJ00
LD01  ,9.0,2008JJ00
LD01  ,9.0,2009JJ00
LD01  ,9.1,2010JJ00
LD01  ,9.0,2011JJ00
LD01  ,9.4,2012JJ00
LD01  ,9.4,2013JJ00
LD01  ,9.2,2014JJ00
LD01  ,9.6,2015JJ00
LD01  ,9.9,2016JJ00
LD01  ,9.9,2017JJ00
LD01  ,10.1,2018JJ00
LD01  ,9.8,2019JJ00
LD01  ,10.2,2020JJ00
LD01  ,11.0,2021JJ00
LD01  ,11.0,2022JJ00
LD01  ,10.8,2023JJ00
LD02  ,8.1,1988JJ00
LD02  ,8.5,1989JJ00
LD02  ,8.4,1990JJ00
LD02  ,8.4,1991JJ00
LD02  ,8.4,1992JJ00
LD02  ,8.9,1993JJ00
LD02  ,8.4,1994JJ00
LD02  ,8.4,1995JJ00
LD02  ,8.6,1996JJ00
LD02  ,8.5,1997JJ00
LD02  ,8.4,1998JJ00
LD02  ,8.6,1999JJ00
LD02  ,8.6,2000JJ00
LD02  ,8.4,2001JJ00
LD02  ,8.5,2002JJ00
LD02  ,8.6,2003JJ00
LD02  ,8.1,2004JJ00
LD02  ,8.1,2005JJ00
LD02  ,8.0,2006JJ00
LD02  ,7.8,2007JJ00
LD02  ,7.9,2008JJ00
LD02  ,7.9,2009JJ00
LD02  ,8.0,2010JJ00
LD02  ,7.9,2011JJ00
LD02  ,8.2,2012JJ00
LD02  ,8.2,2013JJ00
LD02  ,8.1,2014JJ00
LD02  ,8.4,2015JJ00
LD02  ,8.5,2016JJ00
LD02  ,8.6,2017JJ00
LD02  ,8.8,2018JJ00
LD02  ,8.8,2019JJ00
LD02  ,9.6,2020JJ00
LD02  ,9.7,2021JJ00
LD02  ,9.6,2022JJ00
LD02  ,9.4,2023JJ00
LD03  ,8.8,1988JJ00
LD03  ,9.0,1989JJ00
LD03  ,8.9,1990JJ00
LD03  ,8.9,1991JJ00
