RegioS,NettoArbeidsparticipatie_16,Perioden
NL01  ,66.7,2013JJ00
NL01  ,66.2,2014JJ00
NL01  ,66.7,2015JJ00
NL01  ,67.1,2016JJ00
NL01  ,67.9,2017JJ00
NL01  ,69.1,2018JJ00
NL01  ,70.0,2019JJ00
NL01  ,69.6,2020JJ00
NL01  ,70.4,2021JJ00
NL01  ,72.2,2022JJ00
NL01  ,73.1,2023JJ00
LD01  ,64.9,2013JJ00
LD01  ,64.3,2014JJ00
LD01  ,64.8,2015JJ00
LD01  ,65.1,2016JJ00
LD01  ,66.0,2017JJ00
LD01  ,66.9,2018JJ00
LD01  ,68.0,2019JJ00
LD01  ,67.5,2020JJ00
LD01  ,69.0,2021JJ00
LD01  ,70.9,2022JJ00
LD01  ,71.4,2023JJ00
LD02  ,67.6,2013JJ00
LD02  ,66.7,2014JJ00
LD02  ,67.3,2015JJ00
LD02  ,67.4,2016JJ00
LD02  ,68.5,2017JJ00
LD02  ,69.6,2018JJ00
LD02  ,70.3,2019JJ00
LD02  ,70.2,2020JJ00
LD02  ,71.1,2021JJ00
LD02  ,73.1,2022JJ00
LD02  ,73.9,2023JJ00
LD03  ,66.9,2013JJ00
LD03  ,66.5,2014JJ00
LD03  ,66.9,2015JJ00
LD03  ,67.5,2016JJ00
LD03  ,68.2,2017JJ00
LD03  ,69.4,2018JJ00
LD03  ,70.4,2019JJ00
LD03  ,69.8,2020JJ00
LD03  ,70.3,2021JJ00
LD03  ,72.4,2022JJ00
LD03  ,73.4,2023JJ00
LD04  ,66.4,2013JJ00
LD04  ,65.8,2014JJ00
LD04  ,66.4,2015JJ00
LD04  ,67.0,2016JJ00
LD04  ,67.8,2017JJ00
LD04  ,68.8,2018JJ00
LD04  ,70.0,2019JJ00
LD04  ,69.6,2020JJ00
LD04  ,70.5,2021JJ00
LD04  ,71.4,2022JJ00
LD04  ,72.4,2023JJ00
PV20  ,64.1,2013JJ00
PV20  ,62.9,2014JJ00
PV20  ,63.6,2015JJ00
PV20  ,64.0,2016JJ00
PV20  ,64.9,2017JJ00
PV20  ,65.5,2018JJ00
PV20  ,66.4,2019JJ00
PV20  ,66.2,2020JJ00
PV20  ,68.3,2021JJ00
PV20  ,70.4,2022JJ00
PV20  ,70.6,2023JJ00
PV21  ,65.5,2013JJ00
PV21  ,65.2,2014JJ00
PV21  ,65.5,2015JJ00
PV21  ,66.2,2016JJ00
PV21  ,66.6,2017JJ00
PV21  ,68.2,2018JJ00
PV21  ,69.4,2019JJ00
PV21  ,68.7,2020JJ00
PV21  ,69.8,2021JJ00
PV21  ,71.6,2022JJ00
PV21  ,72.3,2023JJ00
PV22  ,65.2,2013JJ00
PV22  ,64.9,2014JJ00
PV22  ,65.3,2015JJ00
PV22  ,65.1,2016JJ00
PV22  ,66.4,2017JJ00
PV22  ,67.0,2018JJ00
PV22  ,68.0,2019JJ00
PV22  ,67.6,2020JJ00
PV22  ,68.8,2021JJ00
PV22  ,70.6,2022JJ00
PV22  ,71.1,2023JJ00
PV23  ,67.6,2013JJ00
PV23  ,66.9,2014JJ00
PV23  ,67.6,2015JJ00
PV23  ,67.5,2016JJ00
PV23  ,68.6,2017JJ00
PV23  ,70.0,2018JJ00
PV23  ,70.8,2019JJ00
PV23  ,69.8,2020JJ00
PV23  ,71.4,2021JJ00
PV23  ,73.5,2022JJ00
PV23  ,74.1,2023JJ00
PV24  ,67.5,2013JJ00
PV24  ,66.0,2014JJ00
PV24  ,67.3,2015JJ00
PV24  ,68.1,2016JJ00
PV24  ,68.9,2017JJ00
PV24  ,70.6,2018JJ00
PV24  ,70.9,2019JJ00
PV24  ,70.9,2020JJ00
PV24  ,71.4,2021JJ00
PV24  ,73.4,2022JJ00
PV24  ,74.0,2023JJ00
PV25  ,67.6,2013JJ00
PV25  ,66.8,2014JJ00
PV25  ,67.1,2015JJ00
PV25  ,67.3,2016JJ00
PV25  ,68.5,2017JJ00
PV25  ,69.2,2018JJ00
PV25  ,70.0,2019JJ00
PV25  ,70.2,2020JJ00
PV25  ,70.9,2021JJ00
PV25  ,72.9,2022JJ00
PV25  ,73.7,2023JJ00
PV26  ,69.9,2013JJ00
PV26  ,69.2,2014JJ00
PV26  ,69.4,2015JJ00
PV26  ,69.9,2016JJ00
PV26  ,70.4,2017JJ00
PV26  ,71.9,2018JJ00
PV26  ,73.0,2019JJ00
PV26  ,72.6,2020JJ00
PV26  ,73.0,2021JJ00
PV26  ,75.0,2022JJ00
PV26  ,75.6,2023JJ00
PV27  ,67.4,2013JJ00
PV27  ,67.1,2014JJ00
PV27  ,67.7,2015JJ00
PV27  ,68.8,2016JJ00
PV27  ,69.0,2017JJ00
PV27  ,69.8,2018JJ00
PV27  ,70.8,2019JJ00
PV27  ,70.1,2020JJ00
PV27  ,70.3,2021JJ00
PV27  ,72.7,2022JJ00
PV27  ,73.5,2023JJ00
PV28  ,65.5,2013JJ00
PV28  ,65.2,2014JJ00
PV28  ,65.4,2015JJ00
PV28  ,65.5,2016JJ00
PV28  ,66.9,2017JJ00
PV28  ,68.3,2018JJ00
PV28  ,69.3,2019JJ00
PV28  ,68.7,2020JJ00
PV28  ,69.4,2021JJ00
PV28  ,71.3,2022JJ00
PV28  ,72.6,2023JJ00
PV29  ,65.3,2013JJ00
PV29  ,65.7,2014JJ00
PV29  ,66.5,2015JJ00
PV29  ,67.2,2016JJ00
PV29  ,66.7,2017JJ00
PV29  ,68.5,2018JJ00
PV29  ,68.6,2019JJ00
PV29  ,68.6,2020JJ00
PV29  ,70.3,2021JJ00
PV29  ,71.0,2022JJ00
PV29  ,72.1,2023JJ00
PV30  ,67.6,2013JJ00
PV30  ,67.0,2014JJ00
PV30  ,67.5,2015JJ00
PV30  ,68.1,2016JJ00
PV30  ,69.1,2017JJ00
PV30  ,70.0,2018JJ00
PV30  ,71.3,2019JJ00
PV30  ,71.0,2020JJ00
PV30  ,71.9,2021JJ00
PV30  ,72.8,2022JJ00
PV30  ,73.8,2023JJ00
PV31  ,63.8,2013JJ00
PV31  ,63.1,2014JJ00
PV31  ,64.1,2015JJ00
PV31  ,64.5,2016JJ00
PV31  ,64.9,2017JJ00
PV31  ,66.2,2018JJ00
PV31  ,67.1,2019JJ00
PV31  ,66.4,2020JJ00
PV31  ,67.3,2021JJ00
PV31  ,68.1,2022JJ00
PV31  ,69.1,2023JJ00
CR01  ,61.6,2013JJ00
CR01  ,60.9,2014JJ00
CR01  ,61.9,2015JJ00
CR01  ,62.0,2016JJ00
CR01  ,62.7,2017JJ00
CR01  ,63.6,2018JJ00
CR01  ,64.6,2019JJ00
CR01  ,64.0,2020JJ00
CR01  ,66.3,2021JJ00
CR01  ,67.9,2022JJ00
CR01  ,68.6,2023JJ00
CR02  ,62.2,2013JJ00
CR02  ,61.6,2014JJ00
CR02  ,62.4,2015JJ00
CR02  ,62.9,2016JJ00
CR02  ,63.2,2017JJ00
CR02  ,64.2,2018JJ00
CR02  ,65.0,2019JJ00
CR02  ,64.4,2020JJ00
CR02  ,66.7,2021JJ00
CR02  ,68.0,2022JJ00
CR02  ,68.1,2023JJ00
CR03  ,65.1,2013JJ00
CR03  ,63.7,2014JJ00
CR03  ,64.3,2015JJ00
CR03  ,64.8,2016JJ00
CR03  ,65.8,2017JJ00
CR03  ,66.2,2018JJ00
CR03  ,67.1,2019JJ00
CR03  ,67.1,2020JJ00
CR03  ,69.1,2021JJ00
CR03  ,71.4,2022JJ00
CR03  ,71.5,2023JJ00
CR04  ,65.3,2013JJ00
CR04  ,64.6,2014JJ00
CR04  ,65.2,2015JJ00
CR04  ,65.7,2016JJ00
CR04  ,65.9,2017JJ00
CR04  ,67.5,2018JJ00
CR04  ,68.9,2019JJ00
CR04  ,68.1,2020JJ00
CR04  ,69.3,2021JJ00
CR04  ,71.2,2022JJ00
CR04  ,72.2,2023JJ00
CR05  ,66.2,2013JJ00
CR05  ,66.3,2014JJ00
CR05  ,66.4,2015JJ00
CR05  ,67.1,2016JJ00
CR05  ,67.9,2017JJ00
CR05  ,69.5,2018JJ00
CR05  ,70.4,2019JJ00
CR05  ,69.5,2020JJ00
CR05  ,70.4,2021JJ00
CR05  ,72.2,2022JJ00
CR05  ,72.6,2023JJ00
CR06  ,65.5,2013JJ00
CR06  ,65.5,2014JJ00
CR06  ,65.5,2015JJ00
CR06  ,66.1,2016JJ00
CR06  ,66.9,2017JJ00
CR06  ,68.3,2018JJ00
CR06  ,69.6,2019JJ00
CR06  ,69.0,2020JJ00
CR06  ,70.3,2021JJ00
CR06  ,71.7,2022JJ00
CR06  ,72.3,2023JJ00
CR07  ,66.5,2013JJ00
CR07  ,66.5,2014JJ00
CR07  ,66.5,2015JJ00
CR07  ,66.5,2016JJ00
CR07  ,67.8,2017JJ00
CR07  ,68.5,2018JJ00
CR07  ,69.1,2019JJ00
CR07  ,68.9,2020JJ00
CR07  ,69.9,2021JJ00
CR07  ,71.6,2022JJ00
CR07  ,72.3,2023JJ00
CR08  ,63.2,2013JJ00
CR08  ,62.8,2014JJ00
CR08  ,63.2,2015JJ00
CR08  ,62.3,2016JJ00
CR08  ,63.5,2017JJ00
CR08  ,64.2,2018JJ00
CR08  ,65.2,2019JJ00
