Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
NL01   ,31290.0,2012SJ00
NL01   ,29320.0,2013SJ00
NL01   ,28120.0,2014SJ00
NL01   ,27360.0,2015SJ00
NL01   ,28360.0,2016SJ00
NL01   ,30260.0,2017SJ00
NL01   ,31470.0,2018SJ00
NL01   ,26360.0,2019SJ00
NL01   ,28790.0,2020SJ00
NL01   ,35840.0,2021SJ00
NL01   ,35430.0,2022SJ00
G04    ,5540.0,2012SJ00
G04    ,5470.0,2013SJ00
G04    ,4870.0,2014SJ00
G04    ,4880.0,2015SJ00
G04    ,4860.0,2016SJ00
G04    ,5100.0,2017SJ00
G04    ,5200.0,2018SJ00
G04    ,4240.0,2019SJ00
G04    ,4470.0,2020SJ00
G04    ,5710.0,2021SJ00
G04    ,5580.0,2022SJ00
A042158,6970.0,2012SJ00
A042158,6560.0,2013SJ00
A042158,7100.0,2014SJ00
A042158,6980.0,2015SJ00
A042158,7370.0,2016SJ00
A042158,7760.0,2017SJ00
A042158,8050.0,2018SJ00
A042158,6850.0,2019SJ00
A042158,7590.0,2020SJ00
A042158,9390.0,2021SJ00
A042158,9120.0,2022SJ00
A007400,18780.0,2012SJ00
A007400,17290.0,2013SJ00
A007400,16140.0,2014SJ00
A007400,15500.0,2015SJ00
A007400,16140.0,2016SJ00
A007400,17400.0,2017SJ00
A007400,18230.0,2018SJ00
A007400,15270.0,2019SJ00
A007400,16740.0,2020SJ00
A007400,20740.0,2021SJ00
A007400,20730.0,2022SJ00
LD01   ,2670.0,2012SJ00
LD01   ,2450.0,2013SJ00
LD01   ,2260.0,2014SJ00
LD01   ,2230.0,2015SJ00
LD01   ,2470.0,2016SJ00
LD01   ,2670.0,2017SJ00
LD01   ,2910.0,2018SJ00
LD01   ,2470.0,2019SJ00
LD01   ,2900.0,2020SJ00
LD01   ,3610.0,2021SJ00
LD01   ,3700.0,2022SJ00
LD02   ,6250.0,2012SJ00
LD02   ,5660.0,2013SJ00
LD02   ,5580.0,2014SJ00
LD02   ,5330.0,2015SJ00
LD02   ,5650.0,2016SJ00
LD02   ,6310.0,2017SJ00
LD02   ,6470.0,2018SJ00
LD02   ,5600.0,2019SJ00
LD02   ,6080.0,2020SJ00
LD02   ,7530.0,2021SJ00
LD02   ,7640.0,2022SJ00
LD03   ,16280.0,2012SJ00
LD03   ,15480.0,2013SJ00
LD03   ,14540.0,2014SJ00
LD03   ,14260.0,2015SJ00
LD03   ,14570.0,2016SJ00
LD03   ,15280.0,2017SJ00
LD03   ,16120.0,2018SJ00
LD03   ,13100.0,2019SJ00
LD03   ,14230.0,2020SJ00
LD03   ,17730.0,2021SJ00
LD03   ,17230.0,2022SJ00
LD04   ,6090.0,2012SJ00
LD04   ,5740.0,2013SJ00
LD04   ,5740.0,2014SJ00
LD04   ,5540.0,2015SJ00
LD04   ,5680.0,2016SJ00
LD04   ,6000.0,2017SJ00
LD04   ,5980.0,2018SJ00
LD04   ,5190.0,2019SJ00
LD04   ,5580.0,2020SJ00
LD04   ,6960.0,2021SJ00
LD04   ,6860.0,2022SJ00
PV20   ,1040.0,2012SJ00
PV20   ,940.0,2013SJ00
PV20   ,830.0,2014SJ00
PV20   ,850.0,2015SJ00
PV20   ,930.0,2016SJ00
PV20   ,970.0,2017SJ00
PV20   ,990.0,2018SJ00
PV20   ,810.0,2019SJ00
PV20   ,980.0,2020SJ00
PV20   ,1280.0,2021SJ00
PV20   ,1220.0,2022SJ00
PV21   ,850.0,2012SJ00
PV21   ,860.0,2013SJ00
PV21   ,780.0,2014SJ00
PV21   ,740.0,2015SJ00
PV21   ,790.0,2016SJ00
PV21   ,950.0,2017SJ00
PV21   ,1080.0,2018SJ00
PV21   ,940.0,2019SJ00
PV21   ,1050.0,2020SJ00
PV21   ,1310.0,2021SJ00
PV21   ,1390.0,2022SJ00
PV22   ,790.0,2012SJ00
PV22   ,650.0,2013SJ00
PV22   ,650.0,2014SJ00
PV22   ,640.0,2015SJ00
PV22   ,740.0,2016SJ00
PV22   ,750.0,2017SJ00
PV22   ,840.0,2018SJ00
PV22   ,720.0,2019SJ00
PV22   ,870.0,2020SJ00
PV22   ,1030.0,2021SJ00
PV22   ,1090.0,2022SJ00
PV23   ,1640.0,2012SJ00
PV23   ,1550.0,2013SJ00
PV23   ,1550.0,2014SJ00
PV23   ,1480.0,2015SJ00
PV23   ,1610.0,2016SJ00
PV23   ,1860.0,2017SJ00
PV23   ,1900.0,2018SJ00
PV23   ,1740.0,2019SJ00
PV23   ,1830.0,2020SJ00
PV23   ,2250.0,2021SJ00
PV23   ,2280.0,2022SJ00
PV24   ,920.0,2012SJ00
