RegioS,WerkzameBeroepsbevolking_3,Perioden
NL01  ,8433.0,2013JJ00
NL01  ,8382.0,2014JJ00
NL01  ,8458.0,2015JJ00
NL01  ,8570.0,2016JJ00
NL01  ,8744.0,2017JJ00
NL01  ,8939.0,2018JJ00
NL01  ,9117.0,2019JJ00
NL01  ,9116.0,2020JJ00
NL01  ,9255.0,2021JJ00
NL01  ,9548.0,2022JJ00
NL01  ,9737.0,2023JJ00
LD01  ,838.0,2013JJ00
LD01  ,829.0,2014JJ00
LD01  ,834.0,2015JJ00
LD01  ,839.0,2016JJ00
LD01  ,854.0,2017JJ00
LD01  ,866.0,2018JJ00
LD01  ,882.0,2019JJ00
LD01  ,878.0,2020JJ00
LD01  ,893.0,2021JJ00
LD01  ,919.0,2022JJ00
LD01  ,929.0,2023JJ00
LD02  ,1792.0,2013JJ00
LD02  ,1770.0,2014JJ00
LD02  ,1788.0,2015JJ00
LD02  ,1803.0,2016JJ00
LD02  ,1849.0,2017JJ00
LD02  ,1890.0,2018JJ00
LD02  ,1922.0,2019JJ00
LD02  ,1932.0,2020JJ00
LD02  ,1962.0,2021JJ00
LD02  ,2030.0,2022JJ00
LD02  ,2065.0,2023JJ00
LD03  ,3990.0,2013JJ00
LD03  ,3986.0,2014JJ00
LD03  ,4023.0,2015JJ00
LD03  ,4090.0,2016JJ00
LD03  ,4171.0,2017JJ00
LD03  ,4279.0,2018JJ00
LD03  ,4368.0,2019JJ00
LD03  ,4367.0,2020JJ00
LD03  ,4438.0,2021JJ00
LD03  ,4601.0,2022JJ00
LD03  ,4706.0,2023JJ00
LD04  ,1813.0,2013JJ00
LD04  ,1798.0,2014JJ00
LD04  ,1814.0,2015JJ00
LD04  ,1837.0,2016JJ00
LD04  ,1870.0,2017JJ00
LD04  ,1904.0,2018JJ00
LD04  ,1945.0,2019JJ00
LD04  ,1940.0,2020JJ00
LD04  ,1963.0,2021JJ00
LD04  ,1999.0,2022JJ00
LD04  ,2037.0,2023JJ00
PV20  ,287.0,2013JJ00
PV20  ,281.0,2014JJ00
PV20  ,285.0,2015JJ00
PV20  ,287.0,2016JJ00
PV20  ,292.0,2017JJ00
PV20  ,294.0,2018JJ00
PV20  ,299.0,2019JJ00
PV20  ,299.0,2020JJ00
PV20  ,307.0,2021JJ00
PV20  ,317.0,2022JJ00
PV20  ,320.0,2023JJ00
PV21  ,315.0,2013JJ00
PV21  ,313.0,2014JJ00
PV21  ,314.0,2015JJ00
PV21  ,317.0,2016JJ00
PV21  ,321.0,2017JJ00
PV21  ,328.0,2018JJ00
