Kennziffer,Wert,Zeitbezug
111,11.1,1998
111,10.53,1999
111,9.65,2000
111,9.36,2001
111,9.77,2002
111,10.5,2003
111,10.54,2004
111,11.71,2005
111,10.76,2006
111,9.03,2007
111,7.8,2008
111,8.13,2009
111,7.69,2010
111,7.07,2011
111,6.82,2012
111,6.86,2013
111,6.69,2014
111,6.4,2015
111,6.11,2016
111,5.7,2017
111,5.2,2018
111,4.99,2019
111,5.89,2020
01,9.97,1998
01,9.39,1999
01,8.51,2000
01,8.45,2001
01,8.71,2002
01,9.71,2003
01,9.84,2004
01,11.56,2005
01,9.97,2006
01,8.45,2007
01,7.59,2008
01,7.79,2009
01,7.51,2010
01,7.24,2011
01,6.92,2012
01,6.92,2013
01,6.78,2014
01,6.5,2015
01,6.27,2016
01,6.04,2017
01,5.48,2018
01,5.07,2019
01,5.84,2020
02,11.28,1998
02,10.36,1999
02,8.88,2000
02,8.25,2001
02,8.97,2002
02,9.91,2003
02,9.67,2004
02,11.3,2005
02,10.96,2006
02,9.17,2007
02,8.13,2008
02,8.6,2009
02,8.18,2010
02,7.82,2011
02,7.46,2012
02,7.4,2013
02,7.55,2014
02,7.45,2015
02,7.08,2016
02,6.83,2017
02,6.32,2018
02,6.13,2019
02,7.55,2020
03,11.09,1998
03,10.35,1999
03,9.32,2000
03,9.06,2001
03,9.24,2002
03,9.64,2003
03,9.57,2004
03,11.64,2005
03,10.54,2006
03,8.9,2007
03,7.67,2008
03,7.72,2009
03,7.49,2010
03,6.88,2011
03,6.55,2012
03,6.58,2013
03,6.47,2014
03,6.14,2015
03,6.0,2016
03,5.76,2017
03,5.31,2018
03,5.04,2019
03,5.76,2020
04,15.17,1998
04,14.33,1999
04,13.02,2000
04,12.41,2001
04,12.51,2002
04,13.19,2003
04,13.27,2004
04,16.76,2005
04,14.86,2006
04,12.8,2007
04,11.43,2008
04,11.82,2009
04,11.98,2010
04,11.65,2011
04,11.22,2012
04,11.12,2013
04,10.89,2014
04,10.92,2015
04,10.52,2016
04,10.23,2017
04,9.84,2018
04,9.93,2019
04,11.19,2020
05,10.68,1998
05,10.23,1999
05,9.17,2000
05,8.78,2001
05,9.22,2002
05,9.97,2003
05,10.21,2004
05,12.0,2005
05,11.38,2006
05,9.58,2007
05,8.48,2008
05,8.91,2009
05,8.66,2010
05,8.11,2011
05,8.08,2012
05,8.31,2013
05,8.24,2014
05,7.98,2015
05,7.71,2016
05,7.39,2017
05,6.77,2018
05,6.55,2019
05,7.52,2020
06,8.96,1998
06,8.35,1999
06,7.27,2000
06,6.62,2001
06,6.95,2002
06,7.86,2003
06,8.15,2004
06,9.67,2005
06,9.2,2006
06,7.62,2007
06,6.58,2008
06,6.77,2009
06,6.39,2010
06,5.85,2011
06,5.68,2012
06,5.83,2013
06,5.73,2014
06,5.47,2015
06,5.26,2016
06,5.0,2017
06,4.59,2018
06,4.4,2019
06,5.38,2020
07,8.76,1998
07,8.23,1999
07,7.26,2000
07,6.83,2001
07,7.18,2002
07,7.66,2003
07,7.68,2004
07,8.83,2005
07,7.99,2006
07,6.5,2007
07,5.62,2008
07,6.08,2009
07,5.71,2010
07,5.28,2011
07,5.27,2012
07,5.47,2013
07,5.39,2014
07,5.21,2015
07,5.1,2016
07,4.83,2017
07,4.44,2018
07,4.35,2019
07,5.22,2020
08,7.09,1998
08,6.49,1999
08,5.4,2000
08,4.94,2001
08,5.44,2002
08,6.15,2003
08,6.2,2004
08,7.02,2005
08,6.33,2006
08,4.94,2007
08,4.14,2008
08,5.09,2009
08,4.87,2010
08,4.07,2011
08,3.93,2012
08,4.06,2013
08,3.96,2014
08,3.84,2015
08,3.78,2016
08,3.5,2017
08,3.17,2018
08,3.16,2019
08,4.12,2020
09,7.03,1998
09,6.44,1999
09,5.49,2000
09,5.26,2001
09,6.03,2002
09,6.92,2003
09,6.94,2004
09,7.8,2005
09,6.84,2006
09,5.35,2007
09,4.21,2008
09,4.81,2009
09,4.47,2010
09,3.81,2011
09,3.66,2012
09,3.82,2013
09,3.78,2014
09,3.62,2015
09,3.49,2016
09,3.18,2017
09,2.9,2018
09,2.84,2019
09,3.64,2020
10,11.54,1998
10,10.79,1999
10,9.82,2000
10,8.99,2001
10,9.05,2002
10,9.52,2003
10,9.16,2004
10,10.7,2005
10,9.86,2006
10,8.42,2007
10,7.29,2008
10,7.72,2009
10,7.51,2010
10,6.72,2011
10,6.72,2012
10,7.32,2013
10,7.21,2014
10,7.17,2015
10,7.2,2016
10,6.68,2017
10,6.11,2018
10,6.16,2019
10,7.18,2020
11,16.1,1998
11,15.88,1999
11,15.79,2000
11,16.07,2001
11,16.94,2002
11,18.09,2003
11,17.62,2004
11,18.96,2005
11,17.46,2006
11,15.51,2007
11,13.87,2008
11,14.04,2009
11,13.56,2010
11,13.28,2011
11,12.29,2012
11,11.7,2013
11,11.12,2014
11,10.66,2015
11,9.77,2016
11,8.96,2017
11,8.14,2018
11,7.82,2019
11,9.69,2020
12,17.59,1998
12,17.36,1999
12,17.05,2000
12,17.36,2001
12,17.54,2002
12,18.76,2003
12,18.73,2004
12,18.2,2005
12,16.97,2006
12,14.89,2007
12,13.02,2008
12,12.29,2009
12,11.11,2010
12,10.69,2011
12,10.16,2012
12,9.89,2013
12,9.35,2014
12,8.66,2015
12,7.99,2016
12,7.01,2017
12,6.3,2018
12,5.77,2019
12,6.18,2020
13,19.18,1998
13,18.18,1999
13,17.84,2000
13,18.32,2001
13,18.61,2002
13,20.13,2003
13,20.47,2004
13,20.32,2005
13,19.04,2006
13,16.57,2007
13,14.11,2008
13,13.53,2009
13,12.7,2010
13,12.59,2011
13,12.0,2012
13,11.69,2013
13,11.16,2014
13,10.4,2015
13,9.72,2016
13,8.58,2017
13,7.9,2018
13,7.12,2019
13,7.77,2020
14,17.48,1998
14,17.18,1999
14,17.05,2000
14,17.48,2001
14,17.82,2002
14,17.9,2003
14,17.84,2004
14,18.26,2005
14,17.0,2006
14,14.79,2007
14,12.84,2008
14,12.88,2009
14,11.85,2010
14,10.67,2011
14,9.77,2012
14,9.45,2013
14,8.84,2014
14,8.22,2015
14,7.45,2016
14,6.65,2017
14,5.96,2018
14,5.46,2019
14,6.07,2020
15,20.39,1998
15,20.31,1999
15,20.16,2000
15,19.71,2001
15,19.65,2002
15,20.49,2003
15,20.33,2004
15,20.19,2005
15,18.32,2006
15,16.05,2007
15,13.98,2008
15,13.56,2009
15,12.47,2010
15,11.67,2011
15,11.5,2012
15,11.15,2013
15,10.67,2014
15,10.2,2015
15,9.55,2016
15,8.44,2017
15,7.73,2018
15,7.15,2019
15,7.71,2020
16,17.1,1998
16,15.37,1999
16,15.36,2000
16,15.32,2001
16,15.88,2002
16,16.72,2003
16,16.74,2004
16,17.11,2005
16,15.56,2006
16,13.18,2007
16,11.25,2008
16,11.37,2009
16,9.85,2010
16,8.86,2011
16,8.52,2012
16,8.24,2013
16,7.78,2014
16,7.39,2015
16,6.74,2016
16,6.05,2017
16,5.5,2018
16,5.27,2019
16,5.98,2020
01001000,14.6,1998
01001000,13.0,1999
01001000,11.84,2000
01001000,12.12,2001
01001000,12.09,2002
01001000,13.68,2003
01001000,14.02,2004
01001000,18.28,2005
01001000,15.39,2006
01001000,12.5,2007
01001000,11.46,2008
01001000,12.94,2009
01001000,12.7,2010
01001000,11.89,2011
01001000,11.34,2012
01001000,11.1,2013
01001000,10.55,2014
01001000,9.96,2015
01001000,9.03,2016
01001000,8.95,2017
01001000,8.31,2018
01001000,7.96,2019
01001000,9.06,2020
01002000,13.9,1998
01002000,12.88,1999
01002000,11.31,2000
