Kennziffer,Wert,Zeitbezug
111,48.53,1997
111,48.4,1998
111,48.93,1999
111,49.59,2000
111,49.59,2001
111,49.27,2002
111,48.32,2003
111,47.83,2004
111,47.45,2005
111,48.06,2006
111,49.14,2007
111,50.51,2008
111,50.6,2009
111,51.14,2010
111,53.39,2011
111,54.22,2012
111,55.25,2013
111,56.1,2014
111,56.68,2015
111,57.92,2016
111,59.27,2017
111,60.6,2018
111,61.77,2019
111,61.96,2020
01,47.2,1997
01,46.76,1998
01,47.51,1999
01,48.03,2000
01,47.91,2001
01,47.63,2002
01,46.63,2003
01,46.06,2004
01,45.83,2005
01,46.62,2006
01,47.53,2007
01,48.73,2008
01,49.23,2009
01,49.7,2010
01,51.41,2011
01,52.38,2012
01,53.67,2013
01,54.47,2014
01,55.05,2015
01,55.95,2016
01,57.37,2017
01,58.58,2018
01,59.69,2019
01,59.98,2020
02,45.91,1997
02,45.79,1998
02,46.44,1999
02,47.45,2000
02,47.95,2001
02,47.68,2002
02,46.42,2003
02,45.79,2004
02,45.1,2005
02,45.53,2006
02,46.43,2007
02,48.18,2008
02,48.8,2009
02,49.25,2010
02,53.13,2011
02,54.02,2012
02,55.01,2013
02,55.69,2014
02,56.56,2015
02,58.02,2016
02,59.06,2017
02,60.2,2018
02,61.67,2019
02,61.56,2020
03,46.92,1997
03,46.85,1998
03,47.55,1999
03,48.44,2000
03,48.23,2001
03,48.1,2002
03,47.45,2003
03,46.94,2004
03,46.64,2005
03,47.21,2006
03,48.04,2007
03,49.38,2008
03,49.53,2009
03,50.08,2010
03,52.56,2011
03,53.75,2012
03,54.9,2013
03,55.83,2014
03,56.35,2015
03,57.53,2016
03,58.79,2017
03,60.08,2018
03,61.33,2019
03,61.73,2020
04,44.28,1997
04,43.94,1998
04,45.03,1999
04,45.87,2000
04,46.36,2001
04,45.63,2002
04,44.56,2003
04,43.55,2004
04,42.75,2005
04,43.08,2006
04,44.48,2007
04,45.93,2008
04,45.78,2009
04,46.34,2010
04,48.28,2011
04,49.1,2012
04,49.9,2013
04,50.78,2014
04,51.26,2015
04,52.27,2016
04,53.78,2017
04,54.72,2018
04,56.25,2019
04,56.55,2020
05,46.56,1997
05,46.57,1998
05,47.24,1999
05,48.22,2000
05,48.36,2001
05,48.18,2002
05,47.06,2003
05,46.45,2004
05,46.05,2005
05,46.27,2006
05,47.23,2007
05,48.47,2008
05,48.4,2009
05,48.77,2010
05,50.83,2011
05,51.49,2012
05,52.59,2013
05,53.29,2014
05,53.67,2015
05,55.0,2016
05,56.4,2017
05,57.82,2018
05,59.03,2019
05,59.39,2020
06,48.47,1997
06,48.26,1998
06,48.87,1999
06,49.82,2000
06,50.4,2001
06,50.24,2002
06,49.37,2003
06,48.68,2004
06,48.44,2005
06,48.87,2006
06,49.71,2007
06,50.79,2008
06,50.86,2009
06,51.17,2010
06,52.79,2011
06,53.5,2012
06,54.52,2013
06,55.35,2014
06,55.94,2015
06,57.27,2016
06,58.5,2017
06,59.73,2018
06,60.83,2019
06,60.93,2020
07,47.32,1997
07,47.46,1998
07,48.29,1999
07,49.18,2000
07,49.4,2001
07,49.43,2002
07,48.73,2003
07,48.37,2004
07,48.02,2005
07,48.51,2006
07,49.38,2007
07,50.56,2008
07,50.6,2009
07,51.14,2010
07,52.18,2011
07,52.77,2012
07,53.92,2013
07,54.75,2014
07,55.28,2015
07,56.14,2016
07,57.42,2017
07,58.54,2018
07,59.72,2019
07,59.82,2020
08,50.18,1997
08,50.17,1998
08,50.63,1999
08,51.56,2000
08,51.83,2001
08,51.71,2002
08,50.86,2003
08,50.4,2004
08,50.23,2005
08,50.72,2006
08,51.53,2007
08,52.69,2008
08,52.22,2009
08,52.55,2010
08,55.31,2011
08,56.06,2012
08,56.97,2013
08,57.89,2014
08,58.39,2015
08,59.66,2016
08,60.91,2017
08,62.4,2018
08,63.53,2019
08,63.57,2020
09,50.59,1997
09,50.63,1998
09,51.19,1999
09,52.02,2000
09,52.28,2001
09,52.19,2002
09,51.25,2003
09,50.94,2004
09,50.79,2005
09,51.35,2006
09,52.28,2007
09,53.57,2008
09,53.52,2009
09,53.99,2010
09,55.95,2011
09,56.98,2012
09,58.0,2013
09,58.95,2014
09,59.68,2015
09,60.94,2016
09,62.33,2017
09,63.62,2018
09,64.88,2019
09,64.95,2020
10,43.3,1997
10,43.81,1998
10,44.67,1999
10,45.43,2000
10,45.9,2001
10,46.04,2002
10,45.63,2003
10,45.53,2004
10,45.45,2005
10,45.88,2006
10,46.95,2007
10,47.98,2008
10,47.86,2009
10,48.43,2010
10,50.49,2011
10,51.28,2012
10,52.38,2013
10,53.33,2014
10,53.85,2015
10,54.64,2016
10,55.94,2017
10,57.44,2018
10,58.6,2019
10,58.46,2020
11,44.92,1997
11,43.6,1998
11,43.88,1999
11,43.96,2000
11,43.15,2001
11,42.11,2002
11,40.54,2003
11,39.77,2004
11,38.56,2005
11,39.06,2006
11,40.03,2007
11,41.41,2008
11,42.37,2009
11,43.04,2010
11,46.51,2011
11,47.51,2012
11,47.89,2013
11,48.79,2014
11,50.67,2015
11,51.99,2016
11,53.66,2017
11,55.08,2018
11,56.47,2019
11,56.79,2020
12,50.78,1997
12,50.46,1998
12,49.72,1999
12,49.46,2000
12,48.75,2001
12,48.11,2002
12,47.04,2003
12,46.48,2004
12,46.14,2005
12,47.79,2006
12,49.92,2007
12,51.89,2008
12,52.81,2009
12,53.85,2010
12,55.98,2011
12,56.78,2012
12,57.96,2013
12,58.72,2014
12,59.16,2015
12,60.25,2016
12,61.68,2017
12,62.98,2018
12,63.96,2019
12,64.13,2020
13,50.73,1997
13,50.3,1998
13,50.77,1999
13,50.61,2000
13,49.41,2001
13,48.4,2002
13,47.02,2003
13,46.39,2004
13,45.93,2005
13,47.42,2006
13,49.12,2007
13,51.16,2008
13,52.07,2009
13,52.83,2010
13,54.6,2011
13,55.24,2012
13,56.45,2013
13,57.16,2014
13,57.52,2015
13,58.73,2016
13,59.96,2017
13,61.31,2018
13,62.39,2019
13,62.26,2020
14,51.89,1997
14,51.51,1998
14,51.62,1999
14,51.38,2000
14,50.74,2001
14,49.42,2002
14,48.83,2003
14,48.54,2004
14,47.81,2005
14,49.07,2006
14,51.05,2007
14,53.05,2008
14,53.51,2009
14,54.86,2010
14,57.65,2011
14,58.47,2012
14,59.67,2013
14,60.76,2014
14,61.32,2015
14,62.75,2016
14,64.17,2017
14,65.54,2018
14,66.44,2019
14,66.71,2020
15,50.78,1997
15,50.35,1998
15,50.27,1999
15,50.03,2000
15,49.64,2001
15,48.82,2002
15,48.17,2003
15,47.87,2004
15,47.25,2005
15,48.77,2006
15,50.63,2007
15,52.84,2008
15,53.52,2009
15,54.57,2010
15,56.86,2011
15,57.58,2012
15,58.4,2013
15,59.38,2014
15,59.87,2015
15,61.03,2016
15,62.69,2017
15,64.07,2018
15,65.07,2019
15,65.25,2020
16,52.21,1997
16,52.28,1998
16,53.17,1999
16,52.66,2000
16,51.97,2001
16,50.92,2002
16,49.62,2003
16,49.39,2004
16,48.73,2005
16,50.18,2006
16,52.07,2007
16,54.08,2008
16,54.02,2009
16,55.35,2010
16,58.19,2011
16,58.94,2012
16,60.28,2013
16,61.1,2014
16,61.27,2015
16,62.73,2016
16,64.06,2017
16,65.25,2018
16,65.77,2019
16,65.97,2020
010010000,45.06,2001
010010000,44.27,2002
010010000,42.14,2003
010010000,41.12,2004
010010000,40.17,2005
010010000,40.35,2006
010010000,40.81,2007
010010000,40.98,2008
010010000,40.8,2009
010010000,41.34,2010
010010000,46.06,2011
010010000,46.48,2012
010010000,47.94,2013
010010000,48.66,2014
010010000,49.72,2015
010010000,50.29,2016
010010000,51.79,2017
010010000,52.83,2018
010010000,53.84,2019
010010000,53.81,2020
010020000,46.08,2001
010020000,45.25,2002
010020000,43.73,2003
010020000,42.72,2004
010020000,41.7,2005
010020000,42.39,2006
010020000,42.92,2007
010020000,44.01,2008
010020000,44.29,2009
010020000,44.45,2010
010020000,45.98,2011
010020000,46.7,2012
010020000,47.5,2013
010020000,48.08,2014
010020000,48.65,2015
010020000,50.46,2016
010020000,51.54,2017
010020000,52.92,2018
010020000,54.14,2019
010020000,54.28,2020
010030000,46.19,2001
010030000,45.79,2002
010030000,44.77,2003
010030000,43.55,2004
010030000,42.86,2005
010030000,43.77,2006
010030000,44.5,2007
010030000,45.78,2008
010030000,46.34,2009
010030000,47.11,2010
010030000,48.29,2011
010030000,49.3,2012
010030000,50.65,2013
010030000,51.53,2014
010030000,52.58,2015
010030000,54.49,2016
010030000,56.15,2017
010030000,56.65,2018
010030000,57.68,2019
010030000,58.23,2020
010040000,49.22,2001
010040000,48.27,2002
010040000,47.03,2003
010040000,46.26,2004
010040000,44.82,2005
010040000,45.27,2006
010040000,46.68,2007
010040000,48.3,2008
010040000,48.49,2009
010040000,48.8,2010
010040000,49.3,2011
010040000,50.53,2012
010040000,51.93,2013
010040000,52.89,2014
010040000,52.94,2015
010040000,54.07,2016
010040000,56.16,2017
010040000,57.56,2018
010040000,58.6,2019
010040000,58.98,2020
010510011,47.67,2001
010510011,47.56,2002
010510011,45.85,2003
010510011,44.73,2004
010510011,45.92,2005
010510011,46.24,2006
010510011,47.62,2007
010510011,48.92,2008
010510011,49.26,2009
010510011,49.5,2010
010510011,52.53,2011
010510011,52.02,2012
010510011,53.64,2013
010510011,54.36,2014
010510011,55.31,2015
010510011,57.04,2016
010510011,59.17,2017
010510011,60.01,2018
010510011,62.04,2019
010510011,61.8,2020
010510044,44.75,2001
010510044,44.26,2002
010510044,42.1,2003
010510044,42.04,2004
010510044,40.6,2005
010510044,41.32,2006
010510044,42.27,2007
010510044,43.01,2008
010510044,42.91,2009
010510044,43.91,2010
010510044,45.32,2011
010510044,45.2,2012
010510044,48.36,2013
010510044,49.49,2014
010510044,50.35,2015
010510044,52.42,2016
010510044,53.37,2017
010510044,54.3,2018
010510044,55.65,2019
010510044,56.24,2020
010515163,46.68,2001
010515163,45.88,2002
010515163,45.23,2003
010515163,44.37,2004
010515163,44.69,2005
010515163,45.42,2006
010515163,46.26,2007
010515163,47.36,2008
010515163,48.18,2009
010515163,48.4,2010
010515163,49.04,2011
010515163,49.82,2012
010515163,51.26,2013
010515163,51.97,2014
010515163,53.91,2015
010515163,56.08,2016
010515163,57.64,2017
010515163,58.83,2018
010515163,60.15,2019
010515163,60.2,2020
010515166,45.98,2001
010515166,44.74,2002
010515166,44.71,2003
010515166,44.49,2004
010515166,45.04,2005
010515166,45.35,2006
010515166,45.14,2007
010515166,46.61,2008
010515166,47.69,2009
010515166,47.73,2010
010515166,48.68,2011
010515166,49.59,2012
010515166,50.51,2013
010515166,51.36,2014
010515166,52.65,2015
010515166,52.99,2016
010515166,54.23,2017
010515166,55.05,2018
010515166,57.09,2019
010515166,58.2,2020
010515169,43.86,2001
010515169,43.95,2002
010515169,42.36,2003
010515169,42.0,2004
010515169,42.22,2005
010515169,43.14,2006
010515169,44.29,2007
010515169,45.86,2008
010515169,46.71,2009
010515169,47.36,2010
010515169,47.19,2011
010515169,48.26,2012
010515169,50.39,2013
010515169,51.23,2014
010515169,52.29,2015
010515169,54.53,2016
010515169,56.21,2017
010515169,56.79,2018
010515169,58.31,2019
010515169,59.43,2020
010515172,47.56,2001
010515172,47.87,2002
010515172,47.18,2003
010515172,46.2,2004
010515172,46.06,2005
010515172,47.04,2006
010515172,47.39,2007
010515172,48.23,2008
010515172,49.14,2009
010515172,50.05,2010
010515172,51.33,2011
010515172,52.36,2012
010515172,54.36,2013
010515172,55.4,2014
010515172,55.67,2015
010515172,56.0,2016
010515172,58.05,2017
010515172,59.26,2018
010515172,61.85,2019
010515172,61.67,2020
010515175,44.93,2001
010515175,44.7,2002
010515175,42.9,2003
010515175,42.19,2004
010515175,42.42,2005
010515175,43.11,2006
010515175,43.96,2007
010515175,44.56,2008
010515175,45.54,2009
010515175,46.11,2010
010515175,48.52,2011
010515175,49.08,2012
010515175,51.35,2013
010515175,52.19,2014
010515175,52.19,2015
010515175,52.67,2016
010515175,54.92,2017
010515175,56.28,2018
010515175,57.8,2019
010515175,58.87,2020
010515178,42.39,2001
010515178,42.19,2002
010515178,40.84,2003
010515178,40.39,2004
010515178,40.09,2005
010515178,40.97,2006
010515178,41.22,2007
010515178,43.27,2008
010515178,44.8,2009
010515178,45.77,2010
010515178,46.34,2011
010515178,46.97,2012
010515178,49.2,2013
010515178,49.89,2014
010515178,51.24,2015
010515178,51.09,2016
010515178,54.23,2017
010515178,56.45,2018
010515178,58.82,2019
010515178,58.87,2020
010530032,52.86,2001
010530032,52.06,2002
010530032,51.74,2003
010530032,50.63,2004
010530032,50.42,2005
010530032,51.34,2006
010530032,52.82,2007
010530032,54.18,2008
010530032,54.51,2009
010530032,55.07,2010
010530032,57.49,2011
010530032,58.16,2012
010530032,59.84,2013
010530032,60.41,2014
010530032,61.35,2015
010530032,61.16,2016
010530032,62.88,2017
010530032,64.21,2018
010530032,65.81,2019
010530032,64.9,2020
010530083,48.3,2001
010530083,48.44,2002
010530083,47.51,2003
