Kennziffer,Wert,Zeitbezug
111,81817498.0,1995
111,82012160.0,1996
111,82057380.0,1997
111,82037011.0,1998
111,82163476.0,1999
111,82259531.0,2000
111,82440309.0,2001
111,82536680.0,2002
111,82531670.0,2003
111,82500850.0,2004
111,82437995.0,2005
111,82314906.0,2006
111,82217837.0,2007
111,82002356.0,2008
111,81802257.0,2009
111,81751602.0,2010
111,80327900.0,2011
111,80523746.0,2012
111,80767463.0,2013
111,81197537.0,2014
111,82175684.0,2015
111,82521653.0,2016
111,82792351.0,2017
111,83019213.0,2018
111,83166711.0,2019
111,83155031.0,2020
01,2725461.0,1995
01,2742293.0,1996
01,2756473.0,1997
01,2766057.0,1998
01,2777275.0,1999
01,2789761.0,2000
01,2804249.0,2001
01,2816507.0,2002
01,2823171.0,2003
01,2828760.0,2004
01,2832950.0,2005
01,2834254.0,2006
01,2837373.0,2007
01,2834260.0,2008
01,2832027.0,2009
01,2834259.0,2010
01,2802266.0,2011
01,2806531.0,2012
01,2815955.0,2013
01,2830864.0,2014
01,2858714.0,2015
01,2881926.0,2016
01,2889821.0,2017
01,2896712.0,2018
01,2903773.0,2019
01,2910875.0,2020
02,1707901.0,1995
02,1707986.0,1996
02,1704731.0,1997
02,1700089.0,1998
02,1704735.0,1999
02,1715392.0,2000
02,1726363.0,2001
02,1728806.0,2002
02,1734083.0,2003
02,1734830.0,2004
02,1743627.0,2005
02,1754182.0,2006
02,1770629.0,2007
02,1772100.0,2008
02,1774224.0,2009
02,1786448.0,2010
02,1718187.0,2011
02,1734272.0,2012
02,1746342.0,2013
02,1762791.0,2014
02,1787408.0,2015
02,1810438.0,2016
02,1830584.0,2017
02,1841179.0,2018
02,1847253.0,2019
02,1852478.0,2020
03,7780422.0,1995
03,7815148.0,1996
03,7845398.0,1997
03,7865840.0,1998
03,7898760.0,1999
03,7926193.0,2000
03,7956416.0,2001
03,7980472.0,2002
03,7993415.0,2003
03,8000909.0,2004
03,7993946.0,2005
03,7982685.0,2006
03,7971684.0,2007
03,7947244.0,2008
03,7928815.0,2009
03,7918293.0,2010
03,7774253.0,2011
03,7778995.0,2012
03,7790559.0,2013
03,7826739.0,2014
03,7926599.0,2015
03,7945685.0,2016
03,7962775.0,2017
03,7982448.0,2018
03,7993608.0,2019
03,8003421.0,2020
04,679757.0,1995
04,677770.0,1996
04,673883.0,1997
04,667965.0,1998
04,663065.0,1999
04,660225.0,2000
04,659651.0,2001
04,662098.0,2002
04,663129.0,2003
04,663213.0,2004
04,663467.0,2005
04,663979.0,2006
04,663082.0,2007
04,661866.0,2008
04,661716.0,2009
04,660706.0,2010
04,652182.0,2011
04,654774.0,2012
04,657391.0,2013
04,661888.0,2014
04,671489.0,2015
04,678753.0,2016
04,681032.0,2017
04,682986.0,2018
04,681202.0,2019
04,680130.0,2020
05,17893045.0,1995
05,17947715.0,1996
05,17974487.0,1997
05,17975516.0,1998
05,17999800.0,1999
05,18009865.0,2000
05,18052092.0,2001
05,18076355.0,2002
05,18079686.0,2003
05,18075352.0,2004
05,18058105.0,2005
05,18028745.0,2006
05,17996621.0,2007
05,17933064.0,2008
05,17872763.0,2009
05,17845154.0,2010
05,17544938.0,2011
05,17554329.0,2012
05,17571856.0,2013
05,17638098.0,2014
05,17865516.0,2015
05,17890100.0,2016
05,17912134.0,2017
05,17932651.0,2018
05,17947221.0,2019
05,17925570.0,2020
06,6009913.0,1995
06,6027284.0,1996
06,6031705.0,1997
06,6035137.0,1998
06,6051966.0,1999
06,6068129.0,2000
06,6077826.0,2001
06,6091618.0,2002
06,6089428.0,2003
06,6097765.0,2004
06,6092354.0,2005
06,6075359.0,2006
06,6072555.0,2007
06,6064953.0,2008
06,6061951.0,2009
06,6067021.0,2010
06,5993771.0,2011
06,6016481.0,2012
06,6045425.0,2013
06,6093888.0,2014
06,6176172.0,2015
06,6213088.0,2016
06,6243262.0,2017
06,6265809.0,2018
06,6288080.0,2019
06,6293154.0,2020
07,3977919.0,1995
07,4000567.0,1996
07,4017828.0,1997
07,4024969.0,1998
07,4030773.0,1999
07,4034557.0,2000
07,4049066.0,2001
07,4057727.0,2002
07,4058682.0,2003
07,4061105.0,2004
07,4058843.0,2005
07,4052860.0,2006
07,4045643.0,2007
07,4028351.0,2008
07,4012675.0,2009
07,4003745.0,2010
07,3990033.0,2011
07,3990278.0,2012
07,3994366.0,2013
07,4011582.0,2014
07,4052803.0,2015
07,4066053.0,2016
07,4073679.0,2017
07,4084844.0,2018
07,4093903.0,2019
07,4098391.0,2020
08,10319367.0,1995
08,10374505.0,1996
08,10396610.0,1997
08,10426040.0,1998
08,10475932.0,1999
08,10524405.0,2000
08,10600906.0,2001
08,10661320.0,2002
08,10692556.0,2003
08,10717419.0,2004
08,10735701.0,2005
08,10738753.0,2006
08,10749755.0,2007
08,10749506.0,2008
08,10744921.0,2009
08,10753880.0,2010
08,10512441.0,2011
08,10569111.0,2012
08,10631278.0,2013
08,10716644.0,2014
08,10879618.0,2015
08,10951893.0,2016
08,11023425.0,2017
08,11069533.0,2018
08,11100394.0,2019
08,11103043.0,2020
09,11993484.0,1995
09,12043869.0,1996
09,12066375.0,1997
09,12086548.0,1998
09,12154967.0,1999
09,12230255.0,2000
09,12329714.0,2001
09,12387351.0,2002
09,12423386.0,2003
09,12443893.0,2004
09,12468726.0,2005
09,12492658.0,2006
09,12520332.0,2007
09,12519728.0,2008
09,12510331.0,2009
09,12538696.0,2010
09,12443372.0,2011
09,12519571.0,2012
09,12604244.0,2013
09,12691568.0,2014
09,12843514.0,2015
09,12930751.0,2016
09,12997204.0,2017
09,13076721.0,2018
09,13124737.0,2019
09,13140183.0,2020
10,1084370.0,1995
10,1084184.0,1996
10,1080790.0,1997
10,1074223.0,1998
10,1071501.0,1999
10,1068703.0,2000
10,1066470.0,2001
10,1064988.0,2002
10,1061376.0,2003
10,1056417.0,2004
10,1050293.0,2005
10,1043167.0,2006
10,1036598.0,2007
10,1030324.0,2008
10,1022585.0,2009
10,1017567.0,2010
10,997855.0,2011
10,994287.0,2012
10,990718.0,2013
10,989035.0,2014
10,995597.0,2015
10,996651.0,2016
10,994187.0,2017
10,990509.0,2018
10,986887.0,2019
10,983991.0,2020
11,3471418.0,1995
11,3458763.0,1996
11,3425759.0,1997
11,3398822.0,1998
11,3386667.0,1999
11,3382169.0,2000
11,3388434.0,2001
11,3392425.0,2002
11,3388477.0,2003
11,3387828.0,2004
11,3395189.0,2005
11,3404037.0,2006
11,3416255.0,2007
11,3431675.0,2008
11,3442675.0,2009
11,3460725.0,2010
11,3326002.0,2011
11,3375222.0,2012
11,3421829.0,2013
11,3469849.0,2014
11,3520031.0,2015
11,3574830.0,2016
11,3613495.0,2017
11,3644826.0,2018
11,3669491.0,2019
11,3664088.0,2020
12,2542041.0,1995
12,2554441.0,1996
12,2573291.0,1997
12,2590375.0,1998
12,2601207.0,1999
12,2601963.0,2000
12,2593041.0,2001
12,2582379.0,2002
12,2574521.0,2003
12,2567704.0,2004
12,2559483.0,2005
12,2547772.0,2006
12,2535737.0,2007
12,2522493.0,2008
12,2511525.0,2009
12,2503273.0,2010
12,2453180.0,2011
12,2449511.0,2012
12,2449193.0,2013
12,2457872.0,2014
12,2484826.0,2015
12,2494648.0,2016
12,2504040.0,2017
12,2511917.0,2018
12,2521893.0,2019
12,2531071.0,2020
13,1823084.0,1995
13,1817196.0,1996
13,1807799.0,1997
13,1798689.0,1998
13,1789322.0,1999
13,1775703.0,2000
13,1759877.0,2001
13,1744624.0,2002
13,1732226.0,2003
13,1719653.0,2004
13,1707266.0,2005
13,1693754.0,2006
13,1679682.0,2007
13,1664356.0,2008
13,1651216.0,2009
13,1642327.0,2010
13,1606899.0,2011
13,1600327.0,2012
13,1596505.0,2013
13,1599138.0,2014
13,1612362.0,2015
13,1610674.0,2016
13,1611119.0,2017
13,1609675.0,2018
13,1608138.0,2019
13,1610774.0,2020
14,4566603.0,1995
14,4545700.0,1996
14,4522413.0,1997
14,4489415.0,1998
14,4459686.0,1999
14,4425581.0,2000
14,4384192.0,2001
14,4349059.0,2002
14,4321437.0,2003
14,4296284.0,2004
14,4273754.0,2005
14,4249774.0,2006
14,4220200.0,2007
14,4192801.0,2008
14,4168732.0,2009
14,4149477.0,2010
14,4054182.0,2011
14,4050204.0,2012
14,4046385.0,2013
14,4055274.0,2014
14,4084851.0,2015
14,4081783.0,2016
14,4081308.0,2017
14,4077937.0,2018
14,4071971.0,2019
14,4056941.0,2020
15,2738928.0,1995
15,2723620.0,1996
15,2701690.0,1997
15,2674490.0,1998
15,2648738.0,1999
15,2615375.0,2000
15,2580625.0,2001
15,2548911.0,2002
15,2522940.0,2003
15,2494438.0,2004
15,2469716.0,2005
15,2441787.0,2006
15,2412472.0,2007
15,2381872.0,2008
15,2356219.0,2009
15,2335006.0,2010
15,2276736.0,2011
15,2259393.0,2012
15,2244577.0,2013
15,2235548.0,2014
15,2245470.0,2015
15,2236252.0,2016
15,2223081.0,2017
15,2208321.0,2018
15,2194782.0,2019
15,2180684.0,2020
16,2503785.0,1995
16,2491119.0,1996
16,2478148.0,1997
16,2462836.0,1998
16,2449082.0,1999
16,2431255.0,2000
16,2411387.0,2001
16,2392040.0,2002
16,2373157.0,2003
16,2355280.0,2004
16,2334575.0,2005
16,2311140.0,2006
16,2289219.0,2007
16,2267763.0,2008
16,2249882.0,2009
16,2235025.0,2010
16,2181603.0,2011
16,2170460.0,2012
16,2160840.0,2013
16,2156759.0,2014
16,2170714.0,2015
16,2158128.0,2016
16,2151205.0,2017
16,2143145.0,2018
16,2133378.0,2019
16,2120237.0,2020
010010000,87276.0,1995
010010000,86630.0,1996
010010000,85547.0,1997
010010000,84742.0,1998
010010000,84449.0,1999
010010000,84281.0,2000
010010000,84480.0,2001
010010000,84704.0,2002
010010000,85300.0,2003
010010000,85762.0,2004
010010000,86080.0,2005
010010000,86630.0,2006
010010000,87792.0,2007
010010000,88718.0,2008
010010000,88502.0,2009
010010000,88759.0,2010
010010000,82801.0,2011
010010000,83462.0,2012
010010000,83971.0,2013
010010000,84694.0,2014
010010000,85942.0,2015
010010000,87432.0,2016
010010000,88519.0,2017
010010000,89504.0,2018
010010000,90164.0,2019
010010000,89934.0,2020
010020000,246033.0,1995
010020000,243728.0,1996
010020000,240516.0,1997
010020000,237337.0,1998
010020000,233795.0,1999
010020000,232612.0,2000
010020000,232242.0,2001
010020000,233270.0,2002
010020000,233039.0,2003
010020000,233329.0,2004
010020000,234433.0,2005
010020000,235366.0,2006
010020000,236902.0,2007
010020000,237579.0,2008
010020000,238281.0,2009
010020000,239526.0,2010
010020000,237667.0,2011
010020000,239866.0,2012
010020000,241533.0,2013
010020000,243148.0,2014
010020000,246306.0,2015
010020000,247441.0,2016
010020000,247943.0,2017
010020000,247548.0,2018
010020000,246794.0,2019
010020000,246601.0,2020
010030000,216986.0,1995
010030000,215673.0,1996
010030000,215376.0,1997
010030000,214017.0,1998
010030000,213326.0,1999
010030000,213399.0,2000
010030000,213496.0,2001
010030000,213301.0,2002
010030000,212754.0,2003
010030000,211874.0,2004
010030000,211825.0,2005
010030000,211213.0,2006
010030000,211541.0,2007
010030000,210892.0,2008
010030000,209818.0,2009
010030000,210232.0,2010
010030000,210679.0,2011
010030000,211713.0,2012
010030000,212958.0,2013
010030000,214420.0,2014
010030000,216253.0,2015
010030000,216712.0,2016
010030000,216318.0,2017
010030000,217198.0,2018
010030000,216530.0,2019
010030000,215846.0,2020
010040000,82028.0,1995
010040000,81796.0,1996
010040000,81322.0,1997
010040000,80803.0,1998
010040000,80243.0,1999
010040000,79831.0,2000
010040000,79646.0,2001
010040000,79544.0,2002
010040000,78951.0,2003
010040000,78555.0,2004
010040000,78072.0,2005
010040000,77936.0,2006
010040000,77595.0,2007
010040000,77100.0,2008
010040000,76897.0,2009
010040000,76830.0,2010
010040000,77201.0,2011
010040000,76951.0,2012
010040000,77058.0,2013
010040000,77588.0,2014
010040000,79197.0,2015
010040000,79680.0,2016
010040000,79335.0,2017
010040000,79487.0,2018
010040000,80196.0,2019
010040000,79905.0,2020
010510011,13966.0,1995
010510011,14114.0,1996
010510011,14084.0,1997
010510011,14050.0,1998
010510011,13976.0,1999
010510011,13942.0,2000
010510011,13902.0,2001
010510011,13900.0,2002
010510011,13925.0,2003
010510011,13881.0,2004
010510011,13751.0,2005
010510011,13620.0,2006
010510011,13494.0,2007
010510011,13379.0,2008
010510011,13228.0,2009
010510011,13120.0,2010
010510011,12734.0,2011
010510011,12758.0,2012
010510011,12721.0,2013
010510011,12642.0,2014
010510011,12740.0,2015
010510011,12801.0,2016
010510011,12704.0,2017
010510011,12554.0,2018
010510011,12380.0,2019
010510011,12364.0,2020
010510044,20633.0,1995
010510044,20708.0,1996
010510044,20903.0,1997
010510044,20719.0,1998
010510044,20709.0,1999
010510044,20530.0,2000
010510044,20523.0,2001
010510044,20445.0,2002
010510044,20524.0,2003
010510044,20515.0,2004
010510044,20745.0,2005
010510044,20695.0,2006
010510044,20827.0,2007
010510044,20821.0,2008
010510044,20747.0,2009
010510044,20886.0,2010
010510044,20773.0,2011
010510044,20894.0,2012
010510044,21105.0,2013
010510044,21303.0,2014
010510044,21422.0,2015
010510044,21529.0,2016
010510044,21699.0,2017
