Kennziffer,Wert,Zeitbezug
111,2091.18,2000
111,2140.47,2001
111,2171.64,2002
111,2201.1,2003
111,2214.61,2004
111,2224.21,2005
111,2243.46,2006
111,2277.0,2007
111,2333.91,2008
111,2335.0,2009
111,2396.26,2010
111,2479.06,2011
111,2550.36,2012
111,2606.28,2013
111,2683.16,2014
111,2760.63,2015
111,2829.19,2016
111,2901.79,2017
111,2994.12,2018
111,3082.92,2019
111,3079.29,2020
01,1928.11,2000
01,1964.75,2001
01,1994.79,2002
01,2014.28,2003
01,2010.06,2004
01,2007.59,2005
01,1997.86,2006
01,2028.15,2007
01,2066.24,2008
01,2076.07,2009
01,2117.86,2010
01,2178.11,2011
01,2235.13,2012
01,2281.73,2013
01,2327.84,2014
01,2385.99,2015
01,2439.8,2016
01,2503.89,2017
01,2598.18,2018
01,2675.15,2019
01,2702.98,2020
02,2499.73,2000
02,2567.51,2001
02,2599.97,2002
02,2623.35,2003
02,2641.46,2004
02,2663.65,2005
02,2697.99,2006
02,2744.54,2007
02,2800.53,2008
02,2823.28,2009
02,2859.64,2010
02,2942.55,2011
02,3020.19,2012
02,3116.41,2013
02,3194.44,2014
02,3284.89,2015
02,3369.21,2016
02,3433.37,2017
02,3536.47,2018
02,3654.16,2019
02,3630.58,2020
03,1968.26,2000
03,2007.11,2001
03,2021.85,2002
03,2051.23,2003
03,2051.17,2004
03,2041.83,2005
03,2077.88,2006
03,2091.85,2007
03,2134.11,2008
03,2151.9,2009
03,2208.06,2010
03,2286.38,2011
03,2350.52,2012
03,2404.81,2013
03,2481.14,2014
03,2549.63,2015
03,2604.22,2016
03,2663.85,2017
03,2763.17,2018
03,2843.75,2019
03,2844.42,2020
04,2143.08,2000
04,2202.76,2001
04,2213.92,2002
04,2270.51,2003
04,2285.38,2004
04,2316.1,2005
04,2347.16,2006
04,2370.84,2007
04,2441.92,2008
04,2452.36,2009
04,2505.66,2010
04,2588.93,2011
04,2638.48,2012
04,2734.37,2013
04,2796.46,2014
04,2869.04,2015
04,2951.84,2016
04,3032.21,2017
04,3095.54,2018
04,3159.6,2019
04,3126.13,2020
05,2155.33,2000
05,2191.15,2001
05,2221.6,2002
05,2238.33,2003
05,2248.82,2004
05,2256.34,2005
05,2252.0,2006
05,2272.63,2007
05,2334.61,2008
05,2341.54,2009
05,2399.19,2010
05,2474.33,2011
05,2552.3,2012
05,2586.0,2013
05,2675.45,2014
05,2734.9,2015
05,2795.8,2016
05,2857.16,2017
05,2955.89,2018
05,3035.9,2019
05,3039.55,2020
06,2355.04,2000
06,2419.06,2001
06,2463.51,2002
06,2518.0,2003
06,2528.03,2004
06,2540.09,2005
06,2584.19,2006
06,2643.22,2007
06,2719.26,2008
06,2710.19,2009
06,2760.38,2010
06,2845.38,2011
06,2899.13,2012
06,2959.83,2013
06,3032.33,2014
06,3105.3,2015
06,3174.55,2016
06,3248.21,2017
06,3347.9,2018
06,3434.47,2019
06,3419.1,2020
07,2043.93,2000
07,2079.0,2001
07,2090.56,2002
07,2116.72,2003
07,2118.9,2004
07,2111.75,2005
07,2124.43,2006
07,2148.04,2007
07,2190.7,2008
07,2207.41,2009
07,2252.82,2010
07,2315.66,2011
07,2375.22,2012
07,2451.72,2013
07,2511.89,2014
07,2575.38,2015
07,2629.95,2016
07,2692.14,2017
07,2768.45,2018
07,2840.78,2019
07,2855.2,2020
08,2236.49,2000
08,2297.31,2001
08,2333.76,2002
08,2377.24,2003
08,2396.26,2004
08,2412.06,2005
08,2451.22,2006
08,2493.71,2007
08,2545.76,2008
08,2510.93,2009
08,2596.1,2010
08,2699.14,2011
08,2786.06,2012
08,2852.38,2013
08,2917.99,2014
08,3003.82,2015
08,3077.21,2016
08,3159.93,2017
08,3245.69,2018
08,3335.29,2019
08,3277.22,2020
09,2195.73,2000
09,2252.29,2001
09,2287.69,2002
09,2319.6,2003
09,2347.39,2004
09,2356.81,2005
09,2381.73,2006
09,2435.05,2007
09,2503.24,2008
09,2485.27,2009
09,2559.32,2010
09,2649.96,2011
09,2729.09,2012
09,2790.99,2013
09,2873.53,2014
09,2956.27,2015
09,3033.21,2016
09,3114.65,2017
09,3194.85,2018
09,3290.12,2019
09,3271.24,2020
10,2043.15,2000
10,2102.64,2001
10,2106.33,2002
10,2135.34,2003
10,2154.09,2004
10,2167.32,2005
10,2182.29,2006
10,2216.12,2007
10,2231.21,2008
10,2197.71,2009
10,2287.17,2010
10,2360.73,2011
10,2407.61,2012
10,2474.73,2013
10,2520.38,2014
10,2568.63,2015
10,2618.73,2016
10,2678.4,2017
