Kennziffer,Wert,Zeitbezug
111,287.71,1995
111,255.07,1996
111,246.21,1997
111,260.43,1998
111,273.13,1999
111,280.15,2000
111,270.2,2001
111,266.18,2002
111,261.17,2003
111,244.7,2004
111,243.78,2005
111,266.03,2006
111,301.74,2007
111,338.93,2008
111,314.47,2009
111,304.67,2010
111,332.69,2011
111,359.09,2012
111,384.26,2013
111,405.93,2014
111,427.44,2015
111,440.24,2016
111,473.68,2017
111,494.51,2018
111,519.83,2019
111,494.71,2020
01,317.97,1995
01,277.97,1996
01,267.96,1997
01,275.29,1998
01,282.39,1999
01,280.83,2000
01,270.05,2001
01,264.52,2002
01,250.45,2003
01,230.84,2004
01,230.52,2005
01,253.79,2006
01,282.91,2007
01,313.51,2008
01,298.29,2009
01,293.73,2010
01,335.28,2011
01,335.65,2012
01,357.53,2013
01,371.88,2014
01,392.1,2015
01,406.93,2016
01,445.55,2017
01,451.96,2018
01,489.96,2019
01,469.17,2020
02,416.02,1995
02,413.73,1996
02,406.25,1997
02,432.64,1998
02,460.89,1999
02,476.78,2000
02,446.19,2001
02,443.78,2002
02,442.69,2003
02,402.66,2004
02,393.64,2005
02,423.37,2006
02,446.68,2007
02,543.74,2008
02,497.47,2009
02,464.86,2010
02,516.27,2011
02,545.2,2012
02,580.4,2013
02,586.4,2014
02,621.91,2015
02,625.43,2016
02,681.21,2017
02,714.06,2018
02,764.55,2019
02,699.88,2020
03,284.38,1995
03,247.31,1996
03,232.81,1997
03,239.45,1998
03,242.91,1999
03,243.15,2000
03,230.95,2001
03,229.4,2002
03,221.85,2003
03,202.74,2004
03,199.17,2005
03,225.16,2006
03,252.68,2007
03,286.93,2008
03,266.52,2009
03,258.63,2010
03,281.44,2011
03,320.26,2012
03,341.09,2013
03,364.55,2014
03,379.86,2015
03,390.46,2016
03,415.46,2017
03,438.3,2018
03,458.45,2019
03,432.69,2020
04,318.56,1995
04,301.16,1996
04,281.82,1997
04,281.14,1998
04,301.88,1999
04,288.34,2000
04,281.27,2001
04,289.18,2002
04,277.56,2003
04,244.97,2004
04,236.46,2005
04,264.02,2006
04,289.2,2007
04,331.66,2008
04,304.18,2009
04,298.92,2010
04,310.51,2011
04,314.75,2012
04,339.81,2013
04,352.05,2014
04,359.13,2015
04,374.03,2016
04,382.12,2017
04,408.15,2018
04,420.52,2019
04,397.17,2020
05,321.94,1995
05,295.04,1996
05,289.52,1997
05,303.95,1998
05,317.69,1999
05,316.17,2000
05,301.17,2001
05,297.79,2002
05,292.58,2003
05,272.98,2004
05,268.2,2005
05,289.14,2006
05,320.32,2007
05,354.35,2008
05,324.16,2009
05,306.79,2010
05,339.35,2011
05,364.8,2012
05,382.27,2013
05,402.5,2014
05,420.86,2015
05,433.93,2016
05,458.44,2017
05,482.9,2018
05,498.41,2019
05,476.73,2020
06,351.35,1995
06,321.72,1996
06,319.07,1997
06,337.41,1998
06,370.42,1999
06,399.74,2000
06,394.89,2001
06,381.99,2002
06,366.32,2003
06,331.52,2004
06,336.55,2005
06,365.2,2006
06,412.13,2007
06,448.89,2008
06,406.29,2009
06,381.79,2010
06,401.79,2011
06,422.66,2012
06,453.97,2013
06,481.89,2014
06,498.17,2015
06,524.4,2016
06,567.56,2017
06,563.05,2018
