Kennziffer,Wert,Zeitbezug
111,229.72,1996
111,230.4,2000
111,231.07,2004
111,229.63,2008
111,229.06,2009
111,228.92,2010
111,224.93,2011
111,225.45,2012
111,226.03,2013
111,227.21,2014
111,229.93,2015
111,230.78,2016
111,231.54,2017
111,232.17,2018
111,232.59,2019
111,232.55,2020
01,173.96,1996
01,176.98,2000
01,179.45,2004
01,179.39,2008
01,179.25,2009
01,179.39,2010
01,177.36,2011
01,177.63,2012
01,178.22,2013
01,179.13,2014
01,180.9,2015
01,182.35,2016
01,182.85,2017
01,183.29,2018
01,183.78,2019
01,184.18,2020
02,2261.24,1996
02,2271.08,2000
02,2297.06,2004
02,2346.22,2008
02,2349.03,2009
02,2365.22,2010
02,2274.84,2011
02,2296.14,2012
02,2312.36,2013
02,2334.14,2014
02,2366.8,2015
02,2397.65,2016
02,2424.33,2017
02,2438.36,2018
02,2446.4,2019
02,2453.32,2020
03,164.14,1996
03,166.46,2000
03,168.02,2004
03,166.87,2008
03,166.45,2009
03,166.31,2010
03,163.28,2011
03,163.38,2012
03,163.62,2013
03,164.38,2014
03,166.47,2015
03,166.54,2016
03,166.9,2017
03,167.31,2018
03,167.55,2019
03,167.75,2020
04,1676.49,1996
04,1633.09,2000
04,1640.48,2004
04,1636.95,2008
04,1636.57,2009
04,1575.77,2010
04,1555.15,2011
04,1561.29,2012
04,1567.53,2013
04,1578.22,2014
04,1599.39,2015
04,1616.27,2016
04,1621.7,2017
04,1626.35,2018
04,1621.6,2019
04,1619.28,2020
05,526.65,1996
05,528.44,2000
05,530.32,2004
05,526.08,2008
05,524.31,2009
05,523.44,2010
05,514.55,2011
05,514.64,2012
05,515.15,2013
05,517.09,2014
05,523.72,2015
05,524.44,2016
05,525.09,2017
05,525.69,2018
05,526.12,2019
05,525.48,2020
06,285.45,1996
06,287.39,2000
06,288.79,2004
06,287.24,2008
06,287.09,2009
06,287.34,2010
06,283.86,2011
06,284.94,2012
06,286.31,2013
06,288.61,2014
06,292.5,2015
06,294.24,2016
06,295.67,2017
06,296.74,2018
06,297.79,2019
06,298.03,2020
07,201.57,1996
07,203.28,2000
07,204.62,2004
07,202.97,2008
07,202.18,2009
07,201.72,2010
07,201.03,2011
07,201.04,2012
07,201.25,2013
07,202.11,2014
07,204.19,2015
07,204.82,2016
07,205.2,2017
07,205.77,2018
07,206.22,2019
07,206.45,2020
08,290.18,1996
08,294.38,2000
08,299.77,2004
08,300.67,2008
08,300.55,2009
08,300.8,2010
08,294.04,2011
08,295.63,2012
08,297.37,2013
08,299.76,2014
08,304.31,2015
08,306.36,2016
08,308.36,2017
08,309.65,2018
08,310.52,2019
08,310.59,2020
09,170.71,1996
09,173.36,2000
09,176.38,2004
09,177.46,2008
09,177.33,2009
09,177.73,2010
09,176.38,2011
09,177.46,2012
09,178.66,2013
09,179.89,2014
09,182.05,2015
09,183.31,2016
09,184.25,2017
09,185.38,2018
09,186.06,2019
09,186.28,2020
10,422.16,1996
10,416.12,2000
10,411.27,2004
10,401.11,2008
10,398.1,2009
10,396.14,2010
10,388.46,2011
10,387.08,2012
10,385.69,2013
10,385.03,2014
10,387.58,2015
10,387.64,2016
10,386.68,2017
10,385.25,2018
10,383.84,2019
10,382.71,2020
11,3878.97,1996
11,3792.99,2000
11,3798.78,2004
11,3849.15,2008
11,3861.49,2009
11,3880.87,2010
11,3729.75,2011
11,3785.15,2012
11,3837.51,2013
11,3891.32,2014
11,3947.64,2015
11,4011.61,2016
11,4055.0,2017
11,4090.16,2018
11,4117.84,2019
11,4111.78,2020
12,86.66,1996
12,88.27,2000
12,87.11,2004
12,85.56,2008
12,85.19,2009
12,84.91,2010
12,83.2,2011
12,83.07,2012
12,82.59,2013
12,82.88,2014
12,83.79,2015
12,84.12,2016
12,84.44,2017
12,84.71,2018
12,85.04,2019
12,85.35,2020
13,78.43,1996
13,76.63,2000
13,74.19,2004
13,71.78,2008
13,71.21,2009
13,70.82,2010
13,69.28,2011
13,68.95,2012
13,68.78,2013
13,68.89,2014
13,69.46,2015
13,69.15,2016
13,69.17,2017
13,69.1,2018
13,69.04,2019
13,69.15,2020
14,246.88,1996
14,240.35,2000
14,233.31,2004
14,227.63,2008
14,226.32,2009
14,225.27,2010
14,220.1,2011
14,219.88,2012
14,219.67,2013
14,220.15,2014
14,221.41,2015
14,221.24,2016
14,221.21,2017
14,221.03,2018
14,220.7,2019
14,219.89,2020
15,133.2,1996
15,127.91,2000
15,122.0,2004
15,116.49,2008
15,115.23,2009
15,114.18,2010
15,111.33,2011
15,110.48,2012
15,109.75,2013
15,109.31,2014
15,109.79,2015
15,109.34,2016
15,108.69,2017
15,107.96,2018
15,107.29,2019
15,106.59,2020
16,154.04,1996
16,150.34,2000
16,145.64,2004
16,140.23,2008
16,139.12,2009
16,138.2,2010
16,134.9,2011
16,134.21,2012
16,133.61,2013
16,133.12,2014
16,133.98,2015
16,133.2,2016
16,132.77,2017
16,132.27,2018
16,131.67,2019
16,130.86,2020
010010000,1534.9,1996
010010000,1492.76,2000
010010000,1521.14,2004
010010000,1563.59,2008
010010000,1559.78,2009
010010000,1564.31,2010
010010000,1459.31,2011
010010000,1470.96,2012
010010000,1479.93,2013
010010000,1492.67,2014
010010000,1514.66,2015
010010000,1541.2,2016
010010000,1560.36,2017
010010000,1577.72,2018
010010000,1700.57,2019
010010000,1585.3,2020
010020000,2086.36,1996
010020000,1964.79,2000
010020000,1970.68,2004
010020000,2002.35,2008
010020000,2008.27,2009
010020000,2018.76,2010
010020000,2003.09,2011
010020000,2021.63,2012
010020000,2035.68,2013
010020000,2049.29,2014
010020000,2075.9,2015
010020000,2085.47,2016
010020000,2089.7,2017
010020000,2086.37,2018
010020000,2080.02,2019
010020000,2078.39,2020
010030000,1007.16,1996
010030000,996.54,2000
010030000,989.46,2004
010030000,984.56,2008
010030000,979.5,2009
010030000,981.43,2010
010030000,983.52,2011
010030000,988.34,2012
010030000,994.16,2013
010030000,1000.98,2014
010030000,1009.54,2015
010030000,1011.77,2016
010030000,1009.94,2017
010030000,1014.04,2018
010030000,1010.92,2019
010030000,1007.73,2020
010040000,1143.04,1996
010040000,1115.43,2000
010040000,1096.68,2004
010040000,1076.36,2008
010040000,1073.53,2009
010040000,1072.6,2010
010040000,1077.77,2011
010040000,1074.28,2012
010040000,1075.78,2013
010040000,1083.18,2014
010040000,1105.64,2015
010040000,1111.92,2016
010040000,1107.1,2017
010040000,1109.22,2018
010040000,1119.12,2019
010040000,1115.06,2020
010510011,216.34,1996
010510011,213.7,2000
010510011,212.77,2004
010510011,205.07,2008
010510011,202.76,2009
010510011,201.1,2010
010510011,195.19,2011
010510011,195.55,2012
010510011,194.99,2013
010510011,193.78,2014
010510011,195.31,2015
010510011,196.3,2016
010510011,194.82,2017
010510011,192.52,2018
010510011,189.85,2019
010510011,189.6,2020
010510044,648.75,1996
010510044,643.17,2000
010510044,641.7,2004
010510044,651.27,2008
010510044,648.95,2009
010510044,653.3,2010
010510044,649.77,2011
010510044,653.55,2012
010510044,660.15,2013
010510044,666.34,2014
010510044,670.07,2015
010510044,673.41,2016
010510044,678.73,2017
010510044,678.26,2018
010510044,683.52,2019
010510044,672.04,2020
010515163,108.05,1996
010515163,111.45,2000
010515163,110.77,2004
010515163,107.7,2008
010515163,107.95,2009
010515163,107.2,2010
010515163,106.19,2011
010515163,105.39,2012
010515163,104.33,2013
010515163,103.86,2014
010515163,102.64,2015
010515163,102.48,2016
010515163,101.81,2017
010515163,101.05,2018
010515163,100.76,2019
010515163,101.37,2020
010515166,76.91,1996
010515166,78.23,2000
010515166,77.91,2004
010515166,76.7,2008
010515166,76.05,2009
010515166,76.07,2010
010515166,74.66,2011
010515166,73.84,2012
010515166,73.52,2013
010515166,73.61,2014
010515166,74.36,2015
010515166,74.8,2016
010515166,74.93,2017
010515166,75.05,2018
010515166,74.98,2019
010515166,75.41,2020
010515169,52.25,1996
010515169,52.86,2000
010515169,53.01,2004
010515169,52.29,2008
010515169,52.25,2009
010515169,51.75,2010
010515169,52.15,2011
010515169,51.9,2012
010515169,51.57,2013
010515169,51.76,2014
010515169,51.71,2015
010515169,51.53,2016
010515169,51.19,2017
010515169,51.22,2018
010515169,51.63,2019
010515169,51.85,2020
010515172,95.59,1996
010515172,100.9,2000
010515172,101.24,2004
010515172,101.11,2008
010515172,100.88,2009
010515172,100.34,2010
010515172,101.2,2011
010515172,100.7,2012
010515172,100.33,2013
010515172,100.4,2014
010515172,99.94,2015
010515172,100.43,2016
010515172,100.69,2017
010515172,100.55,2018
010515172,100.0,2019
010515172,100.68,2020
010515175,67.28,1996
010515175,70.64,2000
010515175,71.87,2004
010515175,70.42,2008
010515175,69.92,2009
010515175,69.69,2010
010515175,68.67,2011
010515175,68.2,2012
010515175,68.0,2013
