Kennziffer,Wert,Zeitbezug
111,55846652.0,1995
111,55968200.0,1996
111,55992563.0,1997
111,55989471.0,1998
111,55914636.0,1999
111,55788285.0,2000
111,55755782.0,2001
111,55682265.0,2002
111,55509745.0,2003
111,55208949.0,2004
111,54918231.0,2005
111,54574818.0,2006
111,54417384.0,2007
111,54134225.0,2008
111,53877881.0,2009
111,53966108.0,2010
111,52951462.0,2011
111,53125688.0,2012
111,53272221.0,2013
111,53422103.0,2014
111,53994380.0,2015
111,53963380.0,2016
111,53910881.0,2017
111,53844866.0,2018
111,53684770.0,2019
111,53405595.0,2020
01,1861367.0,1995
01,1870047.0,1996
01,1876998.0,1997
01,1880248.0,1998
01,1876211.0,1999
01,1871857.0,2000
01,1870790.0,2001
01,1868889.0,2002
01,1862621.0,2003
01,1852885.0,2004
01,1844760.0,2005
01,1835038.0,2006
01,1833034.0,2007
01,1825697.0,2008
01,1819976.0,2009
01,1826106.0,2010
01,1804673.0,2011
01,1808175.0,2012
01,1813122.0,2013
01,1820085.0,2014
01,1837307.0,2015
01,1846007.0,2016
01,1845473.0,2017
01,1844697.0,2018
01,1843038.0,2019
01,1840529.0,2020
02,1189476.0,1995
02,1190676.0,1996
02,1189399.0,1997
02,1187401.0,1998
02,1188448.0,1999
02,1193926.0,2000
02,1199254.0,2001
02,1198378.0,2002
02,1199576.0,2003
02,1196576.0,2004
02,1199281.0,2005
02,1203607.0,2006
02,1215164.0,2007
02,1212702.0,2008
02,1210658.0,2009
02,1221207.0,2010
02,1164093.0,2011
02,1176975.0,2012
02,1184960.0,2013
02,1194586.0,2014
02,1211143.0,2015
02,1225179.0,2016
02,1237822.0,2017
02,1244301.0,2018
02,1246260.0,2019
02,1249247.0,2020
03,5248653.0,1995
03,5261156.0,1996
03,5272579.0,1997
03,5279839.0,1998
03,5277248.0,1999
03,5270014.0,2000
03,5269124.0,2001
03,5266285.0,2002
03,5252464.0,2003
03,5229430.0,2004
03,5201318.0,2005
03,5174821.0,2006
03,5167848.0,2007
03,5149548.0,2008
03,5139121.0,2009
03,5154965.0,2010
03,5058247.0,2011
03,5072943.0,2012
03,5083264.0,2013
03,5098594.0,2014
03,5165473.0,2015
03,5154502.0,2016
03,5147101.0,2017
03,5143369.0,2018
03,5127340.0,2019
03,5108424.0,2020
04,465222.0,1995
04,463559.0,1996
04,460567.0,1997
04,456198.0,1998
04,450567.0,1999
04,446571.0,2000
04,444308.0,2001
04,444973.0,2002
04,444502.0,2003
04,442977.0,2004
04,441362.0,2005
04,440579.0,2006
04,439050.0,2007
04,437204.0,2008
04,436508.0,2009
04,436864.0,2010
04,431072.0,2011
04,433266.0,2012
04,435167.0,2013
04,437211.0,2014
04,442590.0,2015
04,446427.0,2016
04,446492.0,2017
04,446934.0,2018
04,444006.0,2019
04,441449.0,2020
05,12134594.0,1995
05,12141675.0,1996
05,12135162.0,1997
05,12118763.0,1998
05,12078415.0,1999
05,12025569.0,2000
05,12010101.0,2001
05,11991377.0,2002
05,11959087.0,2003
05,11907133.0,2004
05,11857496.0,2005
05,11815599.0,2006
05,11805101.0,2007
05,11764735.0,2008
05,11726127.0,2009
05,11752783.0,2010
05,11561015.0,2011
05,11591815.0,2012
05,11609638.0,2013
05,11632455.0,2014
05,11782598.0,2015
05,11750572.0,2016
05,11723679.0,2017
05,11696577.0,2018
05,11654329.0,2019
05,11583407.0,2020
06,4131094.0,1995
06,4136046.0,1996
06,4133119.0,1997
06,4132650.0,1998
06,4130970.0,1999
06,4125978.0,2000
06,4116812.0,2001
06,4114060.0,2002
06,4097582.0,2003
06,4082810.0,2004
06,4057510.0,2005
06,4027919.0,2006
06,4024475.0,2007
06,4013992.0,2008
06,4007312.0,2009
06,4022867.0,2010
06,3979450.0,2011
06,3995709.0,2012
06,4013899.0,2013
06,4035833.0,2014
06,4087574.0,2015
06,4094701.0,2016
06,4100407.0,2017
