Kennziffer,Wert,Zeitbezug
111,39971.0,2000
111,39859.0,2001
111,39666.0,2002
111,39237.0,2003
111,39362.0,2004
111,39311.0,2005
111,39595.0,2006
111,40272.0,2007
111,40838.0,2008
111,40903.0,2009
111,41048.0,2010
111,41544.0,2011
111,42019.0,2012
111,42350.0,2013
111,42721.0,2014
111,43122.0,2015
111,43661.0,2016
111,44251.0,2017
111,44858.0,2018
111,45268.0,2019
111,44898.0,2020
01,1283.0,2000
01,1285.0,2001
01,1275.0,2002
01,1256.0,2003
01,1256.0,2004
01,1253.0,2005
01,1262.0,2006
01,1282.0,2007
01,1300.0,2008
01,1306.0,2009
01,1307.0,2010
01,1321.0,2011
01,1328.0,2012
01,1334.0,2013
01,1343.0,2014
01,1356.0,2015
01,1376.0,2016
01,1395.0,2017
01,1415.0,2018
01,1433.0,2019
01,1428.0,2020
02,1051.0,2000
02,1058.0,2001
02,1051.0,2002
02,1039.0,2003
02,1042.0,2004
02,1051.0,2005
02,1062.0,2006
02,1087.0,2007
02,1115.0,2008
02,1131.0,2009
02,1140.0,2010
02,1157.0,2011
02,1178.0,2012
02,1193.0,2013
02,1202.0,2014
02,1212.0,2015
02,1235.0,2016
02,1256.0,2017
02,1276.0,2018
02,1294.0,2019
02,1291.0,2020
03,3581.0,2000
03,3565.0,2001
03,3567.0,2002
03,3548.0,2003
03,3568.0,2004
03,3554.0,2005
03,3578.0,2006
03,3641.0,2007
03,3691.0,2008
03,3722.0,2009
03,3741.0,2010
03,3803.0,2011
03,3858.0,2012
03,3894.0,2013
03,3926.0,2014
03,3959.0,2015
03,4012.0,2016
03,4055.0,2017
03,4113.0,2018
03,4150.0,2019
03,4113.0,2020
04,394.0,2000
04,395.0,2001
04,394.0,2002
04,391.0,2003
04,393.0,2004
04,392.0,2005
04,397.0,2006
04,404.0,2007
04,406.0,2008
04,404.0,2009
04,403.0,2010
04,409.0,2011
04,415.0,2012
04,417.0,2013
04,418.0,2014
04,418.0,2015
04,422.0,2016
04,427.0,2017
04,436.0,2018
04,438.0,2019
04,434.0,2020
05,8616.0,2000
05,8577.0,2001
05,8540.0,2002
05,8453.0,2003
05,8499.0,2004
05,8484.0,2005
05,8525.0,2006
05,8665.0,2007
05,8786.0,2008
05,8772.0,2009
05,8788.0,2010
05,8909.0,2011
05,8996.0,2012
05,9057.0,2013
05,9128.0,2014
05,9223.0,2015
05,9319.0,2016
05,9427.0,2017
05,9552.0,2018
05,9646.0,2019
05,9581.0,2020
06,3121.0,2000
06,3131.0,2001
06,3120.0,2002
06,3077.0,2003
06,3083.0,2004
06,3073.0,2005
06,3086.0,2006
06,3126.0,2007
06,3162.0,2008
06,3174.0,2009
06,3179.0,2010
06,3220.0,2011
06,3257.0,2012
06,3271.0,2013
06,3307.0,2014
06,3341.0,2015
06,3385.0,2016
06,3446.0,2017
06,3497.0,2018
06,3529.0,2019
06,3500.0,2020
07,1808.0,2000
07,1810.0,2001
07,1818.0,2002
07,1803.0,2003
07,1820.0,2004
07,1823.0,2005
07,1837.0,2006
07,1875.0,2007
07,1904.0,2008
07,1903.0,2009
07,1905.0,2010
07,1925.0,2011
07,1940.0,2012
07,1950.0,2013
07,1965.0,2014
07,1983.0,2015
07,2000.0,2016
07,2015.0,2017
07,2030.0,2018
07,2045.0,2019
07,2021.0,2020
08,5509.0,2000
