Kennziffer,Wert,Zeitbezug
111,28.7,2013
111,28.44,2014
111,27.98,2015
111,28.28,2016
111,28.03,2017
111,27.64,2018
111,27.86,2019
111,28.33,2020
01,27.18,2013
01,26.74,2014
01,25.97,2015
01,26.55,2016
01,26.15,2017
01,26.15,2018
01,26.39,2019
01,27.19,2020
02,23.4,2013
02,23.14,2014
02,23.18,2015
02,24.14,2016
02,23.78,2017
02,23.24,2018
02,24.77,2019
02,24.72,2020
03,28.16,2013
03,28.46,2014
03,28.1,2015
03,28.3,2016
03,27.65,2017
03,27.27,2018
03,27.43,2019
03,28.57,2020
04,23.4,2013
04,23.34,2014
04,23.0,2015
04,24.24,2016
04,23.3,2017
04,23.23,2018
04,23.05,2019
04,23.12,2020
05,29.49,2013
05,29.27,2014
05,28.84,2015
05,29.22,2016
05,28.86,2017
05,28.33,2018
05,28.7,2019
05,29.03,2020
06,30.47,2013
06,30.48,2014
06,29.77,2015
06,29.62,2016
06,29.41,2017
06,28.97,2018
06,29.31,2019
06,29.27,2020
07,30.99,2013
07,30.67,2014
07,30.1,2015
07,30.71,2016
07,30.32,2017
07,29.44,2018
07,30.33,2019
07,30.22,2020
08,31.67,2013
08,31.23,2014
08,31.11,2015
08,31.19,2016
08,30.95,2017
08,30.75,2018
08,30.35,2019
08,31.06,2020
09,30.67,2013
09,30.13,2014
09,29.65,2015
09,29.87,2016
09,29.4,2017
09,29.1,2018
09,29.26,2019
09,29.72,2020
10,29.53,2013
10,28.78,2014
10,28.46,2015
10,29.11,2016
10,29.36,2017
10,29.16,2018
10,28.19,2019
10,30.46,2020
11,22.34,2013
11,22.37,2014
11,22.04,2015
11,22.45,2016
11,23.02,2017
11,23.11,2018
11,23.55,2019
11,24.19,2020
12,27.8,2013
12,27.62,2014
12,27.0,2015
12,27.5,2016
12,27.23,2017
12,26.8,2018
12,27.09,2019
12,27.55,2020
13,25.0,2013
13,25.22,2014
13,24.12,2015
13,24.96,2016
13,24.83,2017
13,24.22,2018
13,23.95,2019
13,24.56,2020
14,23.86,2013
14,23.62,2014
14,23.11,2015
14,23.3,2016
14,23.84,2017
14,23.16,2018
14,23.65,2019
14,23.54,2020
15,25.85,2013
15,24.71,2014
15,23.98,2015
15,23.7,2016
15,23.43,2017
15,23.43,2018
15,23.59,2019
15,24.02,2020
16,26.96,2013
16,26.43,2014
16,25.39,2015
16,25.73,2016
16,26.05,2017
16,25.12,2018
16,25.02,2019
16,25.79,2020
010010000,23.68,2013
010010000,23.41,2014
010010000,22.45,2015
010010000,22.83,2016
010010000,22.82,2017
010010000,22.23,2018
010010000,21.94,2019
010010000,22.38,2020
010020000,22.1,2013
010020000,21.87,2014
010020000,21.15,2015
010020000,21.39,2016
010020000,21.57,2017
010020000,22.07,2018
010020000,22.32,2019
010020000,22.69,2020
010030000,22.51,2013
010030000,22.42,2014
010030000,21.38,2015
010030000,21.37,2016
010030000,21.76,2017
010030000,22.13,2018
010030000,22.72,2019
010030000,23.05,2020
010040000,26.62,2013
010040000,25.96,2014
010040000,24.8,2015
010040000,25.22,2016
010040000,25.5,2017
010040000,25.53,2018
010040000,26.25,2019
010040000,26.95,2020
010510011,26.76,2013
010510011,26.31,2014
010510011,25.6,2015
010510011,25.79,2016
010510011,25.78,2017
010510011,25.75,2018
010510011,25.65,2019
010510011,26.32,2020
010510044,26.14,2013
010510044,26.11,2014
010510044,25.22,2015
010510044,25.44,2016
010510044,25.26,2017
010510044,25.45,2018
010510044,25.39,2019
010510044,25.83,2020
010515163,31.8,2013
010515163,31.18,2014
010515163,30.07,2015
010515163,30.92,2016
010515163,30.55,2017
010515163,30.28,2018
010515163,30.38,2019
010515163,31.57,2020
010515166,29.2,2013
010515166,28.84,2014
010515166,28.17,2015
010515166,28.94,2016
010515166,28.42,2017
010515166,28.66,2018
010515166,28.96,2019
010515166,29.92,2020
010515169,31.77,2013
010515169,31.73,2014
010515169,31.09,2015
010515169,32.31,2016
010515169,31.72,2017
010515169,31.84,2018
010515169,32.48,2019
010515169,33.61,2020
010515172,31.79,2013
010515172,31.1,2014
010515172,30.72,2015
010515172,31.67,2016
010515172,31.43,2017
010515172,31.72,2018
010515172,31.91,2019
010515172,33.21,2020
010515175,31.17,2013
010515175,30.81,2014
010515175,30.05,2015
010515175,30.76,2016
010515175,30.77,2017
010515175,30.74,2018
010515175,31.03,2019
010515175,32.11,2020
010515178,25.13,2013
010515178,24.27,2014
010515178,23.32,2015
010515178,23.85,2016
010515178,23.98,2017
010515178,24.24,2018
010515178,24.63,2019
010515178,25.7,2020
010530032,26.77,2013
010530032,26.23,2014
010530032,25.38,2015
010530032,25.27,2016
010530032,24.12,2017
010530032,23.6,2018
010530032,23.45,2019
010530032,24.11,2020
010530083,27.35,2013
010530083,27.59,2014
010530083,26.89,2015
010530083,26.85,2016
010530083,25.6,2017
010530083,25.29,2018
010530083,25.22,2019
010530083,25.79,2020
010530090,27.15,2013
010530090,25.64,2014
010530090,24.71,2015
010530090,24.55,2016
010530090,23.42,2017
010530090,22.94,2018
010530090,22.94,2019
010530090,23.62,2020
010530100,24.9,2013
010530100,24.9,2014
010530100,24.18,2015
010530100,24.07,2016
010530100,22.79,2017
010530100,22.66,2018
010530100,22.7,2019
010530100,23.24,2020
010530116,29.3,2013
010530116,29.32,2014
010530116,28.75,2015
010530116,28.9,2016
010530116,28.2,2017
010530116,27.84,2018
010530116,27.99,2019
010530116,29.32,2020
010530129,26.76,2013
010530129,27.26,2014
010530129,26.66,2015
010530129,26.84,2016
010530129,25.36,2017
010530129,25.01,2018
010530129,25.17,2019
010530129,26.08,2020
010535308,35.22,2013
010535308,35.21,2014
010535308,34.58,2015
010535308,35.8,2016
010535308,33.92,2017
010535308,33.96,2018
010535308,34.5,2019
010535308,35.98,2020
010535313,33.09,2013
010535313,33.03,2014
010535313,32.85,2015
010535313,34.39,2016
010535313,33.57,2017
010535313,32.78,2018
010535313,33.11,2019
010535313,35.12,2020
010535318,31.14,2013
010535318,30.38,2014
010535318,29.85,2015
010535318,30.37,2016
010535318,29.02,2017
010535318,28.85,2018
010535318,29.22,2019
010535318,30.56,2020
010535323,30.66,2013
010535323,30.82,2014
010535323,30.5,2015
010535323,31.37,2016
010535323,30.19,2017
010535323,30.07,2018
010535323,30.71,2019
010535323,32.12,2020
010535343,33.83,2013
010535343,32.94,2014
010535343,32.21,2015
010535343,33.01,2016
010535343,31.59,2017
010535343,31.66,2018
010535343,31.49,2019
010535343,33.71,2020
010535358,30.32,2013
010535358,30.25,2014
010535358,30.2,2015
010535358,30.99,2016
010535358,29.85,2017
010535358,29.8,2018
010535358,30.74,2019
010535358,32.07,2020
010535373,32.45,2013
010535373,32.57,2014
010535373,32.41,2015
010535373,33.57,2016
010535373,32.45,2017
010535373,33.0,2018
010535373,33.79,2019
010535373,35.76,2020
010535391,35.13,2013
010535391,34.74,2014
010535391,34.44,2015
010535391,35.49,2016
010535391,34.12,2017
010535391,34.15,2018
010535391,34.86,2019
010535391,36.63,2020
010540033,23.92,2013
010540033,24.17,2014
010540033,23.35,2015
010540033,22.68,2016
010540033,21.33,2017
010540033,21.33,2018
010540033,21.17,2019
010540033,21.53,2020
010540056,24.97,2013
010540056,24.27,2014
010540056,23.11,2015
010540056,22.76,2016
010540056,21.73,2017
010540056,21.31,2018
010540056,20.86,2019
010540056,21.11,2020
010540108,32.0,2013
010540108,32.41,2014
010540108,31.51,2015
010540108,32.41,2016
010540108,30.94,2017
010540108,31.43,2018
010540108,33.33,2019
010540108,34.75,2020
010540138,27.93,2013
010540138,26.58,2014
010540138,25.59,2015
010540138,25.84,2016
010540138,24.67,2017
010540138,24.52,2018
010540138,24.73,2019
010540138,25.26,2020
010540168,15.91,2013
010540168,15.69,2014
010540168,15.03,2015
010540168,14.83,2016
010540168,14.35,2017
010540168,14.15,2018
010540168,13.95,2019
010540168,14.1,2020
010545417,25.04,2013
010545417,24.31,2014
010545417,23.69,2015
010545417,23.85,2016
010545417,22.38,2017
010545417,21.84,2018
010545417,21.71,2019
010545417,22.18,2020
010545439,20.0,2013
010545439,18.72,2014
010545439,17.36,2015
010545439,17.17,2016
010545439,16.28,2017
010545439,16.45,2018
010545439,16.57,2019
010545439,17.29,2020
010545453,37.22,2013
010545453,36.74,2014
010545453,36.25,2015
010545453,37.12,2016
010545453,35.76,2017
010545453,35.47,2018
010545453,35.97,2019
010545453,37.72,2020
010545459,23.18,2013
010545459,23.36,2014
010545459,23.07,2015
010545459,22.44,2016
010545459,21.75,2017
010545459,21.33,2018
010545459,21.38,2019
010545459,21.61,2020
010545488,22.55,2013
010545488,22.02,2014
010545488,21.05,2015
010545488,21.28,2016
010545488,20.28,2017
010545488,20.2,2018
010545488,20.21,2019
010545488,20.71,2020
010545489,30.99,2013
010545489,30.48,2014
010545489,29.66,2015
010545489,30.03,2016
010545489,28.48,2017
010545489,27.97,2018
010545489,28.11,2019
010545489,29.18,2020
010545492,33.39,2013
010545492,32.76,2014
010545492,32.6,2015
010545492,33.45,2016
010545492,31.77,2017
010545492,31.31,2018
