Kennziffer,Wert,Zeitbezug
111,1295.47,2000
111,1352.77,2001
111,1350.68,2002
111,1382.65,2003
111,1409.16,2004
111,1432.08,2005
111,1467.1,2006
111,1491.47,2007
111,1529.01,2008
111,1518.83,2009
111,1555.08,2010
111,1636.66,2011
111,1670.26,2012
111,1688.97,2013
111,1722.17,2014
111,1748.83,2015
111,1802.44,2016
111,1858.1,2017
111,1918.82,2018
111,1973.76,2019
01,1303.28,2000
01,1352.75,2001
01,1349.95,2002
01,1395.53,2003
01,1409.93,2004
01,1445.53,2005
01,1463.55,2006
01,1493.77,2007
01,1524.8,2008
01,1537.63,2009
01,1553.55,2010
01,1625.76,2011
01,1675.72,2012
01,1694.95,2013
01,1721.9,2014
01,1763.81,2015
01,1797.03,2016
01,1856.46,2017
01,1924.33,2018
01,1988.6,2019
02,1459.73,2000
02,1542.72,2001
02,1524.89,2002
02,1637.4,2003
02,1614.58,2004
02,1697.6,2005
02,1721.45,2006
02,1710.75,2007
02,1714.26,2008
02,1659.47,2009
02,1699.1,2010
02,1833.35,2011
02,1849.66,2012
02,1890.91,2013
02,1871.44,2014
02,1915.6,2015
02,2004.26,2016
02,2045.76,2017
02,2103.43,2018
02,2147.14,2019
03,1235.96,2000
03,1288.44,2001
03,1281.86,2002
03,1312.06,2003
03,1320.1,2004
03,1349.65,2005
03,1383.28,2006
03,1405.74,2007
03,1440.12,2008
03,1451.94,2009
03,1482.16,2010
03,1566.09,2011
03,1607.24,2012
03,1629.11,2013
03,1664.25,2014
03,1686.18,2015
03,1729.75,2016
03,1783.15,2017
03,1836.9,2018
03,1899.67,2019
04,1327.64,2000
04,1393.19,2001
04,1362.63,2002
04,1383.71,2003
04,1355.15,2004
04,1440.34,2005
04,1462.69,2006
04,1505.42,2007
04,1581.12,2008
04,1522.33,2009
04,1514.33,2010
04,1562.04,2011
04,1609.63,2012
04,1620.85,2013
04,1635.6,2014
04,1638.71,2015
04,1666.24,2016
04,1727.12,2017
04,1785.82,2018
04,1830.35,2019
05,1325.12,2000
05,1372.79,2001
05,1367.48,2002
05,1401.87,2003
05,1430.32,2004
05,1441.6,2005
05,1462.59,2006
05,1475.09,2007
05,1525.43,2008
05,1493.42,2009
05,1537.7,2010
05,1612.48,2011
05,1635.63,2012
05,1649.51,2013
05,1678.36,2014
05,1699.65,2015
05,1746.39,2016
05,1800.99,2017
05,1870.71,2018
05,1923.61,2019
06,1360.26,2000
06,1434.29,2001
06,1430.34,2002
06,1453.91,2003
06,1477.99,2004
06,1495.48,2005
06,1546.02,2006
06,1567.72,2007
06,1591.95,2008
06,1595.87,2009
06,1634.25,2010
06,1707.94,2011
06,1746.46,2012
06,1756.07,2013
06,1798.37,2014
06,1831.13,2015
06,1877.28,2016
06,1927.72,2017
06,1993.38,2018
06,2041.41,2019
07,1303.06,2000
07,1364.08,2001
07,1355.76,2002
07,1388.66,2003
07,1437.46,2004
07,1463.91,2005
07,1508.78,2006
07,1543.58,2007
07,1562.36,2008
07,1601.49,2009
07,1603.11,2010
07,1652.52,2011
07,1686.31,2012
07,1694.14,2013
07,1718.75,2014
07,1762.55,2015
07,1809.1,2016
07,1856.1,2017
07,1909.09,2018
07,1953.52,2019
08,1394.89,2000
08,1465.47,2001
08,1459.41,2002
08,1498.25,2003
08,1524.92,2004
08,1559.16,2005
08,1607.33,2006
08,1637.55,2007
08,1675.27,2008
08,1637.81,2009
08,1686.81,2010
08,1797.83,2011
08,1839.02,2012
08,1858.27,2013
08,1902.4,2014
08,1919.39,2015
08,1973.08,2016
08,2022.14,2017
08,2090.88,2018
08,2141.21,2019
09,1423.31,2000
09,1490.98,2001
09,1478.39,2002
09,1512.47,2003
09,1549.05,2004
09,1577.1,2005
