Kennziffer,Wert,Zeitbezug
111,9.73,2004
111,10.42,2005
111,10.68,2006
111,10.84,2007
111,10.11,2008
111,9.09,2009
111,9.5,2010
111,9.37,2011
111,9.65,2012
111,9.8,2013
111,9.89,2014
111,9.92,2015
111,10.06,2016
111,10.04,2017
111,10.04,2018
111,9.99,2019
01,10.82,2004
01,11.69,2005
01,11.97,2006
01,12.06,2007
01,11.18,2008
01,10.24,2009
01,10.54,2010
01,10.47,2011
01,10.81,2012
01,10.91,2013
01,11.01,2014
01,10.76,2015
01,10.97,2016
01,10.94,2017
01,10.9,2018
01,10.85,2019
02,10.88,2004
02,12.05,2005
02,12.7,2006
02,12.88,2007
02,12.05,2008
02,10.59,2009
02,10.9,2010
02,10.46,2011
02,10.5,2012
02,10.92,2013
02,10.81,2014
02,10.57,2015
02,10.61,2016
02,10.61,2017
02,10.62,2018
02,10.6,2019
03,10.12,2004
03,10.98,2005
03,11.23,2006
03,11.37,2007
03,10.62,2008
03,9.75,2009
03,10.28,2010
03,10.07,2011
03,10.4,2012
03,10.43,2013
03,10.46,2014
03,10.39,2015
03,10.42,2016
03,10.32,2017
03,10.33,2018
03,10.3,2019
04,13.34,2004
04,14.58,2005
04,15.25,2006
04,15.49,2007
04,14.71,2008
04,13.91,2009
04,14.12,2010
04,13.44,2011
04,13.57,2012
04,13.85,2013
04,13.96,2014
04,14.11,2015
04,14.0,2016
04,13.94,2017
04,13.94,2018
04,14.03,2019
05,10.67,2004
05,11.5,2005
05,11.91,2006
05,12.21,2007
05,11.64,2008
05,10.38,2009
05,10.87,2010
05,10.81,2011
05,11.17,2012
05,11.32,2013
05,11.46,2014
05,11.51,2015
05,11.66,2016
05,11.63,2017
05,11.68,2018
05,11.71,2019
06,9.57,2004
06,10.29,2005
06,10.62,2006
06,10.91,2007
06,10.28,2008
06,9.12,2009
06,9.54,2010
06,9.46,2011
06,9.69,2012
06,9.91,2013
06,9.97,2014
06,10.0,2015
06,10.07,2016
06,9.99,2017
06,10.05,2018
06,10.04,2019
07,10.13,2004
07,10.71,2005
07,10.89,2006
07,10.95,2007
07,10.24,2008
07,9.23,2009
07,9.72,2010
07,9.65,2011
07,9.89,2012
07,9.94,2013
07,10.01,2014
07,9.89,2015
07,10.11,2016
07,10.09,2017
07,10.11,2018
07,10.11,2019
08,7.5,2004
08,7.95,2005
08,8.06,2006
08,8.14,2007
08,7.65,2008
08,7.11,2009
08,7.46,2010
08,7.48,2011
08,7.65,2012
08,7.87,2013
08,8.02,2014
08,8.09,2015
08,8.34,2016
08,8.31,2017
08,8.31,2018
08,8.22,2019
09,7.19,2004
09,7.64,2005
09,7.71,2006
09,7.8,2007
09,7.28,2008
09,6.72,2009
09,7.06,2010
09,6.88,2011
09,6.98,2012
09,7.0,2013
09,7.0,2014
09,7.12,2015
09,7.38,2016
09,7.46,2017
09,7.43,2018
09,7.31,2019
10,11.04,2004
10,11.79,2005
10,12.49,2006
10,12.66,2007
10,12.19,2008
10,10.52,2009
10,11.03,2010
10,11.04,2011
10,11.21,2012
10,11.24,2013
10,11.31,2014
10,11.33,2015
10,11.31,2016
10,11.27,2017
10,11.37,2018
10,11.5,2019
11,14.02,2004
11,14.79,2005
11,15.2,2006
11,15.25,2007
11,13.96,2008
11,12.16,2009
11,12.67,2010
11,12.32,2011
11,12.56,2012
11,13.12,2013
11,13.02,2014
11,12.99,2015
11,12.74,2016
11,12.63,2017
11,12.42,2018
11,12.31,2019
12,11.21,2004
12,11.79,2005
12,11.86,2006
12,11.91,2007
12,10.45,2008
12,9.3,2009
12,9.59,2010
12,9.37,2011
12,9.77,2012
12,9.95,2013
12,10.02,2014
12,10.03,2015
12,10.13,2016
12,10.01,2017
12,9.93,2018
12,9.82,2019
13,11.5,2004
13,12.3,2005
13,12.32,2006
13,12.18,2007
13,10.85,2008
13,9.74,2009
13,10.03,2010
13,9.77,2011
13,10.26,2012
13,10.47,2013
13,10.64,2014
13,10.44,2015
13,10.58,2016
13,10.5,2017
13,10.53,2018
13,10.58,2019
14,8.96,2004
14,9.52,2005
14,9.78,2006
14,10.04,2007
14,9.12,2008
14,7.98,2009
14,8.39,2010
14,8.27,2011
14,8.74,2012
14,9.0,2013
14,9.34,2014
14,9.69,2015
14,9.92,2016
14,10.0,2017
14,9.94,2018
14,9.82,2019
15,12.22,2004
15,13.05,2005
15,13.45,2006
15,13.75,2007
15,12.41,2008
15,11.06,2009
15,11.6,2010
15,11.52,2011
15,12.16,2012
15,12.4,2013
15,12.58,2014
15,12.61,2015
15,12.75,2016
15,12.72,2017
15,12.73,2018
15,12.71,2019
16,10.02,2004
16,10.7,2005
16,10.82,2006
16,10.9,2007
16,9.71,2008
16,8.32,2009
16,8.65,2010
16,8.41,2011
16,8.78,2012
16,8.94,2013
16,9.07,2014
16,9.07,2015
16,9.24,2016
16,9.26,2017
16,9.31,2018
16,9.22,2019
01001000,16.94,2004
01001000,18.04,2005
01001000,18.65,2006
01001000,19.02,2007
01001000,17.01,2008
01001000,14.81,2009
01001000,14.92,2010
01001000,14.58,2011
01001000,14.92,2012
01001000,16.41,2013
01001000,16.4,2014
01001000,16.21,2015
01001000,16.17,2016
01001000,16.21,2017
01001000,16.24,2018
01001000,16.33,2019
01002000,12.42,2004
01002000,13.3,2005
01002000,13.84,2006
01002000,13.96,2007
01002000,13.15,2008
01002000,11.81,2009
01002000,12.29,2010
01002000,11.76,2011
01002000,11.92,2012
01002000,12.04,2013
01002000,12.03,2014
01002000,12.17,2015
01002000,12.23,2016
01002000,12.16,2017
01002000,11.96,2018
01002000,11.92,2019
01003000,13.98,2004
01003000,15.15,2005
01003000,15.84,2006
01003000,16.16,2007
01003000,14.87,2008
01003000,13.5,2009
01003000,13.92,2010
01003000,15.19,2011
01003000,15.93,2012
01003000,15.25,2013
01003000,15.59,2014
01003000,15.26,2015
01003000,15.29,2016
01003000,15.04,2017
01003000,14.76,2018
01003000,14.48,2019
01004000,14.33,2004
01004000,15.99,2005
01004000,16.6,2006
01004000,17.41,2007
01004000,16.44,2008
01004000,14.86,2009
01004000,15.81,2010
01004000,15.61,2011
01004000,16.65,2012
01004000,16.61,2013
01004000,16.94,2014
01004000,17.09,2015
01004000,17.54,2016
01004000,17.8,2017
01004000,18.09,2018
01004000,18.65,2019
01051000,12.4,2004
01051000,13.3,2005
01051000,13.69,2006
01051000,13.6,2007
01051000,12.79,2008
01051000,11.96,2009
01051000,12.36,2010
01051000,12.15,2011
01051000,12.5,2012
01051000,12.52,2013
01051000,12.8,2014
01051000,12.43,2015
01051000,12.78,2016
01051000,12.78,2017
01051000,12.84,2018
01051000,12.74,2019
01053000,10.17,2004
01053000,10.97,2005
01053000,11.2,2006
