Kennziffer,Wert,Zeitbezug
111,22.65,1995
111,22.37,1996
111,22.21,1997
111,21.95,1998
111,21.55,1999
111,21.87,2000
111,22.66,2001
111,23.66,2002
111,24.47,2003
111,23.79,2004
111,24.09,2005
111,24.04,2006
111,23.61,2007
111,24.7,2008
111,25.93,2009
111,27.12,2010
111,29.64,2011
111,31.04,2012
111,32.4,2013
111,33.24,2014
111,33.56,2015
111,34.02,2016
111,34.36,2017
111,34.55,2018
111,34.76,2019
111,35.41,2020
01,17.03,1995
01,16.22,1996
01,15.7,1997
01,15.21,1998
01,13.87,1999
01,14.84,2000
01,15.14,2001
01,15.52,2002
01,16.07,2003
01,16.32,2004
01,16.71,2005
01,16.84,2006
01,16.94,2007
01,17.06,2008
01,17.76,2009
01,18.47,2010
01,19.49,2011
01,19.59,2012
01,19.93,2013
01,19.86,2014
01,20.08,2015
01,20.79,2016
01,21.4,2017
01,22.22,2018
01,22.42,2019
01,22.95,2020
02,40.32,1995
02,38.06,1996
02,38.85,1997
02,38.32,1998
02,38.2,1999
02,37.36,2000
02,38.53,2001
02,40.02,2002
02,41.13,2003
02,40.13,2004
02,39.9,2005
02,40.33,2006
02,38.93,2007
02,40.41,2008
02,42.49,2009
02,44.7,2010
02,49.42,2011
02,52.22,2012
02,53.46,2013
02,54.89,2014
02,55.06,2015
02,56.15,2016
02,58.95,2017
02,59.66,2018
02,59.67,2019
02,62.83,2020
03,19.89,1995
03,19.86,1996
03,19.64,1997
03,19.53,1998
03,18.14,1999
03,18.11,2000
03,18.79,2001
03,19.37,2002
03,19.02,2003
03,19.34,2004
03,19.05,2005
03,18.32,2006
03,17.28,2007
03,17.65,2008
03,18.15,2009
03,18.93,2010
03,20.76,2011
03,21.81,2012
03,22.79,2013
03,24.43,2014
03,25.23,2015
03,25.79,2016
03,26.25,2017
03,26.32,2018
03,26.3,2019
03,26.04,2020
04,38.52,1995
04,37.69,1996
04,37.36,1997
04,38.89,1998
04,39.39,1999
04,40.33,2000
04,43.47,2001
04,46.02,2002
04,50.64,2003
04,52.1,2004
04,52.85,2005
04,46.22,2006
04,46.91,2007
04,47.45,2008
04,47.09,2009
04,48.2,2010
04,51.12,2011
04,53.12,2012
04,53.61,2013
04,53.83,2014
04,54.09,2015
04,53.53,2016
04,55.5,2017
04,54.82,2018
04,55.14,2019
04,55.35,2020
05,29.03,1995
05,28.99,1996
05,28.77,1997
05,28.69,1998
05,28.14,1999
05,28.11,2000
05,28.65,2001
05,28.81,2002
05,29.4,2003
05,25.8,2004
05,26.47,2005
05,26.42,2006
05,26.05,2007
05,27.0,2008
05,28.48,2009
05,30.05,2010
05,34.13,2011
05,36.77,2012
05,39.61,2013
05,41.18,2014
05,42.11,2015
05,43.41,2016
05,43.14,2017
05,43.67,2018
05,43.23,2019
05,43.47,2020
06,25.81,1995
06,25.0,1996
06,24.98,1997
06,24.67,1998
06,24.63,1999
06,24.86,2000
06,25.74,2001
06,29.73,2002
06,29.19,2003
06,26.24,2004
06,26.79,2005
06,26.91,2006
06,24.87,2007
06,28.24,2008
06,30.69,2009
06,32.4,2010
06,34.85,2011
06,35.77,2012
06,37.66,2013
06,39.1,2014
06,39.57,2015
06,40.32,2016
06,41.66,2017
06,41.87,2018
06,42.09,2019
06,42.41,2020
07,20.28,1995
07,20.3,1996
07,20.21,1997
07,19.98,1998
07,19.99,1999
