Kennziffer,Wert,Zeitbezug
111,12.49,2012
111,13.19,2013
111,13.79,2014
111,14.38,2015
111,15.02,2016
111,15.64,2017
111,16.24,2018
111,16.87,2019
111,17.48,2020
01,9.0,2012
01,9.61,2013
01,10.09,2014
01,10.59,2015
01,11.1,2016
01,11.58,2017
01,12.1,2018
01,12.62,2019
01,13.19,2020
02,18.57,2012
02,19.94,2013
02,21.25,2014
02,22.38,2015
02,23.65,2016
02,24.72,2017
02,25.83,2018
02,26.85,2019
02,27.97,2020
03,10.19,2012
03,10.7,2013
03,11.19,2014
03,11.61,2015
03,12.03,2016
03,12.5,2017
03,12.97,2018
03,13.46,2019
03,13.91,2020
04,14.87,2012
04,15.87,2013
04,16.57,2014
04,17.17,2015
04,17.76,2016
04,18.47,2017
04,19.09,2018
04,19.7,2019
04,20.33,2020
05,11.71,2012
05,12.4,2013
05,12.93,2014
05,13.4,2015
05,13.95,2016
05,14.53,2017
05,15.09,2018
05,15.68,2019
05,16.27,2020
06,14.31,2012
06,15.09,2013
06,15.72,2014
06,16.35,2015
06,17.11,2016
06,17.76,2017
06,18.36,2018
06,19.08,2019
06,19.82,2020
07,9.42,2012
07,10.0,2013
07,10.47,2014
07,10.94,2015
07,11.42,2016
07,11.96,2017
07,12.46,2018
07,13.03,2019
07,13.55,2020
08,13.23,2012
08,13.97,2013
08,14.61,2014
08,15.3,2015
08,16.08,2016
08,16.76,2017
08,17.45,2018
08,18.17,2019
08,18.85,2020
09,12.52,2012
09,13.29,2013
09,13.98,2014
09,14.71,2015
09,15.46,2016
09,16.17,2017
09,16.87,2018
09,17.6,2019
09,18.23,2020
10,10.15,2012
10,10.66,2013
10,11.01,2014
10,11.47,2015
10,11.97,2016
10,12.35,2017
10,12.67,2018
10,13.18,2019
10,13.66,2020
11,20.02,2012
11,21.49,2013
11,22.86,2014
11,24.24,2015
11,25.52,2016
11,26.88,2017
11,28.2,2018
11,29.5,2019
11,30.85,2020
12,11.14,2012
12,11.65,2013
12,12.02,2014
12,12.4,2015
12,12.71,2016
12,13.08,2017
12,13.47,2018
12,13.9,2019
12,14.38,2020
13,11.16,2012
13,11.58,2013
13,11.86,2014
13,11.95,2015
13,12.13,2016
13,12.32,2017
13,12.52,2018
13,12.74,2019
13,13.04,2020
14,15.26,2012
14,15.76,2013
14,16.22,2014
14,16.66,2015
14,17.11,2016
14,17.52,2017
14,17.96,2018
14,18.14,2019
14,18.5,2020
15,10.84,2012
15,11.28,2013
15,11.49,2014
15,11.71,2015
15,11.89,2016
15,11.99,2017
15,12.16,2018
15,12.24,2019
15,12.39,2020
16,11.42,2012
16,11.84,2013
16,12.14,2014
16,12.43,2015
16,12.75,2016
16,13.0,2017
16,13.07,2018
16,13.33,2019
16,13.58,2020
01001000,9.85,2012
01001000,10.65,2013
01001000,11.43,2014
01001000,12.67,2015
01001000,13.41,2016
01001000,14.05,2017
01001000,14.83,2018
01001000,15.36,2019
01001000,15.92,2020
01002000,15.15,2012
01002000,16.44,2013
01002000,17.27,2014
01002000,18.23,2015
01002000,19.54,2016
01002000,20.46,2017
01002000,21.32,2018
01002000,22.08,2019
01002000,23.09,2020
01003000,10.44,2012
01003000,11.21,2013
01003000,11.86,2014
01003000,12.67,2015
01003000,13.57,2016
01003000,14.22,2017
01003000,14.88,2018
01003000,15.65,2019
01003000,16.36,2020
01004000,5.5,2012
01004000,5.85,2013
01004000,6.18,2014
01004000,6.35,2015
01004000,6.51,2016
01004000,6.95,2017
01004000,7.19,2018
01004000,7.63,2019
01004000,7.75,2020
01051000,5.35,2012
01051000,5.67,2013
01051000,6.04,2014
01051000,6.23,2015
01051000,6.5,2016
01051000,6.77,2017
01051000,7.05,2018
01051000,7.37,2019
01051000,7.68,2020
01053000,8.67,2012
01053000,9.21,2013
01053000,9.56,2014
01053000,9.85,2015
01053000,10.24,2016
01053000,10.64,2017
01053000,11.07,2018
01053000,11.49,2019
01053000,12.01,2020
01054000,5.06,2012
01054000,5.6,2013
01054000,5.96,2014
01054000,6.27,2015
01054000,6.58,2016
01054000,6.86,2017
01054000,7.24,2018
01054000,7.62,2019
01054000,7.95,2020
01055000,6.16,2012
01055000,6.75,2013
01055000,7.03,2014
01055000,7.43,2015
01055000,7.63,2016
01055000,7.99,2017
01055000,8.49,2018
01055000,8.94,2019
01055000,9.55,2020
01056000,10.29,2012
01056000,10.86,2013
01056000,11.39,2014
01056000,11.8,2015
01056000,12.2,2016
01056000,12.7,2017
01056000,13.29,2018
01056000,13.85,2019
01056000,14.44,2020
01057000,8.69,2012
01057000,9.27,2013
01057000,9.78,2014
01057000,10.23,2015
01057000,10.58,2016
01057000,10.99,2017
01057000,11.51,2018
01057000,12.01,2019
01057000,12.77,2020
01058000,9.43,2012
01058000,9.96,2013
01058000,10.47,2014
01058000,10.92,2015
01058000,11.28,2016
01058000,11.71,2017
01058000,12.2,2018
01058000,12.77,2019
01058000,13.33,2020
01059000,6.3,2012
01059000,6.75,2013
01059000,7.05,2014
01059000,7.59,2015
01059000,7.88,2016
01059000,8.31,2017
01059000,8.74,2018
01059000,9.08,2019
01059000,9.62,2020
01060000,8.39,2012
01060000,8.96,2013
01060000,9.35,2014
01060000,9.69,2015
01060000,10.2,2016
01060000,10.6,2017
01060000,11.03,2018
01060000,11.54,2019
01060000,12.05,2020
01061000,6.43,2012
01061000,6.92,2013
01061000,7.26,2014
01061000,7.68,2015
01061000,7.98,2016
01061000,8.26,2017
01061000,8.66,2018
01061000,8.92,2019
01061000,9.21,2020
01062000,11.63,2012
01062000,12.2,2013
01062000,12.75,2014
01062000,13.32,2015
01062000,13.83,2016
01062000,14.4,2017
01062000,14.97,2018
01062000,15.69,2019
01062000,16.35,2020
02000000,18.57,2012
02000000,19.94,2013
02000000,21.25,2014
02000000,22.38,2015
02000000,23.65,2016
02000000,24.72,2017
02000000,25.83,2018
02000000,26.85,2019
02000000,27.97,2020
03101000,22.36,2012
03101000,23.19,2013
03101000,24.6,2014
03101000,25.68,2015
03101000,26.83,2016
03101000,27.64,2017
03101000,28.63,2018
03101000,29.66,2019
03101000,30.58,2020
03102000,5.75,2012
03102000,6.05,2013
03102000,6.37,2014
03102000,6.65,2015
03102000,6.95,2016
03102000,7.31,2017
03102000,7.72,2018
03102000,7.9,2019
03102000,8.1,2020
03103000,13.22,2012
03103000,14.05,2013
03103000,14.87,2014
03103000,15.83,2015
03103000,16.49,2016
03103000,17.12,2017
03103000,17.7,2018
03103000,18.53,2019
03103000,19.28,2020
03151000,11.31,2012
03151000,11.58,2013
03151000,12.1,2014
03151000,12.61,2015
03151000,12.89,2016
03151000,13.37,2017
03151000,13.86,2018
03151000,14.42,2019
03151000,14.95,2020
03153000,8.49,2012
03153000,9.03,2013
03153000,9.45,2014
03153000,9.74,2015
03153000,10.08,2016
03153000,10.76,2017
03153000,11.26,2018
03153000,11.67,2019
03153000,11.91,2020
03154000,8.13,2012
03154000,8.61,2013
03154000,9.2,2014
03154000,9.57,2015
03154000,10.01,2016
03154000,10.42,2017
03154000,10.81,2018
03154000,11.3,2019
03154000,11.72,2020
03155000,6.71,2012
03155000,7.06,2013
03155000,7.38,2014
03155000,7.73,2015
03155000,8.03,2016
03155000,8.36,2017
03155000,8.81,2018
03155000,9.29,2019
03155000,9.68,2020
03157000,8.51,2012
03157000,8.84,2013
03157000,9.32,2014
03157000,9.75,2015
03157000,10.05,2016
03157000,10.43,2017
03157000,10.85,2018
03157000,11.37,2019
03157000,12.05,2020
03158000,11.83,2012
03158000,12.42,2013
03158000,13.06,2014
03158000,13.55,2015
03158000,14.07,2016
03158000,14.55,2017
03158000,15.03,2018
03158000,15.67,2019
03158000,16.24,2020
03159000,15.75,2012
03159000,16.18,2013
03159000,16.85,2014
03159000,17.23,2015
03159000,17.97,2016
03159000,18.68,2017
03159000,19.31,2018
03159000,19.78,2019
03159000,20.11,2020
03241000,14.92,2012
03241000,15.77,2013
03241000,16.51,2014
03241000,17.14,2015
03241000,17.78,2016
03241000,18.46,2017
03241000,19.22,2018
03241000,19.92,2019
03241000,20.62,2020
03251000,7.42,2012
03251000,7.92,2013
03251000,8.16,2014
03251000,8.44,2015
03251000,8.68,2016
03251000,8.91,2017
03251000,9.19,2018
03251000,9.54,2019
03251000,9.88,2020
03252000,7.8,2012
03252000,8.29,2013
03252000,8.68,2014
03252000,8.98,2015
03252000,9.27,2016
03252000,9.62,2017
03252000,9.94,2018
03252000,10.44,2019
03252000,10.73,2020
03254000,10.34,2012
03254000,10.74,2013
03254000,11.24,2014
03254000,11.69,2015
03254000,12.25,2016
03254000,12.77,2017
03254000,13.21,2018
03254000,13.8,2019
03254000,14.34,2020
03255000,6.72,2012
03255000,7.2,2013
03255000,7.51,2014
03255000,7.96,2015
03255000,8.23,2016
03255000,8.61,2017
03255000,8.85,2018
03255000,9.17,2019
03255000,9.46,2020
03256000,5.85,2012
03256000,6.24,2013
03256000,6.35,2014
03256000,6.5,2015
03256000,6.82,2016
03256000,7.08,2017
03256000,7.44,2018
03256000,7.84,2019
03256000,8.13,2020
03257000,8.23,2012
03257000,8.71,2013
03257000,9.04,2014
03257000,9.31,2015
03257000,9.67,2016
03257000,10.0,2017
03257000,10.36,2018
03257000,10.72,2019
03257000,11.03,2020
03351000,7.84,2012
03351000,8.24,2013
03351000,8.6,2014
03351000,8.89,2015
03351000,9.16,2016
03351000,9.58,2017
03351000,9.94,2018
03351000,10.25,2019
03351000,10.52,2020
03352000,6.27,2012
03352000,6.67,2013
03352000,6.91,2014
03352000,7.27,2015
03352000,7.46,2016
03352000,7.69,2017
03352000,8.03,2018
03352000,8.43,2019
03352000,8.73,2020
03353000,10.92,2012
03353000,11.49,2013
03353000,11.94,2014
03353000,12.31,2015
03353000,12.6,2016
03353000,13.15,2017
03353000,13.59,2018
03353000,14.07,2019
03353000,14.62,2020
03354000,6.78,2012
03354000,7.17,2013
03354000,7.62,2014
03354000,7.85,2015
03354000,8.12,2016
03354000,8.71,2017
03354000,9.24,2018
03354000,9.66,2019
03354000,10.01,2020
03355000,13.66,2012
03355000,14.34,2013
03355000,14.92,2014
03355000,15.39,2015
03355000,15.79,2016
03355000,16.44,2017
03355000,17.05,2018
03355000,17.77,2019
03355000,18.46,2020
03356000,9.2,2012
03356000,9.72,2013
03356000,10.01,2014
03356000,10.48,2015
03356000,10.79,2016
03356000,11.45,2017
03356000,11.8,2018
03356000,12.4,2019
03356000,12.98,2020
03357000,6.48,2012
03357000,6.95,2013
03357000,7.17,2014
03357000,7.46,2015
03357000,7.68,2016
03357000,7.97,2017
03357000,8.3,2018
03357000,8.54,2019
03357000,8.85,2020
03358000,5.78,2012
03358000,6.17,2013
03358000,6.55,2014
03358000,6.84,2015
03358000,7.02,2016
03358000,7.26,2017
03358000,7.44,2018
03358000,7.93,2019
03358000,8.28,2020
03359000,9.3,2012
03359000,9.75,2013
03359000,10.05,2014
03359000,10.27,2015
03359000,10.56,2016
03359000,10.85,2017
03359000,11.14,2018
03359000,11.45,2019
03359000,11.79,2020
03360000,7.21,2012
03360000,7.47,2013
03360000,7.9,2014
03360000,8.28,2015
03360000,8.61,2016
03360000,9.06,2017
03360000,9.38,2018
03360000,9.8,2019
03360000,10.18,2020
03361000,9.24,2012
03361000,9.68,2013
03361000,10.08,2014
03361000,10.35,2015
03361000,10.62,2016
03361000,10.89,2017
03361000,11.39,2018
03361000,11.92,2019
03361000,12.32,2020
03401000,5.84,2012
03401000,6.17,2013
03401000,6.3,2014
03401000,6.43,2015
03401000,6.71,2016
03401000,6.77,2017
03401000,6.95,2018
03401000,7.24,2019
03401000,7.34,2020
03402000,8.86,2012
03402000,9.21,2013
03402000,9.62,2014
03402000,9.99,2015
03402000,10.41,2016
03402000,10.56,2017
03402000,10.83,2018
03402000,11.22,2019
03402000,11.41,2020
03403000,17.87,2012
03403000,18.69,2013
03403000,19.76,2014
03403000,20.55,2015
03403000,21.11,2016
03403000,22.1,2017
03403000,22.89,2018
03403000,23.6,2019
03403000,24.31,2020
03404000,16.9,2012
03404000,17.79,2013
03404000,18.65,2014
03404000,19.45,2015
03404000,20.62,2016
03404000,21.31,2017
03404000,22.06,2018
03404000,22.61,2019
03404000,23.33,2020
03405000,7.34,2012
03405000,7.71,2013
03405000,8.14,2014
03405000,8.49,2015
03405000,8.95,2016
03405000,9.08,2017
03405000,9.52,2018
03405000,9.79,2019
03405000,10.05,2020
03451000,7.78,2012
03451000,8.27,2013
03451000,8.74,2014
03451000,9.01,2015
03451000,9.29,2016
03451000,9.89,2017
03451000,10.33,2018
03451000,10.86,2019
03451000,11.27,2020
03452000,5.91,2012
03452000,6.18,2013
03452000,6.5,2014
03452000,6.74,2015
03452000,7.04,2016
03452000,7.42,2017
03452000,7.62,2018
03452000,7.97,2019
03452000,8.25,2020
03453000,4.69,2012
03453000,5.04,2013
03453000,5.33,2014
03453000,5.5,2015
03453000,5.75,2016
03453000,5.96,2017
03453000,6.27,2018
03453000,6.56,2019
03453000,6.84,2020
03454000,7.21,2012
03454000,7.52,2013
03454000,7.85,2014
03454000,8.11,2015
03454000,8.38,2016
03454000,8.73,2017
03454000,9.0,2018
03454000,9.29,2019
03454000,9.64,2020
03455000,7.08,2012
03455000,7.59,2013
03455000,7.8,2014
03455000,8.18,2015
03455000,8.45,2016
03455000,8.76,2017
03455000,9.12,2018
03455000,9.44,2019
03455000,9.9,2020
03456000,5.96,2012
03456000,6.22,2013
03456000,6.54,2014
03456000,6.74,2015
03456000,7.15,2016
03456000,7.5,2017
03456000,7.8,2018
03456000,8.11,2019
03456000,8.49,2020
03457000,6.15,2012
03457000,6.49,2013
03457000,6.88,2014
03457000,7.18,2015
03457000,7.47,2016
03457000,7.68,2017
03457000,7.89,2018
03457000,8.2,2019
03457000,8.56,2020
03458000,8.22,2012
03458000,8.42,2013
03458000,8.74,2014
03458000,9.03,2015
03458000,9.26,2016
03458000,9.58,2017
03458000,10.06,2018
03458000,10.47,2019
03458000,10.91,2020
03459000,7.29,2012
03459000,7.77,2013
03459000,8.02,2014
03459000,8.35,2015
03459000,8.64,2016
03459000,9.02,2017
03459000,9.38,2018
03459000,9.77,2019
03459000,10.2,2020
03460000,6.81,2012
03460000,7.16,2013
03460000,7.56,2014
03460000,7.84,2015
03460000,8.11,2016
03460000,8.53,2017
03460000,8.94,2018
03460000,9.4,2019
03460000,9.68,2020
03461000,5.79,2012
03461000,6.07,2013
03461000,6.2,2014
03461000,6.43,2015
03461000,6.64,2016
03461000,6.87,2017
03461000,7.07,2018
03461000,7.34,2019
03461000,7.67,2020
03462000,4.49,2012
03462000,4.89,2013
03462000,5.01,2014
03462000,5.14,2015
03462000,5.34,2016
03462000,5.59,2017
03462000,5.96,2018
03462000,6.25,2019
03462000,6.47,2020
04011000,16.46,2012
04011000,17.57,2013
04011000,18.34,2014
04011000,19.02,2015
04011000,19.63,2016
04011000,20.42,2017
04011000,21.12,2018
04011000,21.76,2019
04011000,22.39,2020
04012000,6.77,2012
04012000,7.24,2013
04012000,7.52,2014
04012000,7.7,2015
04012000,8.13,2016
04012000,8.51,2017
04012000,8.81,2018
04012000,9.19,2019
04012000,9.57,2020
05111000,22.13,2012
05111000,23.82,2013
05111000,25.29,2014
05111000,26.57,2015
05111000,27.87,2016
05111000,29.1,2017
05111000,30.28,2018
05111000,31.54,2019
05111000,32.91,2020
05112000,7.98,2012
05112000,8.5,2013
05112000,8.9,2014
05112000,9.2,2015
05112000,9.6,2016
05112000,10.06,2017
05112000,10.53,2018
05112000,10.97,2019
05112000,11.37,2020
05113000,14.32,2012
05113000,15.28,2013
05113000,16.11,2014
05113000,16.65,2015
05113000,17.44,2016
05113000,18.18,2017
05113000,19.01,2018
05113000,19.73,2019
05113000,20.44,2020
05114000,11.5,2012
05114000,12.08,2013
05114000,12.45,2014
05114000,12.84,2015
05114000,13.21,2016
05114000,13.74,2017
05114000,14.32,2018
05114000,14.81,2019
05114000,15.19,2020
05116000,9.39,2012
05116000,10.0,2013
05116000,10.37,2014
05116000,10.75,2015
05116000,11.32,2016
05116000,11.62,2017
05116000,12.12,2018
05116000,12.64,2019
05116000,13.01,2020
05117000,13.7,2012
05117000,14.39,2013
05117000,15.04,2014
05117000,15.78,2015
05117000,16.2,2016
05117000,16.85,2017
05117000,17.74,2018
05117000,18.43,2019
05117000,19.18,2020
05119000,7.64,2012
05119000,8.1,2013
05119000,8.41,2014
05119000,8.59,2015
05119000,8.87,2016
05119000,9.26,2017
05119000,9.57,2018
05119000,9.94,2019
05119000,10.23,2020
05120000,7.66,2012
05120000,8.13,2013
05120000,8.27,2014
05120000,8.6,2015
05120000,8.76,2016
05120000,8.98,2017
05120000,9.27,2018
05120000,9.49,2019
05120000,9.9,2020
05122000,8.99,2012
05122000,9.51,2013
05122000,9.82,2014
05122000,10.13,2015
05122000,10.38,2016
05122000,10.83,2017
05122000,11.31,2018
05122000,11.78,2019
05122000,12.4,2020
05124000,10.77,2012
05124000,11.51,2013
05124000,11.97,2014
05124000,12.4,2015
05124000,12.95,2016
05124000,13.47,2017
05124000,14.05,2018
05124000,14.71,2019
05124000,15.34,2020
05154000,7.03,2012
05154000,7.45,2013
05154000,7.81,2014
05154000,8.04,2015
05154000,8.39,2016
05154000,8.8,2017
05154000,9.18,2018
05154000,9.64,2019
05154000,10.03,2020
05158000,12.06,2012
05158000,12.75,2013
05158000,13.21,2014
05158000,13.64,2015
05158000,14.12,2016
05158000,14.75,2017
05158000,15.4,2018
05158000,16.03,2019
05158000,16.77,2020
05162000,12.23,2012
05162000,12.9,2013
05162000,13.39,2014
05162000,13.88,2015
05162000,14.59,2016
05162000,15.19,2017
05162000,15.91,2018
05162000,16.59,2019
05162000,17.39,2020
05166000,9.78,2012
05166000,10.3,2013
05166000,10.68,2014
05166000,10.99,2015
05166000,11.38,2016
05166000,11.87,2017
05166000,12.31,2018
05166000,12.77,2019
05166000,13.27,2020
05170000,8.92,2012
05170000,9.36,2013
05170000,9.68,2014
05170000,9.98,2015
05170000,10.22,2016
05170000,10.58,2017
05170000,10.97,2018
05170000,11.47,2019
05170000,11.81,2020
05314000,27.61,2012
05314000,29.17,2013
05314000,30.2,2014
05314000,31.14,2015
05314000,32.16,2016
05314000,33.39,2017
05314000,34.38,2018
05314000,35.3,2019
05314000,36.24,2020
05315000,20.81,2012
05315000,22.36,2013
05315000,23.59,2014
05315000,24.7,2015
05315000,25.7,2016
05315000,26.92,2017
05315000,28.07,2018
05315000,29.25,2019
05315000,30.44,2020
05316000,10.77,2012
05316000,11.38,2013
05316000,11.68,2014
05316000,12.04,2015
05316000,12.51,2016
05316000,13.2,2017
05316000,13.75,2018
05316000,14.3,2019
05316000,14.82,2020
05334000,16.93,2012
05334000,17.96,2013
05334000,18.72,2014
05334000,19.43,2015
05334000,20.25,2016
05334000,20.94,2017
05334000,21.76,2018
05334000,22.35,2019
05334000,23.02,2020
05358000,9.12,2012
05358000,9.56,2013
05358000,9.83,2014
05358000,10.13,2015
05358000,10.63,2016
05358000,10.89,2017
05358000,11.32,2018
05358000,11.71,2019
05358000,12.17,2020
05362000,11.22,2012
05362000,11.85,2013
05362000,12.31,2014
05362000,12.81,2015
05362000,13.47,2016
05362000,14.0,2017
05362000,14.52,2018
05362000,15.08,2019
05362000,15.79,2020
05366000,7.43,2012
05366000,7.88,2013
05366000,8.27,2014
05366000,8.6,2015
05366000,8.88,2016
05366000,9.26,2017
05366000,9.58,2018
05366000,10.01,2019
05366000,10.36,2020
05370000,7.54,2012
05370000,7.95,2013
05370000,8.36,2014
05370000,8.61,2015
05370000,8.86,2016
05370000,9.18,2017
05370000,9.5,2018
05370000,9.97,2019
05370000,10.33,2020
05374000,8.08,2012
05374000,8.54,2013
05374000,8.74,2014
05374000,8.98,2015
05374000,9.22,2016
05374000,9.58,2017
05374000,10.07,2018
05374000,10.49,2019
05374000,10.89,2020
05378000,15.07,2012
05378000,15.6,2013
05378000,16.08,2014
05378000,16.55,2015
05378000,16.9,2016
05378000,17.47,2017
05378000,18.04,2018
05378000,18.73,2019
05378000,19.63,2020
05382000,12.72,2012
05382000,13.37,2013
05382000,13.85,2014
05382000,14.18,2015
05382000,14.62,2016
05382000,15.04,2017
05382000,15.58,2018
05382000,16.24,2019
05382000,16.91,2020
05512000,8.65,2012
05512000,9.04,2013
05512000,9.31,2014
05512000,9.64,2015
05512000,10.01,2016
05512000,10.35,2017
05512000,10.87,2018
05512000,11.3,2019
05512000,11.55,2020
05513000,6.44,2012
05513000,6.89,2013
05513000,7.18,2014
05513000,7.35,2015
05513000,7.62,2016
05513000,7.86,2017
05513000,8.02,2018
05513000,8.27,2019
05513000,8.46,2020
05515000,24.26,2012
05515000,25.79,2013
05515000,27.1,2014
05515000,28.12,2015
05515000,29.12,2016
05515000,30.08,2017
05515000,30.78,2018
05515000,31.48,2019
05515000,32.33,2020
05554000,6.61,2012
05554000,6.91,2013
05554000,7.21,2014
05554000,7.47,2015
05554000,7.71,2016
05554000,8.1,2017
05554000,8.45,2018
05554000,8.76,2019
05554000,9.13,2020
05558000,9.62,2012
05558000,9.98,2013
05558000,10.33,2014
05558000,10.54,2015
05558000,10.86,2016
05558000,11.28,2017
05558000,11.62,2018
05558000,12.01,2019
05558000,12.53,2020
05562000,9.13,2012
05562000,9.59,2013
05562000,9.84,2014
05562000,9.99,2015
05562000,10.28,2016
05562000,10.61,2017
05562000,10.83,2018
05562000,11.16,2019
05562000,11.44,2020
05566000,8.09,2012
05566000,8.56,2013
05566000,8.85,2014
05566000,9.14,2015
05566000,9.53,2016
05566000,9.89,2017
05566000,10.28,2018
05566000,10.69,2019
05566000,11.11,2020
05570000,7.94,2012
05570000,8.41,2013
05570000,8.77,2014
05570000,9.04,2015
05570000,9.27,2016
05570000,9.65,2017
05570000,10.05,2018
05570000,10.46,2019
05570000,10.81,2020
05711000,14.48,2012
05711000,15.15,2013
05711000,15.92,2014
05711000,16.53,2015
05711000,17.39,2016
05711000,18.14,2017
05711000,18.76,2018
05711000,19.55,2019
05711000,20.3,2020
05754000,7.87,2012
05754000,8.27,2013
05754000,8.63,2014
05754000,8.74,2015
05754000,8.97,2016
05754000,9.3,2017
05754000,9.64,2018
05754000,10.05,2019
05754000,10.48,2020
05758000,7.68,2012
05758000,8.13,2013
05758000,8.51,2014
05758000,8.82,2015
05758000,9.27,2016
05758000,9.56,2017
05758000,9.92,2018
05758000,10.17,2019
05758000,10.75,2020
05762000,7.58,2012
05762000,7.78,2013
05762000,8.1,2014
05762000,8.44,2015
05762000,8.83,2016
05762000,9.16,2017
05762000,9.46,2018
05762000,9.81,2019
05762000,10.13,2020
05766000,8.78,2012
05766000,9.28,2013
05766000,9.61,2014
05766000,9.96,2015
05766000,10.38,2016
05766000,10.8,2017
05766000,11.2,2018
05766000,11.6,2019
05766000,11.93,2020
05770000,7.68,2012
05770000,8.09,2013
05770000,8.45,2014
05770000,8.76,2015
05770000,9.2,2016
05770000,9.56,2017
05770000,9.95,2018
05770000,10.28,2019
05770000,10.75,2020
05774000,11.64,2012
05774000,12.23,2013
05774000,12.68,2014
05774000,13.2,2015
05774000,13.78,2016
05774000,14.47,2017
05774000,14.94,2018
05774000,15.66,2019
05774000,16.26,2020
05911000,14.92,2012
05911000,16.04,2013
05911000,16.77,2014
05911000,17.52,2015
05911000,18.41,2016
05911000,19.28,2017
05911000,20.14,2018
05911000,20.75,2019
05911000,21.43,2020
05913000,13.42,2012
05913000,14.2,2013
05913000,14.94,2014
05913000,15.63,2015
05913000,16.44,2016
05913000,17.08,2017
05913000,17.64,2018
05913000,18.17,2019
05913000,18.68,2020
05914000,8.07,2012
05914000,8.56,2013
05914000,8.82,2014
05914000,9.19,2015
05914000,9.53,2016
05914000,9.83,2017
05914000,10.06,2018
05914000,10.45,2019
