Kennziffer,Wert,Zeitbezug
111,12.09,2012
111,11.04,2013
111,11.07,2014
111,11.66,2015
111,11.76,2016
111,11.9,2017
111,12.1,2018
111,12.26,2019
111,12.28,2020
01,11.58,2012
01,10.6,2013
01,10.58,2014
01,11.43,2015
01,11.57,2016
01,11.8,2017
01,11.99,2018
01,12.12,2019
01,12.21,2020
02,11.78,2012
02,11.49,2013
02,11.77,2014
02,12.05,2015
02,12.26,2016
02,12.58,2017
02,12.79,2018
02,13.07,2019
02,13.12,2020
03,12.09,2012
03,10.91,2013
03,10.91,2014
03,11.58,2015
03,11.69,2016
03,11.79,2017
03,11.99,2018
03,12.15,2019
03,12.24,2020
04,12.65,2012
04,12.19,2013
04,12.5,2014
04,13.49,2015
04,13.93,2016
04,14.55,2017
04,14.95,2018
04,15.23,2019
04,15.49,2020
05,14.0,2012
05,12.95,2013
05,13.11,2014
05,13.76,2015
05,13.95,2016
05,14.09,2017
05,14.32,2018
05,14.5,2019
05,14.55,2020
06,12.78,2012
06,11.93,2013
06,12.14,2014
06,12.72,2015
06,12.88,2016
06,13.04,2017
06,13.28,2018
06,13.5,2019
06,13.56,2020
07,13.68,2012
07,12.48,2013
07,12.51,2014
07,13.11,2015
07,13.11,2016
07,13.15,2017
07,13.28,2018
07,13.48,2019
07,13.52,2020
08,14.9,2012
08,13.59,2013
08,13.58,2014
08,14.0,2015
08,13.93,2016
08,13.98,2017
08,14.06,2018
08,14.02,2019
08,13.84,2020
09,12.84,2012
09,11.57,2013
09,11.43,2014
09,11.75,2015
09,11.72,2016
09,11.72,2017
09,11.79,2018
09,11.8,2019
09,11.65,2020
10,14.57,2012
10,13.24,2013
10,13.16,2014
10,13.36,2015
10,13.23,2016
10,13.31,2017
10,13.56,2018
10,13.65,2019
10,13.52,2020
11,10.69,2012
11,10.23,2013
11,10.27,2014
11,10.68,2015
11,10.77,2016
11,11.08,2017
11,11.26,2018
11,11.49,2019
11,11.54,2020
12,6.36,2012
12,5.56,2013
12,5.53,2014
12,6.25,2015
12,6.5,2016
12,6.72,2017
12,7.02,2018
12,7.34,2019
12,7.63,2020
13,5.89,2012
13,5.1,2013
13,5.12,2014
13,6.14,2015
13,6.31,2016
13,6.55,2017
13,6.89,2018
13,7.31,2019
13,7.59,2020
14,5.73,2012
14,4.78,2013
14,4.71,2014
14,5.49,2015
14,5.72,2016
14,5.99,2017
14,6.32,2018
14,6.65,2019
14,6.9,2020
15,6.13,2012
15,5.2,2013
15,5.07,2014
15,5.92,2015
15,6.12,2016
15,6.37,2017
15,6.63,2018
15,6.95,2019
15,7.25,2020
16,5.85,2012
16,4.91,2013
16,4.85,2014
16,5.72,2015
16,5.92,2016
16,6.13,2017
16,6.53,2018
16,6.79,2019
16,7.01,2020
01001000,14.56,2012
01001000,13.13,2013
01001000,13.43,2014
01001000,15.02,2015
01001000,15.24,2016
01001000,15.7,2017
01001000,15.98,2018
01001000,16.59,2019
01001000,16.89,2020
01002000,13.24,2012
01002000,12.52,2013
01002000,12.63,2014
01002000,13.17,2015
01002000,13.5,2016
01002000,13.88,2017
01002000,14.19,2018
01002000,14.4,2019
01002000,14.54,2020
01003000,12.79,2012
01003000,11.57,2013
01003000,11.73,2014
01003000,12.03,2015
01003000,12.37,2016
01003000,12.85,2017
01003000,13.06,2018
01003000,13.17,2019
01003000,13.25,2020
01004000,14.11,2012
01004000,12.98,2013
01004000,12.68,2014
01004000,14.2,2015
01004000,14.52,2016
01004000,14.99,2017
01004000,15.52,2018
01004000,15.94,2019
01004000,16.33,2020
01051000,12.73,2012
01051000,11.53,2013
01051000,11.21,2014
01051000,12.7,2015
01051000,12.52,2016
01051000,12.66,2017
01051000,12.67,2018
01051000,12.83,2019
01051000,12.78,2020
01053000,10.89,2012
01053000,9.98,2013
01053000,10.02,2014
01053000,10.75,2015
01053000,10.68,2016
01053000,10.78,2017
01053000,10.92,2018
01053000,11.25,2019
01053000,11.5,2020
01054000,10.84,2012
01054000,10.08,2013
01054000,10.11,2014
01054000,11.61,2015
01054000,11.64,2016
01054000,11.72,2017
01054000,11.83,2018
01054000,11.73,2019
01054000,11.9,2020
01055000,10.99,2012
01055000,10.22,2013
01055000,10.09,2014
01055000,10.37,2015
01055000,10.61,2016
01055000,10.59,2017
01055000,10.77,2018
01055000,10.83,2019
01055000,10.56,2020
01056000,11.23,2012
01056000,10.56,2013
01056000,10.54,2014
01056000,10.91,2015
01056000,11.04,2016
01056000,11.39,2017
01056000,11.86,2018
01056000,11.95,2019
01056000,12.13,2020
01057000,10.31,2012
01057000,9.33,2013
01057000,9.27,2014
01057000,10.18,2015
01057000,10.42,2016
01057000,10.7,2017
01057000,10.67,2018
01057000,10.67,2019
01057000,10.73,2020
01058000,10.8,2012
01058000,9.79,2013
01058000,9.56,2014
01058000,10.96,2015
01058000,10.98,2016
01058000,11.05,2017
01058000,11.06,2018
01058000,11.25,2019
01058000,11.5,2020
01059000,11.99,2012
01059000,10.55,2013
01059000,10.72,2014
01059000,12.14,2015
01059000,12.22,2016
01059000,12.32,2017
01059000,12.23,2018
01059000,12.0,2019
01059000,11.9,2020
01060000,11.34,2012
01060000,10.36,2013
01060000,10.36,2014
01060000,11.2,2015
01060000,11.23,2016
01060000,11.35,2017
01060000,11.44,2018
01060000,11.66,2019
01060000,11.66,2020
01061000,12.2,2012
