Kennziffer,Wert,Zeitbezug
111,10.81,1995
111,10.76,1996
111,10.49,1997
111,10.39,1998
111,10.3,1999
111,10.2,2000
111,10.05,2001
111,10.2,2002
111,10.35,2003
111,9.92,2004
111,10.07,2005
111,9.98,2006
111,10.06,2007
111,10.3,2008
111,10.45,2009
111,10.5,2010
111,10.61,2011
111,10.8,2012
111,11.07,2013
111,10.69,2014
111,11.26,2015
111,11.04,2016
111,11.26,2017
111,11.5,2018
111,11.3,2019
111,11.85,2020
01,11.48,1995
01,11.42,1996
01,10.98,1997
01,10.86,1998
01,10.84,1999
01,10.69,2000
01,10.58,2001
01,10.62,2002
01,10.82,2003
01,10.54,2004
01,10.47,2005
01,10.52,2006
01,10.55,2007
01,10.84,2008
01,10.95,2009
01,11.01,2010
01,11.06,2011
01,11.2,2012
01,11.62,2013
01,11.19,2014
01,11.78,2015
01,11.76,2016
01,11.92,2017
01,12.4,2018
01,12.04,2019
01,12.09,2020
02,11.87,1995
02,11.82,1996
02,11.34,1997
02,11.31,1998
02,10.89,1999
02,10.62,2000
02,10.35,2001
02,10.66,2002
02,10.42,2003
02,10.12,2004
02,9.96,2005
02,9.75,2006
02,9.62,2007
02,9.64,2008
02,9.69,2009
02,9.55,2010
02,9.93,2011
02,9.81,2012
02,9.88,2013
02,9.52,2014
02,9.83,2015
02,9.54,2016
02,9.64,2017
02,9.87,2018
02,9.46,2019
02,9.88,2020
03,11.16,1995
03,10.95,1996
03,10.7,1997
03,10.64,1998
03,10.46,1999
03,10.46,2000
03,10.37,2001
03,10.46,2002
03,10.68,2003
03,10.18,2004
03,10.38,2005
03,10.29,2006
03,10.32,2007
03,10.68,2008
03,10.81,2009
03,10.83,2010
03,11.0,2011
03,11.19,2012
03,11.63,2013
03,11.19,2014
03,11.66,2015
03,11.62,2016
03,11.77,2017
03,12.05,2018
03,11.79,2019
03,12.12,2020
04,12.32,1995
04,11.92,1996
04,11.92,1997
04,11.73,1998
04,11.57,1999
04,11.57,2000
04,11.33,2001
04,11.58,2002
04,11.55,2003
04,11.13,2004
04,11.18,2005
04,10.86,2006
04,11.01,2007
04,11.11,2008
04,11.57,2009
04,11.37,2010
04,11.36,2011
04,11.43,2012
04,12.0,2013
04,11.24,2014
04,11.63,2015
04,11.39,2016
04,11.61,2017
04,11.81,2018
04,11.31,2019
04,11.98,2020
05,10.79,1995
05,10.84,1996
05,10.57,1997
05,10.52,1998
05,10.49,1999
05,10.42,2000
05,10.24,2001
05,10.42,2002
05,10.55,2003
05,10.2,2004
05,10.32,2005
05,10.19,2006
05,10.28,2007
05,10.57,2008
05,10.68,2009
05,10.77,2010
05,10.77,2011
05,11.03,2012
05,11.39,2013
05,10.94,2014
05,11.44,2015
05,11.31,2016
05,11.44,2017
05,11.77,2018
05,11.5,2019
05,11.96,2020
06,10.54,1995
06,10.52,1996
06,10.17,1997
06,10.1,1998
06,10.09,1999
06,9.94,2000
06,9.77,2001
06,9.91,2002
06,10.1,2003
06,9.59,2004
06,9.61,2005
06,9.52,2006
06,9.74,2007
06,9.91,2008
06,10.01,2009
06,9.92,2010
06,10.08,2011
06,10.28,2012
06,10.57,2013
06,10.04,2014
06,10.77,2015
06,10.31,2016
06,10.63,2017
06,10.72,2018
06,10.6,2019
06,11.13,2020
07,10.81,1995
07,10.94,1996
07,10.75,1997
07,10.61,1998
07,10.55,1999
07,10.43,2000
07,10.43,2001
07,10.52,2002
07,10.82,2003
07,10.23,2004
07,10.54,2005
07,10.36,2006
07,10.42,2007
07,10.66,2008
07,10.94,2009
07,10.86,2010
07,10.94,2011
07,11.13,2012
07,11.4,2013
07,11.04,2014
07,11.54,2015
07,11.28,2016
07,11.63,2017
07,11.82,2018
07,11.63,2019
07,12.0,2020
08,9.47,1995
08,9.53,1996
08,9.35,1997
08,9.29,1998
08,9.25,1999
08,9.06,2000
08,8.88,2001
08,8.92,2002
08,9.09,2003
08,8.55,2004
08,8.76,2005
08,8.63,2006
08,8.75,2007
08,8.97,2008
08,9.08,2009
