select,category,category_de,category_nl,name,name_de,algorithmus,description,statistical_basis,name_nl,source_de,source_id_de,source_nl,source_id_nl,gemeinden,kreise,zeitbezug_gemeinden,zeitbezug_kreise
,,Absolutzahlen,,,Arbeitslose,,"Es handelt sich um die Zahl der Arbeitslosen im Jahresdurchschnitt. Arbeitslose (bzw. arbeitslose Arbeitssuchende) sind laut Definition der BA Personen, die vorübergehend nicht in einem Beschäftigungsverhältnis stehen, eine versicherungspflichtige, mindestens 15 Wochenstunden umfassende Beschäftigung suchen, arbeiten dürfen, arbeitsfähig und arbeitsbereit sind, in der Bundesrepublik wohnen, nicht jünger als 15 Jahre sind und die Altersgrenze für den Renteneintritt noch nicht erreicht haben und sich persönlich bei einer Agentur für Arbeit oder einem Jobcenter arbeitslos gemeldet haben.",Arbeitsmarktstatistik der Bundesagentur für Arbeit (BA),,Inkar,2176,,,,X,,1995 - 2020
,,Absolutzahlen,,,Bruttoinlandsprodukt in 1000 Euro,,"Das Bruttoinlandsprodukt (BIP) misst die Produktion von Waren und Dienstleistungen im Inland, soweit diese nicht als Vorleistungen für die Produktion anderer Waren und Dienstleistungen verwendet werden. Von seiner Entstehung her gesehen ergibt sich das BIP als Summe der Wertschöpfung aller Wirtschaftsbereiche zuzüglich des Saldos von Gütersteuern minus Gütersubventionen. Die regionalen Ergebnisse der Volkswirtschaftlichen Gesamtrechnungen werden in Deutschland vom Arbeitskreis „Volkswirtschaftliche Gesamtrechnungen der Länder“ erstellt. Grundlage der Berechnungen ist das Europäische System Volkswirtschaftlicher Gesamt-rechnungen (ESVG)  2010 und die darauf begründete Generalrevision 2014. Regionale Ergebnisse werden durch die Aufteilung des nationalen Ergebnisses auf die Regionen, angefangen bei den Bundesländern bis zu den Stadt- und Landkreisen, gewonnen. Bei der Bottom-up-Methode wird von den regional vorliegenden Angaben einzelner Beobachtungseinheiten ausgegangen und diese dann regional-hierarchisch addiert. Dieses Vorgehen stellt hohe Ansprüche bezüglich der regionalen  Verfügbarkeit des Datenmaterials. Durchführen lässt sich diese Methode insbesondere im Produzierenden Gewerbe. Diese Ergebnisse werden noch durch die Koordinierung an den Bundeseckwerten gemäß Festlegungen im ESVG-Kapitel zu den Regionalen VGR-Aggregaten angepasst. Es wird angenommen, dass die nationalen VGR-Größen wegen der besseren Datenlage a priori genauere Werte liefern als die Länderrechnung, zumal auch nur auf Bundesebene eine kreislaufmäßige Abstimmung der VGR-Aggregate über die sogenannte Drei-Seiten-Rechnung möglich ist. Bei der Top-down-Methode wird das auf Bundesebene ermittelte gesamtwirtschaftliche Aggregat auf die einzelnen Regionen verteilt, mittels geeigneter Schlüsselgrößen, die in möglichst engem Zusammenhang zu den zu berechnenden Aggregaten stehen und diese möglichst genau widerspiegeln sollen. Diese indirekte  Methode muss in den Wirtschaftsbereichen angewandt werden, wo die Datenlage nur auf Bundesebene eine differenzierte Berechnung der Aggregate zulässt. Hiervon ist vor allem der Dienstleistungsbereich im weiteren Sinne betroffen.","Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der Länder""",,Inkar,4273,,,,X,,2000 - 2020
,,Absolutzahlen,,,Sozialversicherungspflichtig Beschäftigte am Wohnort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Wohnort. Der Wohnort bezeichnet  die  Regionaleinheit, in der die Beschäftigten wohnen, unabhängig davon wo sie arbeiten. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),,Inkar,8766,,,,X,,1997 - 2020
,,Absolutzahlen,,,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Arbeitsort. Der Arbeitsort ist die Regionaleinheit, in der die Beschäftigten arbeiten, unabhängig davon wo sie wohnen. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),,Inkar,8774,,,,X,,1997 - 2020
,,Absolutzahlen,,,Bevölkerung (mit Korrektur VZ 1987/Zensus 2011),,"Zwischen der Zahl der Bevölkerung am 31.12.2011 gemäß der Bevölkerungsfortschreibung auf Basis der letzten Volkszählung 1987 (BRD) und 1981 (DDR) und der Bevölkerungsfortschreibung auf Basis des Zensus 2011 ergab sich eine Diskrepanz, die lokal und regional sehr unterschiedlich hoch ausgefallen ist. Die Berechnung von Zeitreihen und Entwicklungen mit Einschluss des Beobachtungsjahres 2011 beinhaltet entweder den „Zensusknick“ oder muss sich auf zensuskorrigierte Zahlen stützen. Hierzu hat das BBSR die Diskrepanz der Bevölkerungszahlen am 31.12.2011 rückwirkend und linear bis 1990 auf die Zahlen der Fortschreibung übertragen. 1989 bildet den Stützpunkt  aus der Fortschreibung, da für dieses Beobachtungsjahr gesamtdeutsche Tabellen sowohl auf Gemeinde- als auch auf Kreisebene vorliegen. Ausgangspunkt ist die Überlegung, dass sich Fehler in der Fortschreibung mit zeitlichem Abstand zur letzten Volkszählung vergrößern. Die lineare Funktion ist hierbei die über alle Gemeinden und Kreise betrachtet wahrscheinlichste Funktion!. eine individuell angepasste Korrektur für jede Gemeinde, jeden Kreis ist bei der Zahl der zu recherchierenden Informationen nicht leistbar.","Bundesinstitut für Bau-, Stadt- und Raumforschung, Laufende Raumbeobachtung des BBSR",,Inkar,10806,,,,X,,1995 - 2020
,,Absolutzahlen,,,Bevölkerung gesamt,,"Es handelt sich um die Zahl der Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Als Bevölkerung (Einwohnerinnen und Einwohner) wird die Anzahl der Personen bezeichnet, die in einer Regionaleinheit (Gemeinde, Kreis usw.) ihren ständigen Wohnsitz (Hauptwohnsitz) haben, einschließlich der dort für längere Zeit als wohnhaft gemeldeten Ausländer. Das BBSR verwendet die Bevölkerung zum Stichtag 31. Dezember für alle einwohnerbezogenen Indikatoren, so auch bei Fließgrößen über das Jahr (wie Geburten, Sterbefälle, Wanderungen, Finanzströmen und – anders als die Statistischen Ämter des Bundes und der Länder - auch bei den Größen der Volkswirtschaftlichen Gesamtrechnung.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,,Inkar,12586,,,,X,,1995 - 2020
,,Absolutzahlen,,,Bevölkerung weiblich,,Es handelt sich um die Zahl der weiblichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,,Inkar,12746,,,,X,,1995 - 2020
,,Absolutzahlen,,,Bevölkerung männlich,,Es handelt sich um die Zahl der männlichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,,Inkar,12747,,,,X,,1995 - 2020
,,Absolutzahlen,,,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),,"Es handelt sich um die Zahl der Einwohner und Einwohnerinnen im Alter von 15 bis unter 65 Jahren zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Erwerbsfähigkeit nach Alter richtet sich nach dem frühestmöglichen Lebensjahr, an dem ein regulärer Schulabschluss erworben werden kann (Hauptschulabschluss nach 9. Schulklasse) und dem regulären Renteneintrittsalter. Sowohl bezüglich des Schulabschlusses als auch bezüglich des Renteneintrittsalters ändert sich der Ein- bzw. Austritt für die Mehrheit über die Zeit (Anstieg der Schulabschlüsse mit mittlerer Reife und Abitur, gesetzliche Anhebung des Rentenalters, Frührentnerregelungen etc.), so dass andere Altersgruppen sachlich Realitätsnäher scheinen mögen. Insbesondere im internationalen Vergleich ist die Definition von Erwerbsfähigkeit nach Alter auf Personen in den  Altersgruppen 15 bis unter 65 Jahre jedoch im Regional- und Zeitvergleich sinnvoll.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,,Inkar,16607,,,,X,,1995 - 2020
,,Absolutzahlen,,,Bodenfläche gesamt qkm,,Als Katasterfläche bezeichnet man den vermessungstechnisch ermittelten Flächeninhalt einer Regionaleinheit. Grundlage für die Ermittlung der Fläche bildet der von Vermessungsämtern geführte Kataster. Statt von Katasterfläche wir verkürzt auch von Fläche oder Gesamtfläche gesprochen.,Flächenerhebung nach Art der tatsächlichen Nutzung der Statistischen Ämter des Bundes und der Länder,,Inkar,18168,,,,X,,1996 - 2020
,,Absolutzahlen,,,Erwerbstätige,,"Es handelt sich um die Zahl der Erwerbstätigen in 1.000 Personen als Jahresdurchschnittswerte des jeweiligen Jahres. Als Erwerbstätige gelten alle Personen, die eine Erwerbstätigkeit ausüben, unabhängig vom Umfang der tatsächlichen Arbeitszeit. Die Erhebung erfolgt nach dem Personenkonzept, d. h. eine Person mit mehreren Tätigkeiten nur einmal in der Erwerbstätigenrechnung gezählt wird. Dabei wird die Verwaltung von Privatvermögen (z. B. Immobilien, Geldvermögen, Wertpapiere) nicht als Erwerbstätigkeit gezählt. Die Angabe in  1.000 Personen erfolgt aus Datenschutzgründen. ",Arbeitskreis Erwerbstätigenrechnung der Länder,,Inkar,18602,,,,X,,2000 - 2020
,,Arbeitslosigkeit,,,Arbeitslosenquote,Arbeitslose <Zeitpunkt> / alle zivile Erwerbspersonen <Zeitpunkt> x 100,"Die Arbeitslosenquote zeigt die relative Unterauslastung des Arbeitskräfteangebots an. Sie ist ein zentrales Maß für einen unausgeglichenen regionalen Arbeitsmarkt. Die Arbeitslosenquote in ihrer zeitlichen Entwicklung zeigt allerdings nur bedingt Strukturprobleme auf dem regionalen Arbeitsmarkt an!. hierzu sind weitere Informationen des Arbeitsmarktes erforderlich. Die Zusammenlegung von Arbeitslosen- und Sozialhilfeleistung im Zuge der Arbeitsmarkreformen 2005 hat zunächst zum Anstieg der Arbeitslosenquote beigetragen. Der anschließende Rückgang ist dann eher auf eine verlangsamte Produktivitätsentwicklung, die Zunahme atypischer Beschäftigungsverhältnisse, die Verteilung des Arbeitsvolumens auf mehr Köpfe sowie auf sinkende Arbeitskraftreserven zurückzuführen. Für die Bezugsgröße (Nenner) gibt es unterschiedliche Varianten!. hier werden alle zivilen Erwerbspersonen als Bezugsgröße gewählt. Zivile Erwerbspersonen umfassen die zivilen Erwerbstätigen und Arbeitslose. Regional werden zivile Erwerbspersonen bei kleinen Einheiten unter 1.000 Personen gar nicht und bei Einheiten zwischen 1.000 und 15.000 Personen nach Ermessen ausgewiesen. Daher berechnet die BA für die Ebene der Gemeinden keine Arbeitslosenquote. Auf Ebene der Gemeinden schätzt das BBSR die zivilen Erwerbspersonen anhand der kreisweisen Erwerbsbeteiligung und der gemeindlichen Angaben zur Bevölkerung im Alter von 15 bis unter 65 Jahren und berechnet auf dieser Basis eine Arbeitslosenquote für die Gemeindeverbände. Letztere stellen daher nur eine grobe Schätzung dar und spiegeln nicht zwangsläufig die echte Arbeitslosenquote für den Gemeindeverband wider.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,Inkar,14574,,,,X,,1998 - 2020
