Kennziffer,Wert,Zeitbezug
111,33.64,2003
111,35.55,2004
111,35.63,2005
111,35.68,2006
111,35.73,2007
111,35.95,2008
111,36.06,2009
111,36.55,2010
111,37.08,2011
111,37.36,2012
111,38.15,2013
111,38.59,2014
111,38.94,2015
111,39.45,2016
111,40.02,2017
111,40.56,2018
111,41.03,2019
111,41.58,2020
01,34.12,2003
01,35.84,2004
01,35.86,2005
01,35.9,2006
01,35.77,2007
01,36.03,2008
01,36.49,2009
01,36.67,2010
01,37.3,2011
01,37.63,2012
01,38.3,2013
01,38.82,2014
01,39.18,2015
01,39.78,2016
01,40.64,2017
01,41.17,2018
01,41.73,2019
01,42.12,2020
02,37.83,2003
02,39.31,2004
02,39.07,2005
02,38.57,2006
02,38.63,2007
02,38.74,2008
02,39.05,2009
02,39.53,2010
02,40.01,2011
02,40.26,2012
02,40.98,2013
02,41.14,2014
02,41.32,2015
02,41.57,2016
02,42.03,2017
02,42.59,2018
02,43.21,2019
02,43.75,2020
03,32.02,2003
03,33.77,2004
03,33.72,2005
03,33.75,2006
03,33.65,2007
03,33.9,2008
03,34.12,2009
03,34.78,2010
03,35.29,2011
03,35.56,2012
03,36.57,2013
03,37.09,2014
03,37.67,2015
03,38.26,2016
03,38.95,2017
03,39.6,2018
03,40.17,2019
03,40.85,2020
04,36.11,2003
04,37.68,2004
04,37.77,2005
04,38.2,2006
04,38.96,2007
04,39.08,2008
04,38.77,2009
04,39.41,2010
04,40.1,2011
04,40.21,2012
04,41.17,2013
04,41.4,2014
04,41.79,2015
04,42.44,2016
04,42.7,2017
04,43.22,2018
04,43.65,2019
04,43.94,2020
05,32.16,2003
05,34.72,2004
05,35.15,2005
05,35.37,2006
05,35.54,2007
05,35.77,2008
05,35.76,2009
05,36.31,2010
05,36.74,2011
05,37.02,2012
05,37.83,2013
05,38.36,2014
05,38.72,2015
05,39.18,2016
05,39.7,2017
05,40.29,2018
05,40.74,2019
05,41.24,2020
06,32.98,2003
06,35.1,2004
06,35.33,2005
06,35.44,2006
06,35.53,2007
06,35.87,2008
06,36.21,2009
06,36.65,2010
06,37.49,2011
06,37.7,2012
06,38.3,2013
06,38.8,2014
06,39.12,2015
06,39.61,2016
06,40.06,2017
06,40.62,2018
06,41.09,2019
06,41.51,2020
07,30.71,2003
07,32.84,2004
07,33.32,2005
07,33.77,2006
07,33.91,2007
07,34.37,2008
07,34.54,2009
07,35.07,2010
07,35.85,2011
07,36.07,2012
07,37.16,2013
07,37.52,2014
07,37.97,2015
07,38.54,2016
07,39.0,2017
07,39.59,2018
07,39.82,2019
07,40.47,2020
08,33.6,2003
08,35.34,2004
08,35.59,2005
08,35.72,2006
08,35.88,2007
08,36.14,2008
08,35.78,2009
08,36.27,2010
08,36.88,2011
08,37.24,2012
08,38.24,2013
08,38.71,2014
08,38.89,2015
08,39.35,2016
08,39.93,2017
08,40.4,2018
08,40.93,2019
08,41.5,2020
09,30.79,2003
09,32.68,2004
09,32.95,2005
09,32.89,2006
09,33.09,2007
09,33.44,2008
09,33.59,2009
09,34.16,2010
09,34.75,2011
09,35.29,2012
09,36.12,2013
09,36.54,2014
09,36.89,2015
09,37.45,2016
09,38.12,2017
09,38.62,2018
09,39.24,2019
09,39.86,2020
10,30.84,2003
10,32.87,2004
10,33.09,2005
10,32.93,2006
10,33.28,2007
10,33.52,2008
10,33.64,2009
10,34.46,2010
10,35.3,2011
10,35.86,2012
10,36.99,2013
10,37.48,2014
10,38.05,2015
10,38.72,2016
10,39.3,2017
10,40.1,2018
10,40.22,2019
10,41.0,2020
11,43.43,2003
11,45.29,2004
11,44.44,2005
11,44.35,2006
11,44.1,2007
11,43.93,2008
11,44.06,2009
11,44.56,2010
11,44.59,2011
11,44.6,2012
11,44.42,2013
11,44.15,2014
11,44.28,2015
11,44.72,2016
11,45.22,2017
11,45.6,2018
11,45.98,2019
11,46.15,2020
12,43.58,2003
12,44.21,2004
12,43.47,2005
12,43.23,2006
12,42.98,2007
12,42.77,2008
12,43.28,2009
12,42.85,2010
12,42.92,2011
12,42.78,2012
12,43.02,2013
12,43.45,2014
12,43.52,2015
12,43.95,2016
12,44.38,2017
12,44.66,2018
12,44.45,2019
12,44.95,2020
13,43.02,2003
13,44.04,2004
13,43.09,2005
13,42.85,2006
13,42.54,2007
13,42.21,2008
13,42.72,2009
13,43.0,2010
13,43.41,2011
13,43.45,2012
13,44.21,2013
13,44.47,2014
13,45.03,2015
13,45.22,2016
13,45.59,2017
13,46.06,2018
13,46.18,2019
13,46.83,2020
14,40.75,2003
14,41.23,2004
14,40.61,2005
14,40.17,2006
14,39.57,2007
14,39.93,2008
14,40.32,2009
14,40.56,2010
14,40.95,2011
14,40.81,2012
14,41.33,2013
14,41.68,2014
14,42.42,2015
14,43.33,2016
14,43.92,2017
14,44.24,2018
14,44.55,2019
14,45.19,2020
15,40.21,2003
15,40.89,2004
15,40.47,2005
15,40.23,2006
15,39.32,2007
15,39.06,2008
15,39.56,2009
15,39.77,2010
15,39.74,2011
15,39.84,2012
15,40.49,2013
15,40.96,2014
15,42.06,2015
15,42.57,2016
15,43.1,2017
15,43.74,2018
15,44.14,2019
15,45.08,2020
16,40.59,2003
16,40.77,2004
16,40.06,2005
16,39.22,2006
16,38.81,2007
16,38.57,2008
16,39.15,2009
16,39.51,2010
16,40.44,2011
16,40.57,2012
16,41.29,2013
16,41.99,2014
16,42.88,2015
16,43.24,2016
16,43.92,2017
16,44.29,2018
16,44.65,2019
16,45.41,2020
010010000,44.17,2019
010010000,44.2,2020
010020000,44.36,2019
010020000,44.87,2020
010030000,43.81,2019
010030000,44.16,2020
010040000,42.52,2019
010040000,43.82,2020
010510011,38.62,2019
010510011,36.02,2020
010510044,39.58,2019
010510044,40.93,2020
010515163,33.7,2019
010515163,36.18,2020
010515166,37.37,2019
010515166,37.15,2020
010515169,38.53,2019
010515169,40.58,2020
010515172,41.48,2019
010515172,42.93,2020
010515175,40.91,2019
010515175,42.92,2020
010515178,37.43,2019
010515178,36.52,2020
010530032,41.04,2019
010530032,41.02,2020
010530083,35.28,2019
010530083,34.77,2020
010530090,34.67,2019
010530090,36.73,2020
010530100,34.68,2019
010530100,34.17,2020
010530116,40.59,2019
010530116,40.14,2020
010530129,38.08,2019
010530129,40.59,2020
010535308,41.47,2019
010535308,42.42,2020
010535313,43.33,2019
010535313,45.35,2020
010535318,40.94,2019
010535318,41.89,2020
010535323,41.54,2019
010535323,41.18,2020
010535343,39.92,2019
010535343,45.16,2020
010535358,37.56,2019
010535358,38.19,2020
010535373,41.19,2019
010535373,45.6,2020
010535391,42.42,2019
010535391,42.14,2020
010539105,50.0,2020
010540033,30.95,2019
010540033,34.3,2020
010540056,40.05,2019
010540056,39.74,2020
010540108,57.25,2019
010540108,55.24,2020
010540138,30.34,2019
010540138,32.79,2020
010540168,42.18,2019
010540168,45.36,2020
010545417,39.63,2019
010545417,38.62,2020
010545439,38.95,2019
010545439,42.27,2020
010545453,43.07,2019
010545453,46.02,2020
010545459,34.69,2019
010545459,33.82,2020
010545488,39.16,2019
010545488,38.51,2020
010545489,41.75,2019
010545489,40.95,2020
010545492,37.39,2019
010545492,39.73,2020
010545494,39.29,2019
010545494,40.22,2020
010550001,41.78,2019
010550001,41.91,2020
010550004,37.02,2019
010550004,36.61,2020
010550007,32.1,2019
010550007,30.59,2020
010550010,42.42,2019
010550010,34.93,2020
010550012,41.88,2019
010550012,42.82,2020
010550016,39.74,2019
010550016,40.32,2020
010550018,34.33,2019
010550018,26.32,2020
010550021,42.09,2019
010550021,42.76,2020
010550025,28.08,2019
010550025,30.26,2020
010550028,35.97,2019
010550028,36.65,2020
010550032,40.46,2019
010550032,43.17,2020
010550033,41.57,2019
010550033,41.59,2020
010550035,40.04,2019
010550035,37.02,2020
010550040,39.35,2019
010550040,39.18,2020
010550041,44.98,2019
010550041,47.51,2020
010550042,39.23,2019
010550042,39.76,2020
010550044,43.57,2019
010550044,45.51,2020
010550046,40.12,2019
010550046,41.41,2020
010555543,41.36,2019
010555543,40.03,2020
010555546,43.79,2019
010555546,45.4,2020
010555591,45.07,2019
010555591,48.08,2020
010560002,32.54,2019
010560002,32.97,2020
010560005,41.54,2019
010560005,40.71,2020
010560015,41.75,2019
010560015,41.33,2020
010560018,40.26,2019
010560018,38.91,2020
010560021,52.49,2019
010560021,52.08,2020
010560025,43.42,2019
010560025,40.88,2020
010560039,45.77,2019
010560039,45.04,2020
010560041,40.18,2019
010560041,41.25,2020
010560043,42.25,2019
010560043,43.91,2020
010560044,47.51,2019
010560044,47.63,2020
010560048,44.2,2019
010560048,45.43,2020
010560049,42.34,2019
010560049,42.36,2020
010560050,40.6,2019
010560050,39.6,2020
010565616,44.73,2019
010565616,45.69,2020
010565636,44.24,2019
010565636,44.3,2020
010565660,44.95,2019
010565660,46.99,2020
010565687,39.43,2019
010565687,41.71,2020
010565690,42.14,2019
010565690,42.68,2020
010570001,41.0,2019
010570001,40.0,2020
010570008,35.56,2019
010570008,36.0,2020
010570009,40.0,2019
010570009,42.11,2020
010570057,37.9,2019
010570057,37.38,2020
010570062,34.57,2019
010570062,36.75,2020
010570091,45.13,2019
010570091,44.53,2020
010575727,36.96,2019
010575727,37.63,2020
010575739,38.94,2019
010575739,44.3,2020
010575747,41.19,2019
010575747,41.22,2020
010575755,38.65,2019
010575755,42.02,2020
010575775,44.03,2019
