Bereich,ID,Indikator,Raumbezug,Kennziffer,Name,Zeitbezug,Wert
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2000,2260.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2001,2337.18
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2002,2449.66
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2003,2519.1
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2004,2500.71
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2005,2448.26
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2006,2481.3
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2007,2539.16
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2008,2601.0
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2009,2553.61
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2010,2561.82
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2011,2599.39
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2012,2639.54
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2013,2679.04
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2014,2710.59
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2015,2764.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2016,2763.93
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2017,2826.43
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2018,2980.8
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2019,3007.57
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,001,Flensburg,2020,2978.03
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2000,2392.47
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2001,2468.1
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2002,2559.95
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2003,2693.67
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2004,2664.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2005,2645.28
