Kennziffer,Wert,Zeitbezug
111,241.54,2009
111,277.21,2010
111,297.83,2011
111,294.22,2012
111,291.31,2013
111,289.74,2014
111,293.33,2015
111,266.24,2016
111,284.88,2017
111,278.72,2018
111,285.79,2019
111,270.17,2020
01,244.22,2009
01,265.72,2010
01,287.11,2011
01,297.53,2012
01,300.55,2013
01,316.36,2014
01,290.8,2015
01,290.08,2016
01,291.7,2017
01,277.06,2018
01,276.89,2019
01,267.76,2020
02,645.82,2009
02,906.38,2010
02,1024.16,2011
02,1055.55,2012
02,978.87,2013
02,919.46,2014
02,828.23,2015
02,797.42,2016
02,890.02,2017
02,902.4,2018
02,860.77,2019
02,704.29,2020
03,312.25,2009
03,344.69,2010
03,383.39,2011
03,378.73,2012
03,366.6,2013
03,370.53,2014
03,376.94,2015
03,288.65,2016
03,298.64,2017
03,295.52,2018
03,292.21,2019
03,277.03,2020
04,341.7,2009
04,431.98,2010
04,467.43,2011
04,482.48,2012
04,446.45,2013
04,457.37,2014
04,483.64,2015
04,533.01,2016
04,685.12,2017
04,711.57,2018
04,669.15,2019
04,555.63,2020
05,234.85,2009
05,269.41,2010
05,290.17,2011
05,281.22,2012
05,279.63,2013
05,276.86,2014
05,273.67,2015
05,273.13,2016
05,285.02,2017
05,284.34,2018
05,278.5,2019
05,261.68,2020
06,229.05,2009
06,259.35,2010
06,281.7,2011
06,276.33,2012
06,275.12,2013
06,276.19,2014
06,273.39,2015
06,270.89,2016
06,281.68,2017
06,290.83,2018
06,299.59,2019
06,290.67,2020
07,274.84,2009
07,324.54,2010
07,344.1,2011
07,334.71,2012
07,319.56,2013
07,312.94,2014
07,315.51,2015
07,300.61,2016
07,338.27,2017
07,356.34,2018
07,326.73,2019
07,308.4,2020
08,201.71,2009
08,236.26,2010
08,255.66,2011
08,255.52,2012
08,257.06,2013
08,265.8,2014
08,282.94,2015
08,244.22,2016
08,280.56,2017
08,249.21,2018
08,277.29,2019
08,269.38,2020
09,240.73,2009
09,272.37,2010
09,283.77,2011
09,281.46,2012
09,282.9,2013
09,268.99,2014
09,274.82,2015
09,226.1,2016
09,233.89,2017
09,232.72,2018
09,250.08,2019
09,233.72,2020
10,223.7,2009
