Kennziffer,Wert,Zeitbezug
01001000,347.19,2017
01001000,353.17,2018
01001000,358.49,2019
01001000,356.9,2020
01002000,356.65,2017
01002000,365.08,2018
01002000,372.41,2019
01002000,372.78,2020
01003000,360.71,2017
01003000,363.99,2018
01003000,369.63,2019
01003000,372.14,2020
01004000,359.31,2017
01004000,368.12,2018
01004000,374.27,2019
01004000,375.51,2020
01051001,321.23,2017
01051001,329.16,2018
01051001,335.22,2019
01051001,342.22,2020
01051002,383.84,2017
01051002,367.26,2018
01051002,417.04,2019
01051002,438.91,2020
01051003,411.66,2017
01051003,409.34,2018
01051003,418.77,2019
01051003,421.24,2020
01051004,328.01,2017
01051004,336.1,2018
01051004,355.51,2019
01051004,361.28,2020
01051005,412.5,2017
01051005,415.66,2018
01051005,429.45,2019
01051005,388.89,2020
01051006,373.53,2017
01051006,386.63,2018
01051006,386.97,2019
01051006,367.11,2020
01051008,151.52,2017
01051008,189.19,2018
01051008,250.0,2019
01051008,371.43,2020
01051010,377.27,2017
01051010,405.53,2018
01051010,443.4,2019
01051010,401.91,2020
01051011,368.7,2017
01051011,370.72,2018
01051011,380.53,2019
01051011,376.66,2020
01051012,350.5,2017
01051012,363.45,2018
01051012,366.73,2019
01051012,370.85,2020
01051013,264.64,2017
01051013,276.38,2018
01051013,284.9,2019
01051013,281.61,2020
01051014,263.16,2017
01051014,285.71,2018
01051014,296.09,2019
01051014,298.88,2020
01051015,318.41,2017
01051015,343.0,2018
01051015,357.79,2019
01051015,377.72,2020
01051016,322.63,2017
01051016,331.48,2018
01051016,337.58,2019
01051016,333.89,2020
01051017,351.27,2017
01051017,371.79,2018
01051017,351.61,2019
01051017,364.49,2020
01051019,337.38,2017
01051019,342.28,2018
01051019,354.62,2019
01051019,388.27,2020
01051020,337.64,2017
01051020,355.71,2018
01051020,338.78,2019
01051020,340.11,2020
01051021,408.71,2017
01051021,416.19,2018
01051021,423.13,2019
01051021,402.62,2020
01051022,392.91,2017
01051022,399.68,2018
01051022,401.91,2019
01051022,425.0,2020
01051023,340.53,2017
01051023,349.36,2018
01051023,372.17,2019
01051023,350.48,2020
01051024,407.79,2017
01051024,429.96,2018
01051024,433.83,2019
01051024,428.89,2020
01051026,418.79,2017
01051026,408.91,2018
01051026,412.7,2019
01051026,408.8,2020
01051027,394.22,2017
01051027,414.07,2018
