Kennziffer,Wert,Zeitbezug
111,461.83,1995
111,441.21,1996
111,439.88,1997
111,490.48,1998
111,513.17,1999
111,522.7,2000
111,494.09,2001
111,475.79,2002
111,465.35,2003
111,498.25,2004
111,520.69,2005
111,586.55,2006
111,639.68,2007
111,696.11,2008
111,621.61,2009
111,626.53,2010
111,690.43,2011
111,728.16,2012
111,757.96,2013
111,783.06,2014
111,817.61,2015
111,856.68,2016
111,916.34,2017
111,970.68,2018
111,1012.16,2019
01,490.39,1995
01,458.89,1996
01,464.82,1997
01,499.03,1998
01,502.24,1999
01,499.2,2000
01,476.24,2001
01,460.57,2002
01,456.14,2003
01,466.2,2004
01,491.8,2005
01,557.34,2006
01,580.08,2007
01,622.93,2008
01,573.99,2009
01,570.49,2010
01,641.65,2011
01,642.02,2012
01,677.73,2013
01,685.81,2014
01,735.06,2015
01,763.99,2016
01,839.65,2017
01,867.11,2018
01,927.98,2019
02,714.26,1995
02,720.07,1996
02,730.77,1997
02,824.93,1998
02,908.14,1999
02,890.2,2000
02,828.25,2001
02,831.98,2002
02,790.78,2003
02,822.73,2004
02,905.96,2005
02,1014.79,2006
02,974.67,2007
02,1135.18,2008
02,1011.15,2009
02,998.94,2010
02,1110.32,2011
02,1101.02,2012
02,1190.22,2013
02,1221.58,2014
02,1227.65,2015
02,1276.58,2016
02,1369.17,2017
02,1492.89,2018
02,1583.84,2019
03,455.9,1995
03,430.39,1996
03,430.83,1997
03,459.29,1998
03,474.78,1999
03,473.49,2000
03,440.7,2001
03,438.04,2002
03,412.75,2003
03,435.54,2004
03,452.0,2005
03,507.4,2006
03,544.23,2007
03,607.45,2008
03,545.22,2009
03,557.32,2010
03,614.24,2011
03,683.66,2012
03,691.1,2013
03,713.92,2014
03,725.97,2015
03,760.09,2016
03,796.31,2017
03,851.29,2018
03,890.52,2019
04,551.44,1995
04,570.42,1996
04,508.85,1997
04,562.38,1998
04,576.36,1999
04,578.13,2000
04,547.6,2001
04,542.32,2002
04,579.12,2003
04,556.68,2004
04,539.88,2005
04,623.75,2006
04,645.9,2007
04,762.69,2008
04,662.49,2009
04,639.17,2010
04,717.5,2011
04,684.74,2012
04,738.69,2013
04,771.51,2014
04,772.13,2015
04,859.86,2016
04,897.34,2017
04,951.58,2018
04,964.0,2019
05,516.31,1995
05,502.68,1996
05,502.01,1997
05,544.63,1998
05,566.57,1999
05,569.35,2000
05,532.5,2001
05,510.83,2002
05,498.95,2003
05,527.56,2004
05,546.3,2005
05,619.68,2006
05,664.15,2007
05,709.43,2008
05,633.96,2009
05,632.66,2010
05,690.33,2011
05,719.87,2012
05,738.3,2013
05,748.16,2014
05,787.63,2015
05,816.61,2016
05,887.35,2017
05,937.7,2018
05,977.41,2019
06,566.14,1995
06,553.27,1996
06,568.0,1997
06,614.38,1998
06,684.63,1999
06,712.18,2000
06,672.27,2001
06,619.73,2002
06,607.9,2003
06,634.79,2004
06,669.14,2005
06,762.52,2006
06,862.37,2007
06,914.8,2008
06,787.58,2009
06,790.7,2010
06,835.05,2011
06,882.61,2012
06,905.97,2013
06,954.93,2014
06,980.88,2015
06,1036.37,2016
