,ID,Value,Year
0,111,229.72,1996
1,111,230.4,2000
2,111,231.07,2004
3,111,229.63,2008
4,111,229.06,2009
5,111,228.92,2010
6,111,224.93,2011
7,111,225.45,2012
8,111,226.03,2013
9,111,227.21,2014
10,111,229.93,2015
11,111,230.78,2016
12,111,231.54,2017
13,111,232.17,2018
14,111,232.59,2019
15,111,232.55,2020
16,1,173.96,1996
17,1,176.98,2000
18,1,179.45,2004
19,1,179.39,2008
20,1,179.25,2009
21,1,179.39,2010
22,1,177.36,2011
23,1,177.63,2012
24,1,178.22,2013
25,1,179.13,2014
26,1,180.9,2015
27,1,182.35,2016
28,1,182.85,2017
29,1,183.29,2018
30,1,183.78,2019
31,1,184.18,2020
32,2,2261.24,1996
33,2,2271.08,2000
34,2,2297.06,2004
35,2,2346.22,2008
36,2,2349.03,2009
37,2,2365.22,2010
38,2,2274.84,2011
39,2,2296.14,2012
40,2,2312.36,2013
41,2,2334.14,2014
42,2,2366.8,2015
43,2,2397.65,2016
44,2,2424.33,2017
45,2,2438.36,2018
46,2,2446.4,2019
47,2,2453.32,2020
48,3,164.14,1996
49,3,166.46,2000
50,3,168.02,2004
51,3,166.87,2008
52,3,166.45,2009
53,3,166.31,2010
54,3,163.28,2011
55,3,163.38,2012
56,3,163.62,2013
57,3,164.38,2014
58,3,166.47,2015
59,3,166.54,2016
60,3,166.9,2017
61,3,167.31,2018
62,3,167.55,2019
63,3,167.75,2020
64,4,1676.49,1996
65,4,1633.09,2000
66,4,1640.48,2004
67,4,1636.95,2008
68,4,1636.57,2009
69,4,1575.77,2010
70,4,1555.15,2011
71,4,1561.29,2012
72,4,1567.53,2013
73,4,1578.22,2014
74,4,1599.39,2015
75,4,1616.27,2016
76,4,1621.7,2017
77,4,1626.35,2018
78,4,1621.6,2019
79,4,1619.28,2020
80,5,526.65,1996
81,5,528.44,2000
82,5,530.32,2004
83,5,526.08,2008
84,5,524.31,2009
85,5,523.44,2010
86,5,514.55,2011
87,5,514.64,2012
88,5,515.15,2013
89,5,517.09,2014
90,5,523.72,2015
91,5,524.44,2016
92,5,525.09,2017
93,5,525.69,2018
94,5,526.12,2019
95,5,525.48,2020
96,6,285.45,1996
97,6,287.39,2000
98,6,288.79,2004
99,6,287.24,2008
100,6,287.09,2009
101,6,287.34,2010
102,6,283.86,2011
103,6,284.94,2012
104,6,286.31,2013
105,6,288.61,2014
106,6,292.5,2015
107,6,294.24,2016
108,6,295.67,2017
109,6,296.74,2018
110,6,297.79,2019
111,6,298.03,2020
112,7,201.57,1996
113,7,203.28,2000
114,7,204.62,2004
115,7,202.97,2008
116,7,202.18,2009
117,7,201.72,2010
118,7,201.03,2011
119,7,201.04,2012
120,7,201.25,2013
121,7,202.11,2014
122,7,204.19,2015
123,7,204.82,2016
124,7,205.2,2017
125,7,205.77,2018
126,7,206.22,2019
127,7,206.45,2020
128,8,290.18,1996
129,8,294.38,2000
130,8,299.77,2004
131,8,300.67,2008
132,8,300.55,2009
133,8,300.8,2010
134,8,294.04,2011
135,8,295.63,2012
