ID,Value,Year
NL01,12.6,1988
NL01,12.7,1989
NL01,13.2,1990
NL01,13.2,1991
NL01,13.0,1992
NL01,12.8,1993
NL01,12.7,1994
NL01,12.3,1995
NL01,12.2,1996
NL01,12.3,1997
NL01,12.7,1998
NL01,12.7,1999
NL01,13.0,2000
NL01,12.6,2001
NL01,12.5,2002
NL01,12.3,2003
NL01,11.9,2004
NL01,11.5,2005
NL01,11.3,2006
NL01,11.1,2007
NL01,11.2,2008
NL01,11.2,2009
NL01,11.1,2010
NL01,10.8,2011
NL01,10.5,2012
NL01,10.2,2013
NL01,10.4,2014
NL01,10.1,2015
NL01,10.1,2016
NL01,9.9,2017
NL01,9.8,2018
NL01,9.8,2019
NL01,9.7,2020
NL01,10.2,2021
NL01,9.5,2022
LD01,11.9,1988
LD01,11.9,1989
LD01,12.2,1990
LD01,12.3,1991
LD01,11.9,1992
LD01,12.0,1993
LD01,11.8,1994
LD01,11.8,1995
LD01,11.6,1996
LD01,11.8,1997
LD01,12.1,1998
LD01,12.2,1999
LD01,12.2,2000
LD01,12.1,2001
LD01,12.0,2002
LD01,11.7,2003
LD01,11.2,2004
LD01,10.8,2005
LD01,10.6,2006
LD01,10.3,2007
LD01,10.5,2008
LD01,10.5,2009
LD01,10.2,2010
LD01,10.0,2011
LD01,9.6,2012
LD01,9.2,2013
LD01,9.3,2014
LD01,8.9,2015
LD01,9.1,2016
LD01,8.9,2017
LD01,8.5,2018
LD01,8.8,2019
LD01,8.6,2020
LD01,9.2,2021
LD01,8.5,2022
LD02,13.2,1988
LD02,13.2,1989
LD02,13.7,1990
LD02,13.6,1991
LD02,13.3,1992
LD02,13.3,1993
LD02,13.2,1994
LD02,12.8,1995
LD02,12.6,1996
LD02,12.8,1997
LD02,13.2,1998
LD02,13.3,1999
LD02,13.6,2000
LD02,13.2,2001
LD02,13.2,2002
LD02,13.0,2003
LD02,12.4,2004
LD02,12.0,2005
LD02,11.9,2006
LD02,11.4,2007
LD02,11.5,2008
LD02,11.4,2009
LD02,11.2,2010
LD02,10.8,2011
LD02,10.5,2012
LD02,10.3,2013
LD02,10.3,2014
LD02,10.1,2015
LD02,10.0,2016
LD02,9.8,2017
LD02,9.7,2018
LD02,9.7,2019
LD02,9.7,2020
LD02,10.1,2021
LD02,9.6,2022
LD03,12.8,1988
LD03,12.9,1989
LD03,13.4,1990
LD03,13.4,1991
