,ID,Value,Year
0,NL01  ,8433.0,2013JJ00
1,NL01  ,8382.0,2014JJ00
2,NL01  ,8458.0,2015JJ00
3,NL01  ,8570.0,2016JJ00
4,NL01  ,8744.0,2017JJ00
5,NL01  ,8939.0,2018JJ00
6,NL01  ,9117.0,2019JJ00
7,NL01  ,9116.0,2020JJ00
8,NL01  ,9255.0,2021JJ00
9,NL01  ,9548.0,2022JJ00
10,NL01  ,9737.0,2023JJ00
11,LD01  ,838.0,2013JJ00
12,LD01  ,829.0,2014JJ00
13,LD01  ,834.0,2015JJ00
14,LD01  ,839.0,2016JJ00
15,LD01  ,854.0,2017JJ00
16,LD01  ,866.0,2018JJ00
17,LD01  ,882.0,2019JJ00
18,LD01  ,878.0,2020JJ00
19,LD01  ,893.0,2021JJ00
20,LD01  ,919.0,2022JJ00
21,LD01  ,929.0,2023JJ00
22,LD02  ,1792.0,2013JJ00
23,LD02  ,1770.0,2014JJ00
24,LD02  ,1788.0,2015JJ00
25,LD02  ,1803.0,2016JJ00
26,LD02  ,1849.0,2017JJ00
27,LD02  ,1890.0,2018JJ00
28,LD02  ,1922.0,2019JJ00
29,LD02  ,1932.0,2020JJ00
30,LD02  ,1962.0,2021JJ00
31,LD02  ,2030.0,2022JJ00
32,LD02  ,2065.0,2023JJ00
33,LD03  ,3990.0,2013JJ00
34,LD03  ,3986.0,2014JJ00
35,LD03  ,4023.0,2015JJ00
36,LD03  ,4090.0,2016JJ00
37,LD03  ,4171.0,2017JJ00
38,LD03  ,4279.0,2018JJ00
39,LD03  ,4368.0,2019JJ00
40,LD03  ,4367.0,2020JJ00
41,LD03  ,4438.0,2021JJ00
42,LD03  ,4601.0,2022JJ00
43,LD03  ,4706.0,2023JJ00
44,LD04  ,1813.0,2013JJ00
45,LD04  ,1798.0,2014JJ00
46,LD04  ,1814.0,2015JJ00
47,LD04  ,1837.0,2016JJ00
48,LD04  ,1870.0,2017JJ00
49,LD04  ,1904.0,2018JJ00
50,LD04  ,1945.0,2019JJ00
51,LD04  ,1940.0,2020JJ00
52,LD04  ,1963.0,2021JJ00
53,LD04  ,1999.0,2022JJ00
54,LD04  ,2037.0,2023JJ00
55,PV20  ,287.0,2013JJ00
56,PV20  ,281.0,2014JJ00
