,ID,Value,Year
0,NL01,3171.0,1988
1,NL01,3171.0,1989
2,NL01,3258.0,1990
3,NL01,3072.0,1991
4,NL01,2692.0,1992
5,NL01,2461.0,1993
6,NL01,2288.0,1994
7,NL01,1904.0,1995
8,NL01,1857.0,1996
9,NL01,1979.0,1997
10,NL01,2038.0,1998
11,NL01,2323.0,1999
12,NL01,2503.0,2000
13,NL01,2686.0,2001
14,NL01,2649.0,2002
15,NL01,2484.0,2003
16,NL01,2182.0,2004
17,NL01,2010.0,2005
18,NL01,1859.0,2006
19,NL01,1858.0,2007
20,NL01,1905.0,2008
21,NL01,1953.0,2009
22,NL01,1884.0,2010
23,NL01,1717.0,2011
24,NL01,1592.0,2012
25,NL01,1360.0,2013
26,NL01,1276.0,2014
27,NL01,1109.0,2015
28,NL01,1076.0,2016
29,NL01,1023.0,2017
30,NL01,950.0,2018
31,NL01,915.0,2019
32,NL01,876.0,2020
33,NL01,715.0,2021
34,NL01,771.0,2022
35,NL01,727.0,2023
36,LD01,226.0,1988
37,LD01,234.0,1989
38,LD01,234.0,1990
39,LD01,219.0,1991
40,LD01,205.0,1992
41,LD01,160.0,1993
42,LD01,157.0,1994
43,LD01,167.0,1995
44,LD01,189.0,1996
45,LD01,197.0,1997
46,LD01,197.0,1998
47,LD01,229.0,1999
48,LD01,254.0,2000
49,LD01,302.0,2001
50,LD01,279.0,2002
51,LD01,278.0,2003
52,LD01,208.0,2004
53,LD01,230.0,2005
54,LD01,198.0,2006
55,LD01,201.0,2007
56,LD01,190.0,2008
57,LD01,244.0,2009
58,LD01,243.0,2010
59,LD01,204.0,2011
60,LD01,162.0,2012
61,LD01,164.0,2013
62,LD01,135.0,2014
63,LD01,124.0,2015
64,LD01,142.0,2016
65,LD01,126.0,2017
66,LD01,114.0,2018
67,LD01,107.0,2019
68,LD01,98.0,2020
69,LD01,86.0,2021
70,LD01,90.0,2022
71,LD01,87.0,2023
72,LD02,679.0,1988
73,LD02,620.0,1989
74,LD02,648.0,1990
75,LD02,639.0,1991
76,LD02,504.0,1992
77,LD02,466.0,1993
78,LD02,441.0,1994
79,LD02,376.0,1995
80,LD02,342.0,1996
81,LD02,368.0,1997
82,LD02,381.0,1998
83,LD02,444.0,1999
84,LD02,472.0,2000
85,LD02,526.0,2001
86,LD02,545.0,2002
87,LD02,511.0,2003
88,LD02,441.0,2004
89,LD02,390.0,2005
90,LD02,397.0,2006
91,LD02,397.0,2007
92,LD02,403.0,2008
93,LD02,407.0,2009
94,LD02,455.0,2010
95,LD02,399.0,2011
96,LD02,380.0,2012
97,LD02,292.0,2013
98,LD02,288.0,2014
99,LD02,232.0,2015
100,LD02,240.0,2016
101,LD02,186.0,2017
102,LD02,199.0,2018
103,LD02,187.0,2019
104,LD02,187.0,2020
105,LD02,145.0,2021
106,LD02,145.0,2022
107,LD02,180.0,2023
108,LD03,1723.0,1988
109,LD03,1776.0,1989
110,LD03,1789.0,1990
111,LD03,1726.0,1991
112,LD03,1533.0,1992
113,LD03,1414.0,1993
114,LD03,1270.0,1994
115,LD03,1026.0,1995
116,LD03,968.0,1996
117,LD03,1078.0,1997
118,LD03,1086.0,1998
119,LD03,1244.0,1999
120,LD03,1338.0,2000
121,LD03,1393.0,2001
122,LD03,1333.0,2002
123,LD03,1237.0,2003
124,LD03,1146.0,2004
125,LD03,1016.0,2005
126,LD03,935.0,2006
127,LD03,917.0,2007
128,LD03,956.0,2008
129,LD03,948.0,2009
130,LD03,878.0,2010
131,LD03,845.0,2011
132,LD03,788.0,2012
133,LD03,654.0,2013
134,LD03,628.0,2014
135,LD03,544.0,2015
136,LD03,494.0,2016
137,LD03,519.0,2017
138,LD03,485.0,2018
139,LD03,473.0,2019
140,LD03,444.0,2020
141,LD03,368.0,2021
142,LD03,393.0,2022
143,LD03,351.0,2023
144,LD04,543.0,1988
145,LD04,541.0,1989
146,LD04,587.0,1990
147,LD04,488.0,1991
148,LD04,450.0,1992
149,LD04,420.0,1993
150,LD04,420.0,1994
151,LD04,335.0,1995
152,LD04,358.0,1996
153,LD04,336.0,1997
154,LD04,374.0,1998
