,ID,Value,Year
0,NL01,1559270.0,2011
1,NL01,1537930.0,2012
2,NL01,1514860.0,2013
3,NL01,1494400.0,2014
4,NL01,1477850.0,2015
5,NL01,1461160.0,2016
6,NL01,1447970.0,2017
7,NL01,1440430.0,2018
8,NL01,1432180.0,2019
9,NL01,1421780.0,2020
10,NL01,1406280.0,2021
11,NL01,1404080.0,2022
12,NL01,1391450.0,2023
13,LD01,159100.0,2011
14,LD01,155830.0,2012
15,LD01,152570.0,2013
16,LD01,149540.0,2014
17,LD01,146730.0,2015
18,LD01,143670.0,2016
19,LD01,141310.0,2017
20,LD01,139590.0,2018
21,LD01,137390.0,2019
22,LD01,135320.0,2020
23,LD01,133380.0,2021
24,LD01,132130.0,2022
25,LD01,130340.0,2023
26,LD02,353710.0,2011
27,LD02,347790.0,2012
28,LD02,340960.0,2013
29,LD02,334490.0,2014
30,LD02,328020.0,2015
31,LD02,323030.0,2016
32,LD02,319230.0,2017
33,LD02,315780.0,2018
34,LD02,313170.0,2019
35,LD02,310740.0,2020
36,LD02,307080.0,2021
37,LD02,306700.0,2022
38,LD02,303780.0,2023
39,LD03,730800.0,2011
40,LD03,724910.0,2012
41,LD03,718390.0,2013
42,LD03,713190.0,2014
43,LD03,710180.0,2015
44,LD03,706390.0,2016
45,LD03,703140.0,2017
46,LD03,702800.0,2018
47,LD03,701110.0,2019
48,LD03,697850.0,2020
49,LD03,690780.0,2021
50,LD03,689640.0,2022
51,LD03,684540.0,2023
52,LD04,311920.0,2011
53,LD04,305580.0,2012
54,LD04,298950.0,2013
55,LD04,293190.0,2014
56,LD04,289070.0,2015
57,LD04,284140.0,2016
58,LD04,280420.0,2017
59,LD04,278420.0,2018
60,LD04,276820.0,2019
61,LD04,274260.0,2020
62,LD04,271530.0,2021
63,LD04,271820.0,2022
64,LD04,270130.0,2023
65,LD99,3750.0,2011
66,LD99,3820.0,2012
67,LD99,3990.0,2013
68,LD99,3990.0,2014
69,LD99,3850.0,2015
70,LD99,3930.0,2016
