,ID,Value,Year
0,NL01,31290.0,2012
1,NL01,29320.0,2013
2,NL01,28120.0,2014
3,NL01,27360.0,2015
4,NL01,28360.0,2016
5,NL01,30260.0,2017
6,NL01,31470.0,2018
7,NL01,26360.0,2019
8,NL01,28790.0,2020
9,NL01,35840.0,2021
10,NL01,35430.0,2022
11,G04,5540.0,2012
12,G04,5470.0,2013
13,G04,4870.0,2014
14,G04,4880.0,2015
15,G04,4860.0,2016
16,G04,5100.0,2017
17,G04,5200.0,2018
18,G04,4240.0,2019
19,G04,4470.0,2020
20,G04,5710.0,2021
21,G04,5580.0,2022
22,A042158,6970.0,2012
23,A042158,6560.0,2013
24,A042158,7100.0,2014
25,A042158,6980.0,2015
26,A042158,7370.0,2016
27,A042158,7760.0,2017
28,A042158,8050.0,2018
29,A042158,6850.0,2019
30,A042158,7590.0,2020
31,A042158,9390.0,2021
32,A042158,9120.0,2022
33,A007400,18780.0,2012
34,A007400,17290.0,2013
35,A007400,16140.0,2014
36,A007400,15500.0,2015
37,A007400,16140.0,2016
38,A007400,17400.0,2017
39,A007400,18230.0,2018
40,A007400,15270.0,2019
41,A007400,16740.0,2020
42,A007400,20740.0,2021
43,A007400,20730.0,2022
44,LD01,2670.0,2012
45,LD01,2450.0,2013
46,LD01,2260.0,2014
47,LD01,2230.0,2015
48,LD01,2470.0,2016
49,LD01,2670.0,2017
50,LD01,2910.0,2018
51,LD01,2470.0,2019
52,LD01,2900.0,2020
53,LD01,3610.0,2021
54,LD01,3700.0,2022
55,LD02,6250.0,2012
56,LD02,5660.0,2013
57,LD02,5580.0,2014
58,LD02,5330.0,2015
59,LD02,5650.0,2016
60,LD02,6310.0,2017
61,LD02,6470.0,2018
62,LD02,5600.0,2019
63,LD02,6080.0,2020
64,LD02,7530.0,2021
65,LD02,7640.0,2022
66,LD03,16280.0,2012
67,LD03,15480.0,2013
68,LD03,14540.0,2014
69,LD03,14260.0,2015
70,LD03,14570.0,2016
71,LD03,15280.0,2017
72,LD03,16120.0,2018
73,LD03,13100.0,2019
74,LD03,14230.0,2020
75,LD03,17730.0,2021
76,LD03,17230.0,2022
77,LD04,6090.0,2012
78,LD04,5740.0,2013
79,LD04,5740.0,2014
80,LD04,5540.0,2015
81,LD04,5680.0,2016
82,LD04,6000.0,2017
83,LD04,5980.0,2018
84,LD04,5190.0,2019
85,LD04,5580.0,2020
86,LD04,6960.0,2021
87,LD04,6860.0,2022
88,PV20,1040.0,2012
89,PV20,940.0,2013
90,PV20,830.0,2014
91,PV20,850.0,2015
92,PV20,930.0,2016
93,PV20,970.0,2017
94,PV20,990.0,2018
95,PV20,810.0,2019
96,PV20,980.0,2020
97,PV20,1280.0,2021
98,PV20,1220.0,2022
99,PV21,850.0,2012
100,PV21,860.0,2013
101,PV21,780.0,2014
102,PV21,740.0,2015
103,PV21,790.0,2016
104,PV21,950.0,2017
105,PV21,1080.0,2018
106,PV21,940.0,2019
107,PV21,1050.0,2020
108,PV21,1310.0,2021
109,PV21,1390.0,2022
110,PV22,790.0,2012
111,PV22,650.0,2013
112,PV22,650.0,2014
113,PV22,640.0,2015
114,PV22,740.0,2016
115,PV22,750.0,2017
116,PV22,840.0,2018
117,PV22,720.0,2019
118,PV22,870.0,2020
119,PV22,1030.0,2021
120,PV22,1090.0,2022
121,PV23,1640.0,2012
122,PV23,1550.0,2013
123,PV23,1550.0,2014
124,PV23,1480.0,2015
125,PV23,1610.0,2016
126,PV23,1860.0,2017
127,PV23,1900.0,2018
128,PV23,1740.0,2019
129,PV23,1830.0,2020
130,PV23,2250.0,2021
131,PV23,2280.0,2022
132,PV24,920.0,2012
133,PV24,870.0,2013
134,PV24,910.0,2014
135,PV24,860.0,2015
136,PV24,930.0,2016
137,PV24,970.0,2017
138,PV24,1000.0,2018
139,PV24,790.0,2019
140,PV24,920.0,2020
141,PV24,1240.0,2021
142,PV24,1230.0,2022
143,PV25,3700.0,2012
144,PV25,3240.0,2013
145,PV25,3130.0,2014
146,PV25,2980.0,2015
147,PV25,3120.0,2016
148,PV25,3490.0,2017
149,PV25,3580.0,2018
150,PV25,3070.0,2019
151,PV25,3330.0,2020
152,PV25,4040.0,2021
153,PV25,4130.0,2022
154,PV26,2420.0,2012
155,PV26,2260.0,2013
156,PV26,1920.0,2014
157,PV26,1930.0,2015
158,PV26,2060.0,2016
159,PV26,2170.0,2017
160,PV26,2280.0,2018
161,PV26,1990.0,2019
162,PV26,2150.0,2020
163,PV26,2680.0,2021
164,PV26,2500.0,2022
165,PV27,5500.0,2012
166,PV27,5360.0,2013
167,PV27,5070.0,2014
168,PV27,4930.0,2015
169,PV27,5170.0,2016
170,PV27,5350.0,2017
171,PV27,5720.0,2018
172,PV27,4540.0,2019
173,PV27,4910.0,2020
174,PV27,6180.0,2021
175,PV27,6160.0,2022
176,PV28,7690.0,2012
177,PV28,7280.0,2013
178,PV28,6950.0,2014
179,PV28,6820.0,2015
180,PV28,6770.0,2016
181,PV28,7130.0,2017
182,PV28,7460.0,2018
183,PV28,6030.0,2019
184,PV28,6540.0,2020
185,PV28,8100.0,2021
186,PV28,7850.0,2022
187,PV29,660.0,2012
188,PV29,580.0,2013
189,PV29,600.0,2014
190,PV29,590.0,2015
191,PV29,560.0,2016
192,PV29,630.0,2017
193,PV29,650.0,2018
194,PV29,550.0,2019
195,PV29,630.0,2020
196,PV29,770.0,2021
197,PV29,720.0,2022
198,PV30,4360.0,2012
199,PV30,4140.0,2013
200,PV30,4090.0,2014
201,PV30,3910.0,2015
202,PV30,4030.0,2016
203,PV30,4330.0,2017
204,PV30,4310.0,2018
205,PV30,3760.0,2019
206,PV30,4040.0,2020
207,PV30,4940.0,2021
208,PV30,4940.0,2022
209,PV31,1720.0,2012
210,PV31,1600.0,2013
211,PV31,1650.0,2014
212,PV31,1630.0,2015
213,PV31,1660.0,2016
214,PV31,1680.0,2017
215,PV31,1670.0,2018
216,PV31,1420.0,2019
217,PV31,1540.0,2020
218,PV31,2020.0,2021
219,PV31,1920.0,2022
220,GM1680,20.0,2012
221,GM1680,10.0,2013
222,GM1680,20.0,2014
223,GM1680,30.0,2015
224,GM1680,20.0,2016
225,GM1680,30.0,2017
