,ID,Value,Year
0,NL01,8433.0,2013
1,NL01,8382.0,2014
2,NL01,8458.0,2015
3,NL01,8570.0,2016
4,NL01,8744.0,2017
5,NL01,8939.0,2018
6,NL01,9117.0,2019
7,NL01,9116.0,2020
8,NL01,9255.0,2021
9,NL01,9548.0,2022
10,NL01,9737.0,2023
11,LD01,838.0,2013
12,LD01,829.0,2014
13,LD01,834.0,2015
14,LD01,839.0,2016
15,LD01,854.0,2017
16,LD01,866.0,2018
17,LD01,882.0,2019
18,LD01,878.0,2020
19,LD01,893.0,2021
20,LD01,919.0,2022
21,LD01,929.0,2023
22,LD02,1792.0,2013
23,LD02,1770.0,2014
24,LD02,1788.0,2015
25,LD02,1803.0,2016
26,LD02,1849.0,2017
27,LD02,1890.0,2018
28,LD02,1922.0,2019
29,LD02,1932.0,2020
30,LD02,1962.0,2021
31,LD02,2030.0,2022
32,LD02,2065.0,2023
33,LD03,3990.0,2013
34,LD03,3986.0,2014
35,LD03,4023.0,2015
36,LD03,4090.0,2016
37,LD03,4171.0,2017
38,LD03,4279.0,2018
39,LD03,4368.0,2019
40,LD03,4367.0,2020
41,LD03,4438.0,2021
42,LD03,4601.0,2022
43,LD03,4706.0,2023
44,LD04,1813.0,2013
45,LD04,1798.0,2014
46,LD04,1814.0,2015
47,LD04,1837.0,2016
48,LD04,1870.0,2017
49,LD04,1904.0,2018
50,LD04,1945.0,2019
51,LD04,1940.0,2020
52,LD04,1963.0,2021
53,LD04,1999.0,2022
54,LD04,2037.0,2023
55,PV20,287.0,2013
56,PV20,281.0,2014
57,PV20,285.0,2015
58,PV20,287.0,2016
59,PV20,292.0,2017
60,PV20,294.0,2018
61,PV20,299.0,2019
62,PV20,299.0,2020
63,PV20,307.0,2021
64,PV20,317.0,2022
65,PV20,320.0,2023
66,PV21,315.0,2013
67,PV21,313.0,2014
68,PV21,314.0,2015
69,PV21,317.0,2016
70,PV21,321.0,2017
71,PV21,328.0,2018
72,PV21,335.0,2019
73,PV21,332.0,2020
74,PV21,336.0,2021
75,PV21,344.0,2022
76,PV21,349.0,2023
77,PV22,236.0,2013
78,PV22,234.0,2014
79,PV22,235.0,2015
80,PV22,235.0,2016
81,PV22,241.0,2017
82,PV22,244.0,2018
83,PV22,248.0,2019
84,PV22,247.0,2020
85,PV22,250.0,2021
86,PV22,257.0,2022
87,PV22,260.0,2023
88,PV23,570.0,2013
89,PV23,564.0,2014
90,PV23,570.0,2015
91,PV23,572.0,2016
92,PV23,585.0,2017
93,PV23,600.0,2018
94,PV23,610.0,2019
95,PV23,606.0,2020
96,PV23,619.0,2021
97,PV23,641.0,2022
98,PV23,649.0,2023
99,PV24,201.0,2013
100,PV24,197.0,2014
101,PV24,202.0,2015
102,PV24,206.0,2016
103,PV24,211.0,2017
104,PV24,218.0,2018
105,PV24,223.0,2019
106,PV24,226.0,2020
107,PV24,232.0,2021
108,PV24,242.0,2022
109,PV24,248.0,2023
110,PV25,1020.0,2013
111,PV25,1009.0,2014
112,PV25,1016.0,2015
113,PV25,1025.0,2016
114,PV25,1053.0,2017
115,PV25,1071.0,2018
116,PV25,1089.0,2019
117,PV25,1100.0,2020
118,PV25,1111.0,2021
119,PV25,1147.0,2022
120,PV25,1167.0,2023
121,PV26,670.0,2013
122,PV26,668.0,2014
123,PV26,673.0,2015
124,PV26,684.0,2016
125,PV26,697.0,2017
126,PV26,717.0,2018
127,PV26,735.0,2019
128,PV26,737.0,2020
129,PV26,745.0,2021
130,PV26,770.0,2022
131,PV26,784.0,2023
132,PV27,1396.0,2013
133,PV27,1397.0,2014
134,PV27,1418.0,2015
135,PV27,1454.0,2016
136,PV27,1472.0,2017
137,PV27,1501.0,2018
138,PV27,1533.0,2019
139,PV27,1529.0,2020
140,PV27,1545.0,2021
141,PV27,1614.0,2022
142,PV27,1647.0,2023
143,PV28,1739.0,2013
144,PV28,1736.0,2014
145,PV28,1745.0,2015
146,PV28,1762.0,2016
147,PV28,1813.0,2017
148,PV28,1867.0,2018
149,PV28,1906.0,2019
150,PV28,1906.0,2020
151,PV28,1948.0,2021
152,PV28,2015.0,2022
153,PV28,2069.0,2023
154,PV29,185.0,2013
155,PV29,185.0,2014
156,PV29,187.0,2015
157,PV29,190.0,2016
158,PV29,189.0,2017
159,PV29,194.0,2018
160,PV29,195.0,2019
161,PV29,195.0,2020
162,PV29,199.0,2021
163,PV29,202.0,2022
164,PV29,205.0,2023
165,PV30,1266.0,2013
166,PV30,1258.0,2014
167,PV30,1269.0,2015
168,PV30,1288.0,2016
169,PV30,1317.0,2017
170,PV30,1341.0,2018
171,PV30,1375.0,2019
172,PV30,1377.0,2020
173,PV30,1396.0,2021
174,PV30,1424.0,2022
175,PV30,1453.0,2023
176,PV31,548.0,2013
177,PV31,540.0,2014
178,PV31,545.0,2015
179,PV31,549.0,2016
180,PV31,554.0,2017
181,PV31,563.0,2018
182,PV31,569.0,2019
183,PV31,562.0,2020
184,PV31,567.0,2021
185,PV31,574.0,2022
186,PV31,585.0,2023
187,CR01,64.0,2013
188,CR01,62.0,2014
189,CR01,63.0,2015
190,CR01,63.0,2016
191,CR01,63.0,2017
192,CR01,64.0,2018
193,CR01,65.0,2019
194,CR01,64.0,2020
195,CR01,66.0,2021
196,CR01,68.0,2022
197,CR01,68.0,2023
198,CR02,22.0,2013
199,CR02,22.0,2014
200,CR02,22.0,2015
201,CR02,22.0,2016
202,CR02,22.0,2017
203,CR02,22.0,2018
204,CR02,22.0,2019
205,CR02,22.0,2020
206,CR02,22.0,2021
207,CR02,23.0,2022
208,CR02,22.0,2023
209,CR03,201.0,2013
210,CR03,197.0,2014
211,CR03,200.0,2015
212,CR03,202.0,2016
213,CR03,207.0,2017
214,CR03,208.0,2018
215,CR03,212.0,2019
216,CR03,212.0,2020
217,CR03,218.0,2021
218,CR03,227.0,2022
219,CR03,229.0,2023
220,CR04,156.0,2013
221,CR04,154.0,2014
222,CR04,155.0,2015
223,CR04,157.0,2016
224,CR04,158.0,2017
225,CR04,161.0,2018
226,CR04,165.0,2019
227,CR04,164.0,2020
228,CR04,166.0,2021
229,CR04,171.0,2022
230,CR04,174.0,2023
231,CR05,68.0,2013
232,CR05,69.0,2014
