,ID,Value,Year
1,NL01,2392.0214.0,1988
2,NL01,2618.0233.0,1989
3,NL01,2778.0265.0,1990
4,NL01,3045.0249.0,1991
5,NL01,3273.0245.0,1992
6,NL01,3474.0224.0,1993
7,NL01,3621.0215.0,1994
8,NL01,3644.0162.0,1995
9,NL01,3796.0182.0,1996
10,NL01,4125.0167.0,1997
11,NL01,4451.0165.0,1998
12,NL01,4808.0187.0,1999
13,NL01,5249.0186.0,2000
14,NL01,5451.0196.0,2001
15,NL01,5701.0223.0,2002
16,NL01,5836.0238.0,2003
17,NL01,6225.0217.0,2004
18,NL01,6308.0235.0,2005
19,NL01,6328.0246.0,2006
20,NL01,6522.0254.0,2007
21,NL01,6817.0279.0,2008
22,NL01,7252.0287.0,2009
23,NL01,7565.0328.0,2010
24,NL01,7393.0359.0,2011
25,NL01,7212.0364.0,2012
26,NL01,6836.0358.0,2013
27,NL01,7046.0422.0,2014
28,NL01,6733.0376.0,2015
29,NL01,6922.0420.0,2016
30,NL01,6941.0473.0,2017
31,NL01,7089.0464.0,2018
32,NL01,7356.0487.0,2019
33,NL01,7571.0427.0,2020
34,NL01,8007.0474.0,2021
35,NL01,7684.0455.0,2022
36,NL01,7600.0503.0,2023
37,LD01,202.08.0,1988
38,LD01,233.09.0,1989
39,LD01,208.06.0,1990
40,LD01,234.012.0,1991
41,LD01,281.013.0,1992
42,LD01,308.016.0,1993
43,LD01,295.020.0,1994
44,LD01,377.012.0,1995
45,LD01,308.013.0,1996
46,LD01,367.011.0,1997
47,LD01,368.05.0,1998
48,LD01,429.016.0,1999
49,LD01,433.018.0,2000
50,LD01,465.015.0,2001
51,LD01,498.016.0,2002
52,LD01,476.015.0,2003
53,LD01,549.021.0,2004
54,LD01,533.016.0,2005
55,LD01,516.020.0,2006
56,LD01,540.012.0,2007
57,LD01,548.015.0,2008
58,LD01,622.016.0,2009
59,LD01,595.024.0,2010
60,LD01,620.025.0,2011
61,LD01,558.022.0,2012
62,LD01,500.021.0,2013
63,LD01,500.028.0,2014
64,LD01,507.027.0,2015
65,LD01,482.034.0,2016
66,LD01,501.034.0,2017
67,LD01,470.021.0,2018
68,LD01,509.031.0,2019
69,LD01,528.030.0,2020
70,LD01,540.027.0,2021
71,LD01,558.034.0,2022
72,LD01,569.039.0,2023
73,LD02,473.044.0,1988
74,LD02,530.039.0,1989
75,LD02,552.056.0,1990
76,LD02,599.054.0,1991
77,LD02,617.041.0,1992
78,LD02,674.033.0,1993
79,LD02,727.035.0,1994
80,LD02,713.026.0,1995
81,LD02,730.022.0,1996
82,LD02,782.026.0,1997
83,LD02,873.039.0,1998
84,LD02,962.037.0,1999
85,LD02,1069.038.0,2000
86,LD02,1102.042.0,2001
87,LD02,1116.041.0,2002
88,LD02,1112.045.0,2003
89,LD02,1160.030.0,2004
90,LD02,1219.049.0,2005
91,LD02,1191.044.0,2006
92,LD02,1263.054.0,2007
93,LD02,1333.057.0,2008
94,LD02,1357.049.0,2009
95,LD02,1388.058.0,2010
96,LD02,1403.065.0,2011
97,LD02,1331.074.0,2012
98,LD02,1309.076.0,2013
99,LD02,1277.094.0,2014
100,LD02,1182.084.0,2015
101,LD02,1214.088.0,2016
102,LD02,1234.066.0,2017
103,LD02,1219.092.0,2018
104,LD02,1289.086.0,2019
105,LD02,1362.079.0,2020
106,LD02,1390.085.0,2021
107,LD02,1465.090.0,2022
108,LD02,1355.071.0,2023
109,LD03,1407.0136.0,1988
110,LD03,1489.0148.0,1989
111,LD03,1607.0160.0,1990
112,LD03,1732.0155.0,1991
113,LD03,1882.0165.0,1992
114,LD03,1980.0146.0,1993
115,LD03,2116.0132.0,1994
116,LD03,2005.0105.0,1995
117,LD03,2199.0121.0,1996
118,LD03,2374.0104.0,1997
119,LD03,2529.0101.0,1998
120,LD03,2697.0112.0,1999
121,LD03,2945.0109.0,2000
122,LD03,3001.0121.0,2001
123,LD03,3203.0136.0,2002
124,LD03,3326.0153.0,2003
125,LD03,3574.0141.0,2004
126,LD03,3599.0146.0,2005
127,LD03,3617.0140.0,2006
128,LD03,3699.0153.0,2007
129,LD03,3924.0171.0,2008
130,LD03,4197.0189.0,2009
131,LD03,4426.0201.0,2010
132,LD03,4285.0227.0,2011
133,LD03,4248.0219.0,2012
134,LD03,4032.0222.0,2013
135,LD03,4198.0249.0,2014
136,LD03,4059.0216.0,2015
137,LD03,4172.0224.0,2016
138,LD03,4214.0312.0,2017
139,LD03,4255.0283.0,2018
140,LD03,4445.0292.0,2019
141,LD03,4500.0258.0,2020
142,LD03,4785.0290.0,2021
143,LD03,4426.0263.0,2022
144,LD03,4506.0318.0,2023
145,LD04,310.026.0,1988
146,LD04,366.037.0,1989
147,LD04,411.043.0,1990
148,LD04,480.028.0,1991
149,LD04,493.026.0,1992
150,LD04,512.029.0,1993
151,LD04,483.028.0,1994
152,LD04,549.019.0,1995
153,LD04,559.026.0,1996
154,LD04,602.026.0,1997
155,LD04,681.020.0,1998
156,LD04,720.022.0,1999
157,LD04,802.021.0,2000
158,LD04,883.018.0,2001
159,LD04,884.030.0,2002
160,LD04,922.025.0,2003
161,LD04,942.025.0,2004
162,LD04,957.024.0,2005
163,LD04,1004.042.0,2006
164,LD04,1020.035.0,2007
165,LD04,1012.036.0,2008
166,LD04,1076.033.0,2009
167,LD04,1156.045.0,2010
168,LD04,1085.042.0,2011
169,LD04,1075.049.0,2012
170,LD04,995.039.0,2013
171,LD04,1071.051.0,2014
172,LD04,985.049.0,2015
173,LD04,1054.074.0,2016
174,LD04,992.061.0,2017
175,LD04,1145.068.0,2018
176,LD04,1113.078.0,2019
177,LD04,1181.060.0,2020
178,LD04,1292.072.0,2021
179,LD04,1235.068.0,2022
180,LD04,1170.075.0,2023
181,PV20,82.03.0,1988
182,PV20,88.04.0,1989
183,PV20,86.03.0,1990
184,PV20,92.07.0,1991
185,PV20,111.05.0,1992
186,PV20,109.09.0,1993
187,PV20,120.06.0,1994
188,PV20,156.06.0,1995
189,PV20,122.08.0,1996
190,PV20,139.04.0,1997
191,PV20,151.00.0,1998
192,PV20,179.05.0,1999
193,PV20,154.07.0,2000
194,PV20,181.03.0,2001
195,PV20,185.07.0,2002
196,PV20,176.04.0,2003
197,PV20,219.011.0,2004
198,PV20,196.09.0,2005
199,PV20,182.08.0,2006
200,PV20,200.05.0,2007
201,PV20,198.04.0,2008
202,PV20,231.06.0,2009
203,PV20,202.08.0,2010
204,PV20,228.010.0,2011
205,PV20,211.013.0,2012
206,PV20,188.012.0,2013
207,PV20,196.09.0,2014
208,PV20,206.09.0,2015
209,PV20,193.09.0,2016
210,PV20,170.013.0,2017
211,PV20,162.08.0,2018
212,PV20,183.07.0,2019
213,PV20,204.014.0,2020
214,PV20,202.014.0,2021
215,PV20,216.011.0,2022
216,PV20,208.015.0,2023
217,PV21,74.05.0,1988
218,PV21,92.03.0,1989
219,PV21,64.01.0,1990
220,PV21,87.03.0,1991
221,PV21,99.06.0,1992
222,PV21,118.04.0,1993
223,PV21,119.010.0,1994
224,PV21,147.04.0,1995
225,PV21,114.04.0,1996
226,PV21,137.06.0,1997
227,PV21,134.04.0,1998
228,PV21,169.06.0,1999
229,PV21,157.08.0,2000
230,PV21,168.09.0,2001
231,PV21,192.07.0,2002
232,PV21,192.08.0,2003
233,PV21,199.05.0,2004
234,PV21,207.03.0,2005
235,PV21,206.08.0,2006
236,PV21,194.03.0,2007
237,PV21,218.06.0,2008
238,PV21,237.07.0,2009
239,PV21,244.012.0,2010
240,PV21,234.011.0,2011
241,PV21,203.07.0,2012
242,PV21,191.07.0,2013
243,PV21,189.011.0,2014
244,PV21,195.08.0,2015
245,PV21,183.015.0,2016
246,PV21,189.013.0,2017
247,PV21,181.06.0,2018
248,PV21,190.011.0,2019
249,PV21,197.06.0,2020
250,PV21,189.06.0,2021
251,PV21,207.014.0,2022
252,PV21,206.015.0,2023
253,PV22,46.00.0,1988
254,PV22,53.02.0,1989
255,PV22,58.02.0,1990
256,PV22,55.02.0,1991
257,PV22,71.02.0,1992
258,PV22,81.03.0,1993
259,PV22,56.04.0,1994
260,PV22,74.02.0,1995
261,PV22,72.01.0,1996
262,PV22,91.01.0,1997
263,PV22,83.01.0,1998
264,PV22,81.05.0,1999
265,PV22,122.03.0,2000
266,PV22,116.03.0,2001
267,PV22,121.02.0,2002
268,PV22,108.03.0,2003
269,PV22,131.05.0,2004
270,PV22,130.04.0,2005
271,PV22,128.04.0,2006
272,PV22,146.04.0,2007
273,PV22,132.05.0,2008
274,PV22,154.03.0,2009
275,PV22,149.04.0,2010
276,PV22,158.04.0,2011
277,PV22,144.02.0,2012
278,PV22,121.02.0,2013
279,PV22,115.08.0,2014
280,PV22,106.010.0,2015
281,PV22,106.010.0,2016
282,PV22,142.08.0,2017
283,PV22,127.07.0,2018
284,PV22,136.013.0,2019
285,PV22,127.010.0,2020
286,PV22,149.07.0,2021
287,PV22,135.09.0,2022
288,PV22,155.09.0,2023
289,PV23,157.014.0,1988
290,PV23,147.05.0,1989
291,PV23,161.015.0,1990
292,PV23,152.016.0,1991
293,PV23,195.011.0,1992
294,PV23,185.07.0,1993
295,PV23,210.013.0,1994
296,PV23,195.02.0,1995
297,PV23,172.04.0,1996
298,PV23,214.06.0,1997
