Unnamed: 0,Unnamed: 1,INKAR 2022 – Indikatorenübersicht:   Raumbeobachtung Deutschland,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,Kleinster Raumbezug,,Zeitreihe / Jahr / Entwicklung,
M_ID,ID,Kurzname,Name,Algorithmus,Anmerkungen,Statistische Grundlagen,Gem.-verb.,Kreise,Gem.-verb.,Kreise
,,Absolutzahlen,,,,,,,,
1,18168,Bodenfläche gesamt qkm,Katasterfläche in km²,,Als Katasterfläche bezeichnet man den vermessungstechnisch ermittelten Flächeninhalt einer Regionaleinheit. Grundlage für die Ermittlung der Fläche bildet der von Vermessungsämtern geführte Kataster. Statt von Katasterfläche wir verkürzt auch von Fläche oder Gesamtfläche gesprochen.,Flächenerhebung nach Art der tatsächlichen Nutzung der Statistischen Ämter des Bundes und der Länder,x,,2016-2020,2016-2020
2,12586,Bevölkerung gesamt,Zahl der Einwohner insgesamt,,"Es handelt sich um die Zahl der Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Als Bevölkerung (Einwohnerinnen und Einwohner) wird die Anzahl der Personen bezeichnet, die in einer Regionaleinheit (Gemeinde, Kreis usw.) ihren ständigen Wohnsitz (Hauptwohnsitz) haben, einschließlich der dort für längere Zeit als wohnhaft gemeldeten Ausländer. Das BBSR verwendet die Bevölkerung zum Stichtag 31. Dezember für alle einwohnerbezogenen Indikatoren, so auch bei Fließgrößen über das Jahr (wie Geburten, Sterbefälle, Wanderungen, Finanzströmen und – anders als die Statistischen Ämter des Bundes und der Länder - auch bei den Größen der Volkswirtschaftlichen Gesamtrechnung.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,1995-2020,1995-2020
3,12747,Bevölkerung männlich,Zahl der männlichen Einwohner,,Es handelt sich um die Zahl der männlichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,1995-2020,1995-2020
4,12746,Bevölkerung weiblich,Zahl der weiblichen Einwohner,,Es handelt sich um die Zahl der weiblichen Einwohner zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Aus methodischen Gründen können Personen mit den Geschlechts­ausprägungen 'unbekannt' und 'divers' nicht gesondert ausgewiesen werden. Personen mit diesen Geschlechts­ausprägungen werden durch ein definiertes Umschlüsselungs­verfahren auf die Geschlechts­ausprägungen männlich und weiblich verteilt.,Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,1995-2020,1995-2020
5,10806,Bevölkerung (mit Korrektur VZ 1987/Zensus 2011),Zensuskorrigierte Zahl der Einwohner insgesamt,,"Zwischen der Zahl der Bevölkerung am 31.12.2011 gemäß der Bevölkerungsfortschreibung auf Basis der letzten Volkszählung 1987 (BRD) und 1981 (DDR) und der Bevölkerungsfortschreibung auf Basis des Zensus 2011 ergab sich eine Diskrepanz, die lokal und regional sehr unterschiedlich hoch ausgefallen ist. Die Berechnung von Zeitreihen und Entwicklungen mit Einschluss des Beobachtungsjahres 2011 beinhaltet entweder den „Zensusknick“ oder muss sich auf zensuskorrigierte Zahlen stützen. Hierzu hat das BBSR die Diskrepanz der Bevölkerungszahlen am 31.12.2011 rückwirkend und linear bis 1990 auf die Zahlen der Fortschreibung übertragen. 1989 bildet den Stützpunkt  aus der Fortschreibung, da für dieses Beobachtungsjahr gesamtdeutsche Tabellen sowohl auf Gemeinde- als auch auf Kreisebene vorliegen. Ausgangspunkt ist die Überlegung, dass sich Fehler in der Fortschreibung mit zeitlichem Abstand zur letzten Volkszählung vergrößern. Die lineare Funktion ist hierbei die über alle Gemeinden und Kreise betrachtet wahrscheinlichste Funktion!. eine individuell angepasste Korrektur für jede Gemeinde, jeden Kreis ist bei der Zahl der zu recherchierenden Informationen nicht leistbar.","Bundesinstitut für Bau-, Stadt- und Raumforschung, Laufende Raumbeobachtung des BBSR",x,,1995-2020,1995-2020
6,16607,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),Zahl der Einwohner im Alter von 15 bis unter 65 Jahren,,"Es handelt sich um die Zahl der Einwohner und Einwohnerinnen im Alter von 15 bis unter 65 Jahren zum Stichtag 31. Dezember des jeweiligen Jahres. Ab 2011 Ergebnisse der Bevölkerungsfortschreibung auf Grundlage des Zensus 2011. Erwerbsfähigkeit nach Alter richtet sich nach dem frühestmöglichen Lebensjahr, an dem ein regulärer Schulabschluss erworben werden kann (Hauptschulabschluss nach 9. Schulklasse) und dem regulären Renteneintrittsalter. Sowohl bezüglich des Schulabschlusses als auch bezüglich des Renteneintrittsalters ändert sich der Ein- bzw. Austritt für die Mehrheit über die Zeit (Anstieg der Schulabschlüsse mit mittlerer Reife und Abitur, gesetzliche Anhebung des Rentenalters, Frührentnerregelungen etc.), so dass andere Altersgruppen sachlich Realitätsnäher scheinen mögen. Insbesondere im internationalen Vergleich ist die Definition von Erwerbsfähigkeit nach Alter auf Personen in den  Altersgruppen 15 bis unter 65 Jahre jedoch im Regional- und Zeitvergleich sinnvoll.",Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,x,,2001-2020,1995-2020
7,18602,Erwerbstätige,Zahl der Erwerbstätigen in 1000 Personen,,"Es handelt sich um die Zahl der Erwerbstätigen in 1.000 Personen als Jahresdurchschnittswerte des jeweiligen Jahres. Als Erwerbstätige gelten alle Personen, die eine Erwerbstätigkeit ausüben, unabhängig vom Umfang der tatsächlichen Arbeitszeit. Die Erhebung erfolgt nach dem Personenkonzept, d. h. eine Person mit mehreren Tätigkeiten nur einmal in der Erwerbstätigenrechnung gezählt wird. Dabei wird die Verwaltung von Privatvermögen (z. B. Immobilien, Geldvermögen, Wertpapiere) nicht als Erwerbstätigkeit gezählt. Die Angabe in  1.000 Personen erfolgt aus Datenschutzgründen. ",Arbeitskreis Erwerbstätigenrechnung der Länder,,x,,2000-2020
