ID;Name;Source;Study Location;Geographical Unit;Study Period;Time Unit;Number of cases;Variables;Qualitative/Quantitative;Secondary or primary data;Agggregated/Individual Data;Access;Cost;URL;Contact Details;Data Quality/ Limitations;Comments;Contributor;Topic
1;Hospitals in the Netherlands (In Dutch: Ziekenhuisen in Nederland (sep 2013));RIVM;The Netherlands;National (state-level);2013 (no follow-up available);1-year ;I cannot view the data;Location, organisation name and address;quantitative;Primary (I think?);NA (it is about individual hospitals);Zip-file available (open access);0,-;https://data.rivm.nl/meta/srv/dut/catalog.search#/metadata/d9baa847-4652-4588-abe1-0b050f40f27f?tab=general;Rijksinstituut voor Volksgezondheid en Milieu (geodata@rivm.nl);I cannot determine that for this dataset.;My laptop cannot open the documents in the zip-file, so I cannot determine the details/quality of the dataset. This is geographical data.;Karin;Hospitals
2;COVID cases people aged 70+ (not living in care) (In Dutch: Covid-19 statistieken individuen van 70 jaar en ouder woonachtig buiten een instelling naar veiligheidsregio per datum);RIVM;The Netherlands;"Per ""safety region"". See https://www.rijksoverheid.nl/onderwerpen/veiligheidsregios-en-crisisbeheersing/veiligheidsregios for the actual regions. ";01-07-2020 until 01-01-2023 (in the actual dataset it appears to start later);Per day;NA (there is over 10,000 rows with the number of cases and deaths);Region, total positive COVID cases and number of deaths;quantitative;Primary ;Aggregated (total number of cases and deaths per row);Open access;0,-;https://data.rivm.nl/meta/srv/dut/catalog.search#/metadata/40508e17-7296-4f39-ad25-8ddd0c904087?tab=contact;RIVM/I&V/EPI, EPI-datamanagement@rivm.nl;There are rarely deaths, so most death-values are 0. ;The dataset is specifically about 70+-year olds who do not live in care nor work. Data in Dutch.;Karin;Covid-19
3;Quality of Dutch water per tap station. (In Dutch: Kwaliteit van drinkwater in Nederland (2012);RIVM;The Netherlands;"Per ""tap station"".";2012 (no follow-up available);Per year;NA;Yearly average of substances in drinkwater;quantitative;RIVM receives the data from the pump stations, so more secundary.;NA (it is about pump station of drink water);Open access;0,- ;https://data.rivm.nl/meta/srv/dut/catalog.search#/metadata/32a21114-8694-40ce-ab76-9dcd885c7861?tab=contact;Rijksinstituut voor Volksgezondheid en Milieu, geodata@rivm.nl;This data might not fit too well in our inventory, but just to be sure I will keep it in for now.;"The data are only shown for when they exceed the ""detection threshold"". Furthermore, I could only open the data as CSV, which was very hard to read. Data in Dutch only.";Karin;Quality of Water
4;Academic General Practitioner Development Network (AHON);Part of Department of General Practice and Elderly Care Medicine of the University Medical Center Groningen (UMCG);The Netherlands (Overijssel, Drenthe, Friesland, Groningen);Province-level (I suppose based on their study area). AHON aims to give insight into medical care provided in general practices in the North of the Netherlands;1998-ongoing;Depends per dataset;275.000;"Data consist of medical records and national registries. The areas of information entail: Socio-demographic and economic characteristics, Health and community care services utilization
Medication and supplements, Non-pharmacological interventions and Death.";quantitative;The AHON-database routinely collects care data from affiliated registration practices in the North of the Netherlands.;Aggregated,  but according to the authors it is suitable for cross-sectional and longitudinal research.;Request access;Not mentioned.;https://umcgresearchdatacatalogue.nl/UMCG/ssr-catalogue/cohorts/AHON#GeneralDesign;One can ask for access at: can ask for access at AHON@umcg.nl. They won't give access to studies funded by a health insurance company or pharmaceutical industry. ;I have no access to the data, so I cannot make statements about this.;I have linked the whole organisation, but they add pseudonymized data every three months. The AHON predescessor is RNG for 1998-2013.;Karin;General Practitioners
5;DUPARC (Dutch Parkinson Cohort);DUPARC;The Netherlands (Drenthe, Friesland, Groningen);I assume province level? They do not mention it.;2017-ongoing;They have a baseline, 1-year follow up and 3-year follow-up assessments (with the intention of an extended follow-up with three-year intervals).;150;"They take biological samples, imaging data and other sources to study: Socio-demographic and economic characteristics, Lifestyle and behaviours, Perception of health, quality of life, development and functional limitations, Medication and supplements, Physical measures and assessments, Laboratory measures
Cognition, personality and psychological measures and assessments and Administrative information.";quantitative;Primary.;Individual (based on the follow-up assessments);Not mentioned.;Not mentioned.;https://umcgresearchdatacatalogue.nl/UMCG/ssr-catalogue/cohorts/DUPARC;duparc@neuro.umcg.nl;The sample size is not too large, but still this could be a very interesting dataset.;I am not sure if this study would even be accesible, but I included it for now (we can always remove it later on).;Karin;Parkinson?
6;EUROCAT Northern Netherlands;EUROCAT Northern Netherlands;The Netherlands (Drenthe, Friesland, Groningen);Not mentioned (I assume provincal level);1981-ongoing. Since 1997 information is also obtained via parental questionnaires and pharmacy data. Since 2010, information on non responders is also registered.;Not mentioned, but they do state that it is cross-sectional data.;19000 (infants & children);"They take survey data, medical records and other sources to study: Socio-demographic and economic characteristics, Lifestyle and behaviours, Medication and supplements, Birth, pregnancy and reproductive health history, Non-pharmacological interventions, Death, Physical measures and assessments
Cognition, personality and psychological measures and assessments and Administrative information.";quantitative;All pregnancy outcomes are covered and information is collected on genetic testing, prenatal diagnosis and risk factors via parental questionnaires, medical records and pharmacy data.;I would guess aggregated? But I am not sure.;Not specified.;Not specified.;https://umcgresearchdatacatalogue.nl/UMCG/ssr-catalogue/cohorts/EUROCAT;eurocat@umcg.nl;Very large sample size and to me it feels very applicable to our inventory (also regarding the study region).;;Karin;Children and Pregnancy
7;"Health per neighbourhood (In Dutch: Gezondheid per wijk en buurt; 2012/2016/2020 (indeling 2020))";RIVM;The Netherlands;Neighbourhood;2012, 2016 & 2020.;Per year.;Not specified.;Region, mulitple health indicators (e.g. subjective health, movement, weight, smoking, alcohol use, physical limitations, anxiety/depression, stress, loneliness, being caregiver, volunteering and age).;quantitative;"Secondary. The dataset is based on the ""Gezondheidsmonitor Volwassenen en Ouderen"" of GGD’en, CBS & RIVM";Aggregated.;Open access.;0,- ;https://statline.rivm.nl/#/RIVM/nl/dataset/50090NED/table?ts=1684265252546;RIVM (https://volksgezondheidenzorg.info/contact);No further comments.;Data in Dutch;Karin;General Health
8;"Projections health per neighbourhood. (In Dutch: Volksgezondheid Toekomst Verkenning 2018; regiobeeld 2015-2030)";RIVM;The Netherlands;COROP (but also other possibilities);2018 (covering 2015-2030);Per year.;Not specified.;A lot of variables on health: lifestyle (e.g. smoking), care use, morbidity, subjective health, exercise, prevalence of 10 diseases/illnesses. ;quantitative;In principle primary, but done in collaboration with the population projection 2019 Primos of ABF Research.;Aggregated.;Open access.;0,- ;https://statline.rivm.nl/#/RIVM/nl/dataset/50078NED/table?ts=1684265344170;RIVM (https://www.regiobeeld.nl/contact);No further comments.;Data in Dutch;Karin;Health Projections
9;Healthy life expectancy;RIVM;The Netherlands;GGD-regions or provinces.;2017-2020;Per year.;Not specified.;% Subjective good health & % without physical impairments and region.  ;quantitative;"Secundary; the data originate from CBS.";Aggregated.;Open access.;0,- ;https://statline.rivm.nl/#/RIVM/nl/dataset/50108NED/table?ts=1684265486049;https://www.vzinfo.nl/contact;No further comments.;The data is from CBS, so if we also include that dataset, this one does not necessarily have to stay I suppose. ;Karin;Life expectancy
10;Impfreport (Vaccination report);Niedersächsisches Landesgesundheitsamt (Lower Saxony State Health Office);Lower Saxony;NUTS 2;2010-2019;years;Not stated;share of vaccinated persons for different diseases;quantitative;secondary;aggregated;public;Free;https://www.nlga.niedersachsen.de/impfreport/impfreport-198433.html;https://www.nlga.niedersachsen.de/kontakt/kontakt-198695.html;/;;Tim;vaccinations
