ID;Name;Source;Study Location;Geographical Unit;Study Period;Time Unit;Number of cases;Variables;Qualitative/Quantitative;Secondary or primary data;Agggregated/Individual Data;Access;Cost;URL;Contact Details;Data Quality/ Limitations;Comments;Contributor;Topic
1;KFN Lower Saxony School Survey;KFN (Kriminologisches Forschungsinstitut Niedersachsen E.V. (Criminological Research Institute of Lower Saxony E.V.));Lower Saxony;Federal State;2013-2019;2-years;between 9512 - 12444 cases depending on wave;Youth violence in victim and perpetrator perspectives, other deviant behaviour (e.g. truancy), extremism, bullying, risk and protective factors (e.g. parenting styles, personality factors);quantitative;primary;individual;not clear;/;https://en.kfn.de/research-projects/school-surveys/;Yvonne Krieg, email: Yvonne.Krieg@kfn.de;/;not clear how to acces data, request needed;Tim;Youth, crime, demography
2;Sozio-oekonomisches Panel (SOEP), SOEP-Core v37eu;Research Data Center SOEP (German Institute for Economic Research (DIW Berlin));Germany;Federal State (option for regional data);1984-2020;years;ca. 35000;well-being, household demography, population, education, qualification, occupation and employment, earnings, houseing, rent, physical health, mental health, attitudes, values, personality, migration, integration, wealth, neighborhood, family, networks;quantitative;primary;individual/houshold;on request, special request for regional data;/;https://www.diw.de/de/diw_01.c.838578.de/edition/soep-core_v37eu__daten_1984-2020__eu-edition.html#c_838578Methodenbericht;Dr. Jan Goebel, email: jgoebel@diw.de;/;;Tim;very broad
3;LSN-Online Datenbank;LSN - Landesamt für Statistik Niedersachsen (Federal Institute for Statistics Lower Saxony);Germany;up to municipality level;2016-2021;years;/;Themes include: Life & Work, State & Society, Economy & Prices, Environment & Mobility;quantitative;primary;aggregated;open access;/;https://www1.nls.niedersachsen.de/statistik/html/default.asp;Datenbank@statistik.niedersachsen.de;/;;Tim;very broad
4;pairfam - Beziehungs- und Familienpanel (English: Panel Analysis of Intimate Relationships and Family Dynamics);pairfam - Beziehungs- und Familienpanel (English: Panel Analysis of Intimate Relationships and Family Dynamics);Germany;Federal State (option for regional data);2008 - 2021 in 13 waves;years;depends on wave, 9435 in wave 11;depends on wave (more than 2000);quantitative;primary;individual;on request, special request for regional data;/;https://www.pairfam.de/;support@pairfam.de;/;since 2022 FReDA, regional data only on special internal workplaces;Tim;very broad
5;pairfam - COVID-19 Studie (COVID-19 Study);pairfam - Beziehungs- und Familienpanel (English: Panel Analysis of Intimate Relationships and Family Dynamics);Germany;Federal  State (option for regional data);2020;/;3160;Identification variables, household composition, current COVID-19 situation, Current employment and vocational training (anchor, partner), changes due to COVID-19 in employment or vocational situation (anchor, partner), well-being variables past 4 weeks (anger, stressm anxiety, concern, loneliness, worries), partnership variables ((contact freq, quality (intimacy, esteem, conflict), satisfaction, division of labor), family climate, child care arrangement, external biological parent/child not living with anchor (and child), Parental role (feelings of competence, unspecific strain, children: Screen time, Children: Home schooling, Respondents up to 25 years (depressiveness, coping, risktaking, screen time, home schooling), conclusion/opinions;;primary;individual;on request, special request for regional data;/;https://www.pairfam.de/;support@pairfam.de;/;regional data only on special internal workplaces;Tim;very broad
6;ALLBUS - Allgemeine Bevölkerungsumfrage der Sozialwissenschaften (General social scientific population survey);GESIS - Leibniz-Institut für Sozialwissenschaften;Germany;Federal State (option for several indicators for regional data);1980-2021;years;depends on wave, 5342 in 2021;questionnaire blocks: deviant behaviour and sanction, work and occupation, demography, ethnocentrism and minorities, family, health, households and social relationships, lifestyle and personality, politics, regional data, religion and worldview, social networks and social capital, social inequality, technical data, paradata, interviewer data, values, attitudes and perception of economics, living and environment;quantitative;primary;individual;open access, special request for regional data;/;https://www.gesis.org/allbus/allbus;allbus@gesis.org;/;;Tim;very broad
7;INKAR;Bundesinstitut für Bau-, Stadt- und Raumforschung (English: Federal Institute for Construction, Urban and Spatial Research) ;Germany;up to municipality level;1995-2020;years;25323758;over 600 indicators on education, demography, job market, economy, living, transport, environment and others;quantitative;secondary;aggregated;open access;/;https://www.inkar.de/; inkar@bbr.bund.de;/;;Tim;very broad
8;Pupils enrolled in early childhood education by sex and NUTS2 regions;Eurostat;European Union;Aggregates, Country, NUTS1, NUTS2;2013-2021;years;1 per unit per year;Pupils enrolled in early childhood education (pre-primary education, early childhood education or early childhood educational development);quantitative;secondary;aggregated;public data;free;https://ec.europa.eu/eurostat/databrowser/view/EDUC_UOE_ENRP03/default/table?lang=en;https://ec.europa.eu/eurostat/web/main/contact-us;;More variables on education can be found on https://ec.europa.eu/eurostat/data/database, follow the order: General and regional statistics > Region statistics by NUTS > Regional education statistics - ISCED 2011;Martin;children, youth, education
9;Gross domestic product (GDP) at current market prices by NUTS 3 regions;Eurostat;European Union;Aggregates, Country, NUTS1, NUTS2, NUTS3;2000-2021;years;1 per unit per year;Various measures of regional Gross Domestic Product (in Euros).;quantitative;primary;aggregate;public data;free;https://ec.europa.eu/eurostat/databrowser/view/NAMA_10R_3GDP/default/table?lang=en;https://ec.europa.eu/eurostat/web/main/contact-us;;More variables on education can be found on https://ec.europa.eu/eurostat/data/database, follow the order: General and regional statistics > Regional economic accounts > Gross dometic product indicators (reg_eco10gdp) OR Branch and household accounts (reg_eco1-brch);Martin;economy
10;EU labour force survey;Eurostat;EU + candidate countries;NUTS2 or smaller;2019-2022;years;unclear;Age, income, labour status etc...;quantitative and qualitative;primary;individual;on request;free;https://ec.europa.eu/eurostat/web/microdata/european-union-labour-force-survey;https://ec.europa.eu/eurostat/web/main/contact-us;;up to 8 weeks to get data;Martin;economy, labour market 
11;Leefbarometer;Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (Rijk);The Netherlands;Liveability for rasters of 100m*100m  (neigbourhood-level then I suppose);Reoccuring dataset (done in 2002, 2008, 2012, 2016, 2014-2020 and 2018-2020. The URL is for the 2021 one. ;Depends per dataset;Not specified;Number of houses, physical environment, services, social cohesion, nuisance and safety.;quantitative;Primary (?);Aggregated (per living area);Open access;0,- ;https://data.overheid.nl/dataset/leefbaarometer-meting-20201;postbus.leefbaarometer@minbzk.nl;I cannot determine that for this dataset.;Geographical data, format: XML/RDF;Karin;housing, quality of life
12;Recipients of social benefits (Uitkeringen gemeente Groningen);Gemeente Groningen & UWV;Municipality of Groningen;Municipality (as a whole);Updated every year.;Per year.;Not specified.;The number of people in Groningen (the municipaliy) receiving benefits, divided per type (e.g. unemployment).;quantitative;"Hard to say; as they collaborate with the UWV potentially a combination of both?";zondheids;Open access ;0,-;https://data.groningen.nl/dataset/uitkeringen-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);You can download an excel-file, which appears to be of decent quality.;Data in Dutch.The excel-file is rather small, but it does contain a nice overview.;Karin;social benefits
13;Social contacts in Groningen (In Dutch: Sociale contacten gemeente Groningen);Gemeente Groningen;Municipality of Groningen;Neighbourhood;2020-2022. Updated every two years.;Per year.;Not specified.;The percentage of Groningen citizens who feel like they have sufficient social contacts by type of contact (e.g. family member etc.).;quantitative;"Collected by OIS Groningen with a ""neighbourhood survey"", so secundary.";Aggregated (per living area);Open access;0,- ;https://data.groningen.nl/dataset/sociale-contacten-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);There appears to be no dataset to download.;It appears that only a limited part of the data is visible (you cannot download an excel file like you can with the benefits-data). Data in Dutch;Karin;social life, quality of life
